"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","offerings","pn","section","semester","status","term","type","year"
"0000003650","1.0","0000000069","ART","1","0","0","0","1","","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","200","","IS/Advanced Painting","298","","False","","5","O","20015","Research","2001"
"0000003651","1.0","0000000069","ART","1","0","0","0","1","","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","200","","IS/Costume Design","298","","False","A","5","O","20015","Research","2001"
"0000003652","1.0","0000000069","ART","1","0","1","0","0","","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","200","","IS/Industrial Design","298","","False","B","5","O","20015","Research","2001"
"0000003653","1.0","0000000100","BIO","37","0","19","0","18","NSC;NSL","Umbanhowar, Charles Jr.","{'fsnum': '8616', 'name': 'Umbanhowar, Charles Jr.'}","100","37","Biological Science","121","","False","","5","O","20015","Research","2001"
"0000003654","1.0","0000000175","BIO","1","0","1","0","0","WRI","Kermott, Louis Henry","{'fsnum': '4284', 'name': 'Kermott, Louis Henry'}","300","","IR/House Wren Researc","398","","False","","5","O","20015","Research","2001"
"0000003655","1.0","0000000197","CHEM","29","5","10","9","5","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","Organic Chemistry","248","{'day': 'Mo', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'}","False","","5","O","20015","Research","2001"
"0000003656","0.25","0000000200","CHEM","23","3","7","8","5","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","Synthesis Lab","254","{'day': 'Mo', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'};{'day': 'Tu', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'}","True","","5","O","20015","Lab","2001"
"0000003657","1.0","0000000254","ECON","13","0","0","0","13","HBS;HWC","Soderlind, Steve","{'fsnum': '7636', 'name': 'Soderlind, Steve'}","100","","Capitalism: Struggles","111","","False","","5","O","20015","Research","2001"
"0000003658","1.0","0000000276","ECON","1","0","0","1","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","1","Academic Internship","294","","True","","5","O","20015","Research","2001"
"0000003659","1.0","0000000387","ENGL","4","0","1","0","3","ALS-L","Marsalek, Karen E.","{'fsnum': '10015', 'name': 'Marsalek, Karen E.'}","100","","Reading for Life","132","{'day': 'Mo', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'L 515', 'start': '10:00'}","False","","5","O","20015","Research","2001"
"0000003660","1.0","0000000413","ENGL","8","0","3","3","2","WRI","Levine, Signe","{'fsnum': '12295', 'name': 'Levine, Signe'}","200","","Creative Nonfiction","251","{'day': 'Mo', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'L 520', 'start': '10:00'}","False","","5","O","20015","Research","2001"
"0000003661","1.0","0000000426","ENGL","3","0","1","1","1","ALS-L","Marsalek, Karen E.","{'fsnum': '10015', 'name': 'Marsalek, Karen E.'}","200","","Shakespeare & Contemp","280","{'day': 'Mo', 'end': '14:00', 'location': 'L 515', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'L 515', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'L 515', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'L 515', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'L 515', 'start': '12:30'}","False","","5","O","20015","Research","2001"
"0000003662","1.0","0000000444","ENGL","7","0","5","2","0","","Marsalek, Karen E.","{'fsnum': '10015', 'name': 'Marsalek, Karen E.'}","300","","Shakespeare","380","{'day': 'Mo', 'end': '14:00', 'location': 'L 515', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'L 515', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'L 515', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'L 515', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'L 515', 'start': '12:30'}","False","","5","O","20015","Research","2001"
"0000003669","1.0","0000000653","FAMST","1","0","0","1","0","","Holt, C. George","{'fsnum': '3431', 'name': 'Holt, C. George'}","200","","Academic Internship","294","","True","","5","O","20015","Research","2001"
"0000003664","1.0","0000000504","GERM","1","0","0","0","1","","Von Schwerin-High, Frederike","{'fsnum': '8820', 'name': 'Von Schwerin-High, Frederike'}","100","","Beginning German I","111","","False","","5","O","20015","Research","2001"
"0000003665","1.0","0000000505","GERM","1","1","0","0","0","","Von Schwerin-High, Frederike","{'fsnum': '8820', 'name': 'Von Schwerin-High, Frederike'}","100","","Beginning German II","112","","False","","5","O","20015","Research","2001"
"0000003666","1.0","0000000509","GERM","1","1","0","0","0","FOL-G","Von Schwerin-High, Frederike","{'fsnum': '8820', 'name': 'Von Schwerin-High, Frederike'}","200","","Intermed German II","232","","False","","5","O","20015","Research","2001"
"0000003667","1.0","0000000514","GERM","1","0","0","1","0","FOL-G;ORC","Von Schwerin-High, Frederike","{'fsnum': '8820', 'name': 'Von Schwerin-High, Frederike'}","200","","Speaking German","250","","False","","5","O","20015","Research","2001"
