"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","offerings","pn","section","semester","status","term","type","year"
"0000007547","1.0","0000001496","ART","8","2","1","3","2","ALS-A","Staff","{'fsnum': '', 'name': 'Staff'}","100","","Foundations Ceramics","121","{'day': 'Mo', 'end': '14:00', 'location': 'CAD 115E', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'CAD 115E', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'CAD 115E', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'CAD 115E', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'CAD 115E', 'start': '12:30'}","False","","5","O","20035","Research","2003"
"0000007548","1.0","0000000045","ART","1","1","0","0","0","","Rudquist, Monica","{'fsnum': '14959', 'name': 'Rudquist, Monica'}","200","","Ceramics","234","","False","","5","O","20035","Research","2003"
"0000007549","1.0","0000000063","ART","4","2","2","0","0","ALS-A;MCS-G","Staff","{'fsnum': '', 'name': 'Staff'}","200","","African Art History","269","{'day': 'Mo', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'}","False","","5","O","20035","Research","2003"
"0000007550","1.0","0000000068","ART","1","0","1","0","0","","Thompson, Nancy M.","{'fsnum': '13137', 'name': 'Thompson, Nancy M.'}","200","","Academic Internship","294","","True","","5","O","20035","Research","2003"
"0000007551","1.0","0000000069","ART","1","0","0","1","0","","Rudquist, Monica","{'fsnum': '14959', 'name': 'Rudquist, Monica'}","200","","IS/Advanced Ceramics","298","","False","","5","O","20035","Research","2003"
"0000007552","1.0","0000000094","ASIAN","1","0","1","0","0","WRI","Entenmann, Robert","{'fsnum': '1821', 'name': 'Entenmann, Robert'}","200","","IS/Asean","298","","False","","5","O","20035","Research","2003"
"0000007553","1.0","0000000100","BIO","37","3","0","0","34","NSC;NSL","Walter, Anne","{'fsnum': '8876', 'name': 'Walter, Anne'}","100","18","Biological Science","121","","False","","5","O","20035","Research","2003"
"0000007554","1.0","0000000197","CHEM","38","6","4","21","7","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Organic Chemistry","248","{'day': 'Mo', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'}","False","","5","O","20035","Research","2003"
"0000007555","0.25","0000000200","CHEM","35","5","3","20","7","","Staff","{'fsnum': '', 'name': 'Staff'}","200","48","Synthesis Lab","254","{'day': 'Mo', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'};{'day': 'Tu', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'}","True","","5","O","20035","Lab","2003"
"0000007556","1.0","0000000256","ECON","13","0","0","0","13","HBS;HWC","Soderlind, Steve","{'fsnum': '7636', 'name': 'Soderlind, Steve'}","100","","Capitalism: Struggles","113","","False","","5","C","20035","Research","2003"
"0000007557","1.0","0000000276","ECON","1","0","1","0","0","","Fitzgerald, Terry J.","{'fsnum': '14049', 'name': 'Fitzgerald, Terry J.'}","200","","Academic Internship","294","","True","","5","O","20035","Research","2003"
"0000007558","1.0","0000000277","ECON","1","0","1","0","0","WRI","Emery, Edward David","{'fsnum': '1741', 'name': 'Emery, Edward David'}","200","","IS/Econ Corruption","298","","False","A","5","O","20035","Research","2003"
"0000007559","1.0","0000000317","EDUC","11","0","2","0","9","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","Science Hlth Living","316","{'day': 'Mo', 'end': '12:00', 'location': 'FH 10L', 'start': '21:00'};{'day': 'Tu', 'end': '12:00', 'location': 'FH 10L', 'start': '21:00'};{'day': 'We', 'end': '12:00', 'location': 'FH 10L', 'start': '21:00'};{'day': 'Th', 'end': '12:00', 'location': 'FH 10L', 'start': '21:00'};{'day': 'Fr', 'end': '12:00', 'location': 'FH 10L', 'start': '21:00'}","False","","5","O","20035","Research","2003"
"0000007560","1.0","0000000318","EDUC","12","0","2","0","10","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","Math--Elem Classroom","317","{'day': 'Mo', 'end': '15:00', 'location': 'FH 10L', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'FH 10L', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'FH 10L', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'FH 10L', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'FH 10L', 'start': '13:00'};{'day': 'Mo', 'end': '12:00', 'location': 'FH 10L', 'start': '21:00'};{'day': 'Tu', 'end': '12:00', 'location': 'FH 10L', 'start': '21:00'};{'day': 'We', 'end': '12:00', 'location': 'FH 10L', 'start': '21:00'};{'day': 'Th', 'end': '12:00', 'location': 'FH 10L', 'start': '21:00'};{'day': 'Fr', 'end': '12:00', 'location': 'FH 10L', 'start': '21:00'}","False","","5","O","20035","Research","2003"
"0000007561","1.0","0000000345","EDUC","1","0","0","0","1","","Campbell, Heather","{'fsnum': '903', 'name': 'Campbell, Heather'}","300","","IR/Culture & Teaching","398","","False","","5","O","20035","Research","2003"
"0000007562","1.0","0000000406","ENGL","15","1","8","3","3","ALS-L;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","16","Children's Literature","233","{'day': 'Mo', 'end': '11:30', 'location': 'RML 525', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 525', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 525', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 525', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 525', 'start': '10:00'}","False","","5","C","20035","Research","2003"
"0000007563","1.0","0000000418","ENGL","6","1","2","1","2","WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Creat Wrtg: Fict/Poet","257","{'day': 'Mo', 'end': '09:30', 'location': 'RML 520', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'RML 520', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'RML 520', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'RML 520', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'RML 520', 'start': '08:00'}","False","","5","O","20035","Research","2003"
"0000007564","1.0","0000000429","ENGL","9","2","7","0","0","ALS-L","Staff","{'fsnum': '', 'name': 'Staff'}","200","10","Studies in Prose","283","{'day': 'Mo', 'end': '14:00', 'location': 'RML 525', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'RML 525', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'RML 525', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'RML 525', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'RML 525', 'start': '12:30'}","False","","5","O","20035","Research","2003"
"0000007565","1.0","0000000451","ENGL","1","0","1","0","0","WRI","LeBlanc, Diane C.","{'fsnum': '13324', 'name': 'LeBlanc, Diane C.'}","300","","IR/Writng About Place","398","","False","","5","O","20035","Research","2003"
"0000007566","1.0","0000000504","GERM","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","100","","Beginning German I","111","","False","","5","O","20035","Research","2003"
"0000007567","1.0","0000000508","GERM","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Intermed German I","231","","False","","5","O","20035","Research","2003"
"0000007568","1.0","0000000509","GERM","2","0","1","1","0","FOL-G","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Intermed German II","232","","False","","5","O","20035","Research","2003"
"0000007569","1.0","0000000530","GERM","1","0","0","1","0","","Fink, Karl","{'fsnum': '2103', 'name': 'Fink, Karl'}","300","","IR/Life & Work Goethe","398","","False","","5","O","20035","Research","2003"
"0000007570","1.0","0000000625","HIST","1","0","0","0","1","","Entenmann, Robert","{'fsnum': '1821', 'name': 'Entenmann, Robert'}","200","","IS/Reading Japan Hist","298","","False","","5","O","20035","Research","2003"
"0000007574","1.0","0000000795","MEDIA","1","0","0","1","0","","Sonnega, Bill","{'fsnum': '7676', 'name': 'Sonnega, Bill'}","200","","Academic Internship","294","","True","","5","O","20035","Research","2003"
"0000007575","1.0","0000000795","MEDIA","5","1","3","1","0","","Sonnega, Bill","{'fsnum': '7676', 'name': 'Sonnega, Bill'}","200","","Academic Internship","294","","True","A","5","O","20035","Research","2003"
"0000007576","1.0","0000000795","MEDIA","1","0","0","1","0","","Wilson, Karen","{'fsnum': '9093', 'name': 'Wilson, Karen'}","200","","Academic Internship","294","","True","B","5","O","20035","Research","2003"
"0000007571","1.0","0000000770","MGMT","8","3","4","0","1","ORC","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Computer Applications","230","{'day': 'Mo', 'end': '14:30', 'location': 'HH 413', 'start': '12:30'};{'day': 'Tu', 'end': '14:30', 'location': 'HH 413', 'start': '12:30'};{'day': 'We', 'end': '14:30', 'location': 'HH 413', 'start': '12:30'};{'day': 'Th', 'end': '14:30', 'location': 'HH 413', 'start': '12:30'}","False","","5","O","20035","Research","2003"
"0000007572","1.0","0000000784","MGMT","2","0","1","1","0","","Goedde, Richard","{'fsnum': '2661', 'name': 'Goedde, Richard'}","200","","Academic Internship","294","","True","","5","O","20035","Research","2003"
"0000007573","1.0","0000000784","MGMT","1","0","0","1","0","","Thomforde, Kathy C.","{'fsnum': '1070', 'name': 'Thomforde, Kathy C.'}","200","","Academic Internship","294","","True","A","5","O","20035","Research","2003"
"0000007577","1.0","0000000804","MUSIC","1","0","0","0","1","ALS-A;ORC","Staff","{'fsnum': '', 'name': 'Staff'}","100","","The Art of Music","131","{'day': 'Mo', 'end': '14:00', 'location': 'CHM 239', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'CHM 239', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'CHM 239', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'CHM 239', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'CHM 239', 'start': '12:30'}","False","","5","O","20035","Research","2003"
"0000007578","1.0","0000000937","NORW","1","0","1","0","0","","Zempel, Solveig","{'fsnum': '9184', 'name': 'Zempel, Solveig'}","300","","IR/Olav Den Hellige","398","","False","","5","O","20035","Research","2003"
"0000007579","0.25","0000000997","PEAC","9","1","3","3","2","PHA","Staff","{'fsnum': '', 'name': 'Staff'}","100","","Golf","103","","False","","5","O","20035","Research","2003"
"0000007580","1.0","0000001067","PETH","1","0","1","0","0","","Book, Cindy","{'fsnum': '694', 'name': 'Book, Cindy'}","300","","Academic Internship","394","","True","","5","O","20035","Research","2003"
"0000007581","1.0","0000001074","PHYS","11","0","2","8","1","NSC;NSL","Staff","{'fsnum': '', 'name': 'Staff'}","100","","Principles Physics II","125","{'day': 'Mo', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'We', 'end': '15:30', 'location': 'SC 111', 'start': '13:00'};{'day': 'Th', 'end': '15:30', 'location': 'SC 111', 'start': '13:00'}","False","","5","O","20035","Research","2003"
"0000007582","1.0","0000001104","PSCI","8","0","1","2","5","HBS;MCS-G","Staff","{'fsnum': '', 'name': 'Staff'}","100","","Comparative Politics","112","{'day': 'Mo', 'end': '09:30', 'location': 'HH 403', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'HH 403', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'HH 403', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'HH 403', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'HH 403', 'start': '08:00'}","False","","5","O","20035","Research","2003"
"0000007583","1.0","0000001119","PSCI","6","2","2","2","0","EIN","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Distributive Justice","249","{'day': 'Mo', 'end': '11:30', 'location': 'HH 403', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'HH 403', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'HH 403', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'HH 403', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'HH 403', 'start': '10:00'}","False","","5","O","20035","Research","2003"
"0000007584","1.0","0000001139","PSCI","1","1","0","0","0","","Brooks, D Christopher","{'fsnum': '14170', 'name': 'Brooks, D Christopher'}","200","","Academic Internship","294","","True","","5","O","20035","Research","2003"
"0000007585","1.0","0000001139","PSCI","1","0","1","0","0","","Breen, Sheryl D.","{'fsnum': '13316', 'name': 'Breen, Sheryl D.'}","200","","Academic Internship","294","","True","A","5","O","20035","Research","2003"
"0000007586","1.0","0000001188","PSYCH","1","0","1","0","0","","McMillan, Donna K.","{'fsnum': '5220', 'name': 'McMillan, Donna K.'}","300","","Academic Internship","394","","True","","5","O","20035","Research","2003"
"0000007587","1.0","0000001190","PSYCH","1","0","1","0","0","","Dickinson, Shelly D.","{'fsnum': '15747', 'name': 'Dickinson, Shelly D.'}","300","","IR/Adolescent Addict","398","","False","","5","O","20035","Research","2003"
"0000007588","1.0","0000001207","REL","10","4","1","4","1","BTS-T;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","","St.Paul/Letter/Gospel","223","{'day': 'Mo', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'}","False","","5","O","20035","Research","2003"
"0000007589","1.0","0000001232","REL","18","1","8","4","5","EIN;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","","The Ethics of Jesus","276","{'day': 'Mo', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'}","False","","5","O","20035","Research","2003"
"0000007590","1.0","0000001236","REL","1","0","0","0","1","","Lagerquist, L. DeAne","{'fsnum': '4592', 'name': 'Lagerquist, L. DeAne'}","200","","Academic Internship","294","","True","","5","O","20035","Research","2003"
"0000007591","1.0","0000001236","REL","1","0","0","1","0","","Hanson, James","{'fsnum': '3061', 'name': 'Hanson, James'}","200","","Academic Internship","294","","True","A","5","O","20035","Research","2003"
"0000007592","1.0","0000001236","REL","1","0","1","0","0","","Schuurman, Douglas","{'fsnum': '7248', 'name': 'Schuurman, Douglas'}","200","","Academic Internship","294","","True","B","5","O","20035","Research","2003"
"0000007593","1.0","0000001253","REL","1","0","1","0","0","","Schuurman, Douglas","{'fsnum': '7248', 'name': 'Schuurman, Douglas'}","300","","Academic Internship","394","","True","","5","O","20035","Research","2003"
"0000007594","1.0","0000001257","REL","1","0","1","0","0","WRI","Poehlmann, William","{'fsnum': '6381', 'name': 'Poehlmann, William'}","300","","IR/Christ Sci Context","398","","False","","5","O","20035","Research","2003"
"0000007595","1.0","0000001308","SOAN","3","0","2","1","0","HBS","Leming, Michael","{'fsnum': '4762', 'name': 'Leming, Michael'}","200","","Dying,Death,Bereave","248","","False","","5","O","20035","Research","2003"
"0000007596","1.0","0000001374","THEAT","12","1","8","3","0","ALS-A;ORC","Staff","{'fsnum': '', 'name': 'Staff'}","100","","Oral Interpretation","100","{'day': 'Mo', 'end': '11:30', 'location': 'TB 216/HAUGE', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'TB 216/HAUGE', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'TB 216/HAUGE', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'TB 216/HAUGE', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'TB 216/HAUGE', 'start': '10:00'}","False","","5","O","20035","Research","2003"
"0000007597","1.0","0000001395","THEAT","1","0","1","0","0","","Sonnega, Bill","{'fsnum': '7676', 'name': 'Sonnega, Bill'}","200","","IS/Early Drama","298","","False","","5","O","20035","Research","2003"

