"clbid","credits","crsid","department","enrolled","firstyear","halfcredit","instructors","junior","learningmode","level","max","name","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","type","year"
"0000014640","1.0","0000000004","AMST","23","","","James Farrell","","S","100","25","Perspec Amer Culture","100","{'day': 'Mo', 'end': '13:50', 'location': 'H 317', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'H 317', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'H 317', 'start': '12:55'}","False","False","","1","","","O","19941","Research","1994"
"0000014641","1.0","0000001490","AMST","11","","","James Farrell","","S","200","35","A Topical Approach","201","{'day': 'Mo', 'end': '14:55', 'location': 'H 317', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'H 317', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'H 317', 'start': '14:00'}","False","False","","1","","","O","19941","Topic","1994"
"0000014642","1.0","0000000012","AMST","1","","","James Farrell","","S","200","999","IS/Habits of My Heart","298","","False","False","","1","","","O","19941","Research","1994"
"0000014643","0.5","0000000019","ART","18","","","Staff","2/4","S","100","22","Found Perceptual Draw","111","{'day': 'Mo', 'end': '11:40', 'location': 'FH 42', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'FH 42', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'FH 42', 'start': '10:45'}","False","False","A","1","1/3","4/5","O","19941","Research","1994"
"0000014644","0.5","0000000019","ART","16","","","Staff","1/4","S","100","22","Found Perceptual Draw","111","{'day': 'Mo', 'end': '12:45', 'location': 'FH 42', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'FH 42', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'FH 42', 'start': '11:50'}","False","False","B","1","4/3","8/8","O","19941","Research","1994"
"0000014645","0.5","0000000020","ART","15","","","Staff","2/4","S","100","22","Found Conceptual Draw","112","{'day': 'Mo', 'end': '10:00', 'location': 'FH 42', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'FH 42', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'FH 42', 'start': '09:05'}","False","False","","1","4/3","4/6","O","19941","Research","1994"
"0000014646","0.5","0000000021","ART","20","","","Staff","5/4","S","100","22","Found Color Design","113","{'day': 'Mo', 'end': '10:00', 'location': 'FHAB', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'FHAB', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'FHAB', 'start': '09:05'}","False","False","A","1","9/3","3/5","O","19941","Research","1994"
"0000014647","0.5","0000000021","ART","15","","","Staff","3/4","S","100","22","Found Color Design","113","{'day': 'Mo', 'end': '11:40', 'location': 'FHAB', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'FHAB', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'FHAB', 'start': '10:45'}","False","False","B","1","3/3","5/5","O","19941","Research","1994"
"0000014648","0.5","0000000022","ART","15","","","Staff","3/3","S","100","15","Foundation Sculpture","114","{'day': 'Tu', 'end': '11:00', 'location': 'FH 18', 'start': '09:35'};{'day': 'Th', 'end': '11:00', 'location': 'FH 18', 'start': '09:35'}","False","False","","1","4/3","4/4","C","19941","Research","1994"
"0000014649","0.5","0000000023","ART","21","","","Staff","3/5","S","100","20","Found Photography","115","{'day': 'Tu', 'end': '09:25', 'location': 'FH 2', 'start': '08:00'};{'day': 'Th', 'end': '09:25', 'location': 'FH 2', 'start': '08:00'}","False","False","A","1","7/5","6/5","C","19941","Research","1994"
"0000014650","0.5","0000000023","ART","20","","","Staff","4/5","S","100","20","Found Photography","115","{'day': 'Tu', 'end': '11:00', 'location': 'FH 2', 'start': '09:35'};{'day': 'Th', 'end': '11:00', 'location': 'FH 2', 'start': '09:35'}","False","False","B","1","7/5","3/5","C","19941","Research","1994"
"0000014651","0.5","0000000024","ART","11","","","Staff","0/3","S","100","18","Found Ceramics: Hand","116","{'day': 'Tu', 'end': '09:25', 'location': 'FH 19', 'start': '08:00'};{'day': 'Th', 'end': '09:25', 'location': 'FH 19', 'start': '08:00'}","False","False","","1","3/3","4/6","O","19941","Research","1994"
"0000014652","1.0","0000000031","ART","43","","","Staff","","S","100","40","Ancient--Medieval","117","{'day': 'Tu', 'end': '09:25', 'location': 'FH 01', 'start': '08:00'};{'day': 'Th', 'end': '09:25', 'location': 'FH 01', 'start': '08:00'}","False","False","","1","","","C","19941","Research","1994"
"0000014653","1.0","0000000032","ART","57","","","Staff","","S","100","70","Renaissance--Present","118","{'day': 'Mo', 'end': '11:40', 'location': 'FH 01', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'FH 01', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'FH 01', 'start': '10:45'}","False","False","","1","","","O","19941","Research","1994"
"0000014654","0.5","0000000026","ART","12","","","Staff","4/3","S","100","15","Found Ceramics: Throw","119","{'day': 'Tu', 'end': '16:30', 'location': 'FH 19', 'start': '15:00'};{'day': 'Th', 'end': '16:30', 'location': 'FH 19', 'start': '15:00'}","False","False","A","1","1/3","4/4","O","19941","Research","1994"
"0000014655","0.5","0000000026","ART","9","","","Staff","","S","100","12","Found Ceramics: Throw","119","{'day': 'Tu', 'end': '14:45', 'location': 'FH 19', 'start': '13:20'};{'day': 'Th', 'end': '14:45', 'location': 'FH 19', 'start': '13:20'}","False","False","B","1","","","O","19941","Research","1994"
"0000014656","1.0","0000000027","ART","12","","","Staff","","S","100","15","Honors Found Drawing","120","{'day': 'Mo', 'end': '14:55', 'location': 'FH 42', 'start': '12:55'};{'day': 'We', 'end': '14:55', 'location': 'FH 42', 'start': '12:55'};{'day': 'Fr', 'end': '14:55', 'location': 'FH 42', 'start': '12:55'}","False","False","","1","","","C","19941","Research","1994"
