"clbid","credits","crsid","department","enrolled","firstyear","halfcredit","instructors","junior","learningmode","level","max","name","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","type","year"
"0000016736","1.0","0000000004","AMST","22","","","James Farrell","","S","100","25","Perspec Amer Culture","100","{'day': 'Mo', 'end': '13:50', 'location': 'CH 110', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'CH 110', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'CH 110', 'start': '12:55'}","False","False","","1","","","O","19951","Research","1995"
"0000016737","1.0","0000001492","AMST","19","","","James Farrell","","S","200","20","Top: American 1960s","203","{'day': 'Mo', 'end': '10:00', 'location': 'H 514', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'H 514', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'H 514', 'start': '09:05'}","False","False","","1","","","O","19951","Topic","1995"
"0000016738","0.5","0000000019","ART","20","11/11","","Jil Evans","1/3","S","100","20","Found Perceptual Draw","111","{'day': 'Mo', 'end': '11:40', 'location': 'FH 42', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'FH 42', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'FH 42', 'start': '10:45'}","False","False","A","1","3/2","5/8","C","19951","Research","1995"
"0000016739","0.5","0000000019","ART","16","4/13","","Jil Evans","2/3","S","100","20","Found Perceptual Draw","111","{'day': 'Mo', 'end': '12:45', 'location': 'FH 42', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'FH 42', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'FH 42', 'start': '11:50'}","False","False","B","1","6/2","4/7","O","19951","Research","1995"
"0000016740","0.5","0000000020","ART","10","3/13","","Jan Shoger","2/4","S","100","22","Found Conceptual Draw","112","{'day': 'Mo', 'end': '10:00', 'location': 'FH 42', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'FH 42', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'FH 42', 'start': '09:05'}","False","False","","1","2/1","3/10","O","19951","Research","1995"
"0000016741","0.5","0000000021","ART","20","7/8","","Wendell Arneson","2/4","S","100","20","Found Color Design","113","{'day': 'Mo', 'end': '10:00', 'location': 'FH AB', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'FH AB', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'FH AB', 'start': '09:05'}","False","False","A","1","6/3","5/8","C","19951","Research","1995"
"0000016742","0.5","0000000021","ART","23","4/10","","Wendell Arneson","1/4","S","100","20","Found Color Design","113","{'day': 'Mo', 'end': '11:40', 'location': 'FH AB', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'FH AB', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'FH AB', 'start': '10:45'}","False","False","B","1","9/3","9/9","C","19951","Research","1995"
"0000016743","0.5","0000000022","ART","12","5/6","","John Saurer","2/7","S","100","15","Foundation Sculpture","114","{'day': 'Tu', 'end': '09:25', 'location': 'FH 18', 'start': '08:00'};{'day': 'Th', 'end': '09:25', 'location': 'FH 18', 'start': '08:00'}","False","False","A","1","0/3","5/9","O","19951","Research","1995"
"0000016744","0.5","0000000022","ART","10","2/5","","John Saurer","2/5","S","100","15","Foundation Sculpture","114","{'day': 'Tu', 'end': '11:00', 'location': 'FH 18', 'start': '09:35'};{'day': 'Th', 'end': '11:00', 'location': 'FH 18', 'start': '09:35'}","False","False","B","1","3/3","3/5","O","19951","Research","1995"
"0000016747","0.5","0000000024","ART","9","0/12","","Ron Gallas","3/5","S","100","20","Found Ceramics: Hand","116","{'day': 'Tu', 'end': '09:25', 'location': 'FH 19', 'start': '08:00'};{'day': 'Th', 'end': '09:25', 'location': 'FH 19', 'start': '08:00'}","False","False","A","1","4/4","2/9","O","19951","Research","1995"
"0000016748","0.5","0000000024","ART","16","4/5","","Ron Gallas","3/6","S","100","20","Found Ceramics: Hand","116","{'day': 'Tu', 'end': '14:45', 'location': 'FH 19', 'start': '13:20'};{'day': 'Th', 'end': '14:45', 'location': 'FH 19', 'start': '13:20'}","False","False","B","1","4/4","5/5","O","19951","Research","1995"
"0000016749","0.5","0000000026","ART","16","1/3","","Ron Gallas","2/4","S","100","15","Found Ceramics: Throw","119","{'day': 'Tu', 'end': '16:30', 'location': 'FH 19', 'start': '15:00'};{'day': 'Th', 'end': '16:30', 'location': 'FH 19', 'start': '15:00'}","False","False","","1","8/3","5/5","C","19951","Research","1995"
"0000016750","1.0","0000000027","ART","12","","","Jan Shoger","","S","100","999","Honors Found Drawing","120","{'day': 'Mo', 'end': '14:55', 'location': 'FH 42', 'start': '12:55'};{'day': 'We', 'end': '14:55', 'location': 'FH 42', 'start': '12:55'};{'day': 'Fr', 'end': '14:55', 'location': 'FH 42', 'start': '12:55'}","False","False","","1","","","O","19951","Research","1995"
"0000016751","1.0","0000000031","ART","36","","","Katherine Smith-Abbott","","S","100","40","Ancient--Medieval","150","{'day': 'Mo', 'end': '10:00', 'location': 'FH 01', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'FH 01', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'FH 01', 'start': '09:05'}","False","False","","1","","","O","19951","Research","1995"
"0000016752","1.0","0000000033","ART","20","","","Wendell Arneson","","S","200","20","Oil/Acrylic Paintng","231","{'day': 'Mo', 'end': '14:55', 'location': 'FH 40', 'start': '12:55'};{'day': 'We', 'end': '14:55', 'location': 'FH 40', 'start': '12:55'};{'day': 'Fr', 'end': '14:55', 'location': 'FH 40', 'start': '12:55'}","False","False","","1","","","C","19951","Research","1995"
"0000016753","1.0","0000000035","ART","4","","","John Saurer","","S","200","8","Sculpt: Metal Casting","233","{'day': 'Tu', 'end': '14:45', 'location': 'FH 18', 'start': '11:45'};{'day': 'Th', 'end': '14:45', 'location': 'FH 18', 'start': '11:45'}","False","False","","1","","","O","19951","Research","1995"
"0000016754","1.0","0000000037","ART","7","","","Steven Edwins","","S","200","20","Arch Drawing/Design I","235","{'day': 'Mo', 'end': '14:55', 'location': 'FH AB', 'start': '12:55'};{'day': 'We', 'end': '14:55', 'location': 'FH AB', 'start': '12:55'};{'day': 'Fr', 'end': '14:55', 'location': 'FH AB', 'start': '12:55'}","False","False","","1","","","O","19951","Research","1995"
"0000016755","1.0","0000000038","ART","8","","","Jan Shoger","","S","200","15","Printmkg: Relief/Litho","236","{'day': 'Mo', 'end': '12:45', 'location': 'FH 44', 'start': '10:45'};{'day': 'We', 'end': '12:45', 'location': 'FH 44', 'start': '10:45'};{'day': 'Fr', 'end': '12:45', 'location': 'FH 44', 'start': '10:45'}","False","False","","1","","","O","19951","Research","1995"
"0000016756","1.0","0000000045","ART","4","","","Ron Gallas","","S","200","15","Ceramics","244","{'day': 'Tu', 'end': '14:45', 'location': 'FH 19', 'start': '11:45'};{'day': 'Th', 'end': '14:45', 'location': 'FH 19', 'start': '11:45'}","False","False","","1","","","O","19951","Research","1995"
"0000016760","1.0","0000001503","ART","35","","","Matthew Rohn","","S","200","50","Art Since 1945","253","{'day': 'Mo', 'end': '11:40', 'location': 'FH 01', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'FH 01', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'FH 01', 'start': '10:45'}","False","False","","1","","","O","19951","Research","1995"
"0000016761","1.0","0000000053","ART","35","","","Katherine Smith-Abbott","","S","200","30","Italian Renaissance","254","{'day': 'Mo', 'end': '12:45', 'location': 'FH 01', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'FH 01', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'FH 01', 'start': '11:50'}","False","False","","1","","","C","19951","Research","1995"
