"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000172108","1.0","0000031261","ARTH","One of America's most revered artists, Georgia O'Keeffe loved New Mexico, writing: ""It's so beautiful there. It's ridiculous."" This course follows O'Keeffe's path through Santa Fe, Taos, and Ghost Ranch, engaging with her life and work within the Modernist movement and arts of the region. Emphasizing New Mexico's rich Indigenous and Hispanic arts and culture and its unique natural environment, the course uses feminist, decolonial, and critical landscape theories to analyze O'Keeffe and her legacy. Offered alternate years during January term. There are no prerequisites, but ARTH 253 is recommended.","13","0","1","8","4","ALS-A;CRE;MCD;OEP","Ryan, Hannah","{'fsnum': '31158', 'name': 'Ryan, Hannah'}","200","19","","","","","O'Keeffe and Arts of New Mexico","This is a study away course. You will find this course listed in Studio Abroad  ;under its course title.","261","","False","False","","2","O","20262","","Research","2026"
"0000173052","1.0","0000001496","ARTS","This course introduces students to the ceramic processes of wheel throwing and hand building as means for creating works of art. Students learn terminology and critical approaches to ceramics. Students develop critical skills and the ability to analyze and interpret ceramic artwork. The course emphasizes creative approaches to solving visual problems through ceramic work. Slide presentations on contemporary and historical ceramics provide background for assignments and highlight the role of ceramics in various cultural contexts. Materials fee. Offered each semester.","0","0","0","0","0","ALS-A;CRE","Morrison, David P.","{'fsnum': '9006376', 'name': 'Morrison, David P.'}","200","16","","","","","Ceramics","The materials fee for ARTS 207 is $185.","207","{'day': 'Mo', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Mo', 'end': '12:40', 'location': 'TBA', 'start': '22:40'};{'day': 'Tu', 'end': '12:40', 'location': 'TBA', 'start': '22:40'};{'day': 'We', 'end': '12:40', 'location': 'TBA', 'start': '22:40'};{'day': 'Th', 'end': '12:40', 'location': 'TBA', 'start': '22:40'};{'day': 'Fr', 'end': '12:40', 'location': 'TBA', 'start': '22:40'}","False","False","","2","O","20262","","Research","2026"
"0000172109","1.0","0000000037","ARTS","Through a sequence of architectural design projects, students learn drawing (hand drafting and computer-aided drawing and design) and architectural design processes that require the integration of social, artistic, technical, and environmental issues typical of real projects. Visiting architects are involved. Field trips to experience spaces/places augment the studio work. Materials fee. Offered alternate years. Prerequisite: ARTS 102 or ARTS 103 or ARTS 104 or permission of instructor.","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","16","0","","","","Architectural Drawing and Design I","Pre-requisite: Must have taken ARTS 102, ARTS 103 OR ARTS 104.                  ;Not open to first-year students.","225","{'day': 'Mo', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Mo', 'end': '12:40', 'location': 'TBA', 'start': '22:40'};{'day': 'Tu', 'end': '12:40', 'location': 'TBA', 'start': '22:40'};{'day': 'We', 'end': '12:40', 'location': 'TBA', 'start': '22:40'};{'day': 'Th', 'end': '12:40', 'location': 'TBA', 'start': '22:40'};{'day': 'Fr', 'end': '12:40', 'location': 'TBA', 'start': '22:40'}","False","ARTS 102 or ARTS 103 or ARTS 104 or permission of instructor.","","2","O","20262","Architectural Design I","Research","2026"
"0000173560","1.0","0000020656","ARTS","This course provides a comprehensive research opportunity, including an introduction to relevant background material, technical instruction, identification of a meaningful project, and data collection. The topic is determined by the faculty member in charge of the course and may relate to their research interests. Offered based on department decision. May be offered as a 1.00 credit course or .50 credit course. Prerequisite: determined by individual instructor.","0","0","0","0","0","","Wu, Peng","{'fsnum': '9002464', 'name': 'Wu, Peng'}","300","6","","","","","Research: Digital Fabrication","Course topic: Digital Fabrication as Creative Practice                          ;Registration by application.","396","","False","determined by individual instructor.","","2","O","20262","Directed Undergraduate Research","Research","2026"
"0000171964","1.0","0000000078","ASIAN","This course examines major cultures of Asia from interdisciplinary and comparative perspectives. Themes vary from year to year, but may include urban and rural life, heroic ideals, gender and sexuality, medicine and healing traditions, and nation-building and empire.","0","0","0","0","0","GHS;MCG;MCS-G","Yun, Sungha","{'fsnum': '33051', 'name': 'Yun, Sungha'}","100","24","","","","","Asian Cultures","","121","{'day': 'Mo', 'end': '12:40', 'location': 'TBA', 'start': '22:40'};{'day': 'Tu', 'end': '12:40', 'location': 'TBA', 'start': '22:40'};{'day': 'We', 'end': '12:40', 'location': 'TBA', 'start': '22:40'};{'day': 'Th', 'end': '12:40', 'location': 'TBA', 'start': '22:40'};{'day': 'Fr', 'end': '12:40', 'location': 'TBA', 'start': '22:40'}","False","False","","2","O","20262","Asian Cultures in Comparative Perspectives","Research","2026"
"0000170285","1.0","0000000080","ASIAN","This course explores major aspects of language use that reflect Japanese culture and society. Issues covered include the characteristics of the Japanese language, loan words, regional differences, politeness, gender differences, and communication styles. The course is taught in a combination of lectures, class discussions, subtitled Japanese films, anime (Japanese animation), and student presentations. Knowledge of Japanese helpful but not necessary. Readings, lectures, and discussions are all in English. Offered alternate years.","0","0","0","0","0","GHS;HBS;MCG;MCS-G;SCS","Staff","{'fsnum': '', 'name': 'Staff'}","100","24","","","","","Language in Japanese Society","","126","{'day': 'Mo', 'end': '15:00', 'location': 'TOH 310', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'TOH 310', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'TOH 310', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'TOH 310', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'TOH 310', 'start': '13:00'}","False","False","","2","O","20262","","Research","2026"
"0000170200","1.0","0000037429","ASIAN","In this course, students travel to China. They consider how direct experience provides them with their own narratives about people, places, and culture of China. Through attention to their own structured and unstructured experiences during the course, students better understand how ordinary people construct ""Chinese"" and ""Asian"" culture and society today. Through multifaceted engagement with multiple sites in China students may visit during their stay, they analyze the role representation and narrative play in both their encounter with and study of Asia. Offered periodically during January Term. Apply through Smith Center for Global Engagement. Prerequisites: at least one Chinese language course or equivalent.","23","0","6","14","3","OEP;SCS","Zhou, Ying","{'fsnum': '26220', 'name': 'Zhou, Ying'}","200","16","","","","","Encountering China: Shanghai","This is a study abroad course. You will find this course listed in Studio Abroad;under its course title.","217","","False","Prerequisites: at least one Chinese language course or equivalent.","","2","C","20262","Encountering China","Research","2026"
"0000170201","1.0","0000040041","ASIAN","Students pursue guided fieldwork experience and language study in Japan. Activities and readings in this course build on the topics from ASCON 110 and ASCON 120 and language study. Students continue to explore their understanding of Asia through language activities, site visits, and ethnographic observations. Students complete language-based tasks and follow a process of inquiry that will help them understand how ordinary people construct ""Asian"" culture and society today. Offered periodically during January term. Priority will be given to ASCON students. Prerequisite: at least one semester of Japanese language study at St Olaf or equivalent.","19","0","2","10","7","GHS;OEP","Quimby, Joanne","{'fsnum': '28070', 'name': 'Quimby, Joanne'}","200","16","","","","","Encountering Japan: Tokyo","This is a study abroad course. You will find this course listed in Studio Abroad;under its course title.","218","","False","at least one semester of Japanese language study at St Olaf or equivalent.","","2","C","20262","","Research","2026"
"0000170204","1.0","0000017674","BI/ES","Human health is affected by the biological environment, a teeming world of parasites and diseases, and the physical environment -- the water, air, and landscapes that we inhabit. Human interactions with the environment have changed rapidly, as human populations grow, travel increases, and ecosystems are altered. This course touches upon traditional environmental topics such as air and water quality and integrates newer public health challenges such as emerging diseases and food-borne illnesses. Offered periodically. Prerequisite: an introductory science course.","0","0","0","0","0","IST;NSC","Angell, Diane K.","{'fsnum': '256', 'name': 'Angell, Diane K.'}","200","24","","","","","Environmental Health","","228","{'day': 'Mo', 'end': '12:40', 'location': 'RNS 435', 'start': '22:40'};{'day': 'Tu', 'end': '12:40', 'location': 'RNS 435', 'start': '22:40'};{'day': 'We', 'end': '12:40', 'location': 'RNS 435', 'start': '22:40'};{'day': 'Th', 'end': '12:40', 'location': 'RNS 435', 'start': '22:40'};{'day': 'Fr', 'end': '12:40', 'location': 'RNS 435', 'start': '22:40'}","False","an introductory science course.","","2","O","20262","","Research","2026"
"0000170349","1.0","0000000104","BIO","Issues of women's biology including views of the evolving female and biological determinism are examined. Core material covers anatomy, development, the biological basis of gender, reproduction, sexual response, the menstrual cycle and aging, and aspects of women's health such as eating disorders, cancers, and hormonal treatments. Students participate in significant amounts of group work and oral presentation. The course is open to both men and women. Offered during January term.","0","0","0","0","0","IST;NSC;NTS;SED","Pettitt, Beth","{'fsnum': '27204', 'name': 'Pettitt, Beth'}","100","24","6","6","6","6","The Biology of Women","This course has class-year limits.","124","{'day': 'Mo', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'TBA', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'TBA', 'start': '13:00'}","False","False","","2","O","20262","","Research","2026"
"0000172110","1.0","0000042944","BIO","This course explores the intersections of science and culture in Japan. Students gain field research experience while examining the unique ecosystems of the Kii Peninsula, a UNESCO World Heritage Site home to numerous endemic species of flora and fauna, including waterfall-climbing fish and giant salamander. The course also introduces cultural perspectives and ethical issues related to the life sciences. Offered periodically during January term. Prerequisite: BIO 150 - Foundations in Biodiversity.","14","0","4","2","8","NTS;OEP","Maie, Takashi","{'fsnum': '35028', 'name': 'Maie, Takashi'}","200","14","","","","","Science and Culture in Japan","This is a study abroad course. You will find this course listed in Studio Abroad;under its course title.","285","","False","BIO 150 - Foundations in Biodiversity.","","2","C","20262","Exploring Science and Culture in Japan: Kii Peninsula","Research","2026"
"0000172111","1.0","0000028963","BIO","Students study topics in biology. Topics vary from year to year at the discretion of the department. Class work depends on the topics and instructor, but is consistent with the amount and level of work in other 200-level biology courses. May be repeated if topics are different. Counts as an elective toward biology major. May count toward other majors or concentrations if approved by the chair of that major/concentration. Offered periodically each term. Prerequisites: vary.","0","0","0","0","0","","Wallis, Alicia M.","{'fsnum': '9005931', 'name': 'Wallis, Alicia M.'}","200","16","","","","","Top: Cell Therap: Bench to Bedside","","292","","False","Prerequisites: vary.","","2","O","20262","Topics in Biology","Topic","2026"
"0000172113","1.0","0000038367","BIO","This course provides a comprehensive research opportunity, including an introduction to relevant background material, technical instruction, identification of a meaningful project, data collection and analysis, and writing. The topic is determined by the faculty member in charge of the course and may relate to their research interests. This course meets the Writing in the Major requirements for Biology majors. Offered based on department decision. May be offered as a 1.00 credit course or .50 credit course. Prerequisite: determined by instructor.","0","0","0","0","0","OEP","Umbanhowar, Charles Jr.","{'fsnum': '8616', 'name': 'Umbanhowar, Charles Jr.'}","300","3","","","","","Research:","Register by invitation from the professor.","306","","False","determined by instructor.","B","2","O","20262","Directed Undergraduate Research with Writing","Research","2026"
"0000170206","1.0","0000033665","BIO","In this seminar course, students explore new advances and applications at the intersection of evolution and genetics. Short lectures and in-class activities provide students with the necessary background to analyze primary scientific articles, and small group discussions provide a forum for student-led discourse and critique of these articles. Each student undertakes a literature research project on a topic of their choice; this semester-long project includes regular faculty consultation and peer review. Also counts toward biomolecular science concentration. Prerequisite: BIO 233 or permission of the instructor.","0","0","0","0","0","WRI","Porterfield, Jean C.","{'fsnum': '14015', 'name': 'Porterfield, Jean C.'}","300","10","0","","0","","Evolutionary Genetics","Open only to Juniors and seniors.","324","{'day': 'Mo', 'end': '10:00', 'location': 'TBA', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'TBA', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'TBA', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'TBA', 'start': '09:00'};{'day': 'Mo', 'end': '12:40', 'location': 'TBA', 'start': '22:40'};{'day': 'Tu', 'end': '12:40', 'location': 'TBA', 'start': '22:40'};{'day': 'We', 'end': '12:40', 'location': 'TBA', 'start': '22:40'};{'day': 'Th', 'end': '12:40', 'location': 'TBA', 'start': '22:40'}","False","BIO 233 or permission of the instructor.","","2","O","20262","","Research","2026"
"0000170378","1.0","0000000172","BIO","Specific topics announced prior to each term are based on student interests and available staff. Class work includes comprehensive review of literature on the specific topic. Class meetings present topics in discussion format. May be repeated if topic is different. Also counts toward environmental studies major (all emphases) and concentration when taught with environmental science focus and approved by chair. Prerequisites: vary.","0","0","0","0","0","WRI","Peterson, Sean M.","{'fsnum': '34063', 'name': 'Peterson, Sean M.'}","300","10","0","","0","","Top: Winter Ecology","Open to Juniors and Seniors only.                                               ;Prerequisite: BIO 261","391","{'day': 'Tu', 'end': '15:10', 'location': 'RNS 440', 'start': '12:00'};{'day': 'We', 'end': '15:10', 'location': 'RNS 440', 'start': '12:00'};{'day': 'Th', 'end': '15:10', 'location': 'RNS 440', 'start': '12:00'}","False","Prerequisites: vary.","A","2","O","20262","Selected Topics","Topic","2026"
