"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","name","number","offerings","pn","section","semester","status","term","type","year"
"0000023083","0.25","0000001000","PEAC","3","1","1","0","1","PHA","Wicks, Gary","{'fsnum': '9030', 'name': 'Wicks, Gary'}","100","Orienteering","109","","False","","4","O","19974","Research","1997"
"0000023084","0.25","0000001007","PEAC","10","3","2","2","3","PHA","Deason, Gary","{'fsnum': '1355', 'name': 'Deason, Gary'}","100","Canoeing","125","","False","","4","O","19974","Research","1997"
"0000023085","0.25","0000002185","PEAC","3","0","2","1","0","PHA","Daymont, Christine","{'fsnum': '1358', 'name': 'Daymont, Christine'}","100","Individual Fitness","132","","False","","4","O","19974","Research","1997"
"0000023086","0.25","0000002188","PEAC","5","0","2","0","3","","Daymont, Christine","{'fsnum': '1358', 'name': 'Daymont, Christine'}","100","Weight Training","140","","False","","4","O","19974","Research","1997"
"0000023079","1.0","0000000977","PHIL","10","2","5","2","1","EIN;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","Biomedical Ethics","250","{'day': 'Mo', 'end': '11:30', 'location': 'H 515', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'H 515', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'H 515', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'H 515', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'H 515', 'start': '10:00'}","False","","4","O","19974","Research","1997"
"0000023080","1.0","0000000979","PHIL","9","3","3","1","2","EIN;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","Ethics/The Good Life","252","{'day': 'Mo', 'end': '14:00', 'location': 'H 514', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'H 514', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'H 514', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'H 514', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'H 514', 'start': '12:30'}","False","","4","O","19974","Research","1997"
"0000023081","1.0","0000000982","PHIL","5","1","2","0","2","EIN;WRI","Fairbanks, Rick A.","{'fsnum': '2022', 'name': 'Fairbanks, Rick A.'}","200","Top: Environ Ethics","257","{'day': 'Mo', 'end': '11:30', 'location': 'M 21', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'M 21', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'M 21', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'M 21', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'M 21', 'start': '10:00'}","False","","4","O","19974","Research","1997"
"0000023087","1.0","0000001179","PSYCH","1","0","0","0","1","","Dickson Jr., James","{'fsnum': '1366', 'name': 'Dickson Jr., James'}","200","IS/N.O. & the Brain","298","","False","","4","O","19974","Research","1997"
"0000023088","1.0","0000001188","PSYCH","1","0","0","1","0","","McMillan, Donna K.","{'fsnum': '5220', 'name': 'McMillan, Donna K.'}","300","Academic Internship","394","","True","","4","O","19974","Research","1997"
"0000023089","1.0","0000001190","PSYCH","1","0","0","0","1","","Fairbanks, Rick A.","{'fsnum': '2022', 'name': 'Fairbanks, Rick A.'}","300","IR/Existential Psych","398","","False","","4","O","19974","Research","1997"
"0000023090","1.0","0000001194","REL","3","0","1","2","0","BTS-T;WRI","Granquist, Mark A.","{'fsnum': '2683', 'name': 'Granquist, Mark A.'}","200","The Greats","203","{'day': 'Mo', 'end': '09:30', 'location': 'L 577', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'L 577', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'L 577', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'L 577', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'L 577', 'start': '08:00'}","False","","4","O","19974","Research","1997"
"0000023091","1.0","0000001198","REL","2","0","0","2","0","BTS-T;WRI","Granquist, Mark A.","{'fsnum': '2683', 'name': 'Granquist, Mark A.'}","200","Chr Theol in History","212","{'day': 'Mo', 'end': '11:30', 'location': 'L 577', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 577', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 577', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 577', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'L 577', 'start': '10:00'}","False","","4","O","19974","Research","1997"
"0000023092","1.0","0000001239","REL","1","0","0","0","1","","Hanson, James","{'fsnum': '3061', 'name': 'Hanson, James'}","200","IS/Bible and Authorit","298","","False","","4","O","19974","Research","1997"
"0000023093","1.0","0000001367","SWRK","1","0","0","1","0","","Lennox, Naurine","{'fsnum': '4761', 'name': 'Lennox, Naurine'}","200","IS/Hmn Bio Applicaysw","298","","False","","4","O","19974","Research","1997"
"0000023094","1.0","0000001367","SWRK","1","0","1","0","0","","Carlsen, Mary","{'fsnum': '938', 'name': 'Carlsen, Mary'}","200","IS/Intro Soc Welfare","298","","False","A","4","O","19974","Research","1997"
"0000023095","1.0","0000001395","THEAT","1","0","1","0","0","","Wilson, Karen","{'fsnum': '9093', 'name': 'Wilson, Karen'}","200","IS/Speech Path Ind St","298","","False","","4","O","19974","Research","1997"
"0000023096","1.0","0000001401","THEAT","1","0","0","1","0","","Sonnega, Bill","{'fsnum': '7676', 'name': 'Sonnega, Bill'}","300","IR/Origins of Theater","398","","False","","4","O","19974","Research","1997"

