"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","name","number","offerings","pn","semester","status","term","type","year"
"0000003636","1.0","0000000979","PHIL","6","3","2","0","1","EIN","Santurri, Edmund","{'fsnum': '7020', 'name': 'Santurri, Edmund'}","200","Ethics/The Good Life","252","{'day': 'Mo', 'end': '14:00', 'location': 'L 420', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'L 420', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'L 420', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'L 420', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'L 420', 'start': '12:30'}","False","4","O","20014","Research","2001"
"0000003639","1.0","0000001072","PHYS","8","1","3","2","2","NSC;NSL","Thomas, Richard","{'fsnum': '13198', 'name': 'Thomas, Richard'}","100","Principles Physics I","124","{'day': 'Mo', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'We', 'end': '16:00', 'location': 'SC 111', 'start': '13:00'};{'day': 'Th', 'end': '16:00', 'location': 'SC 111', 'start': '13:00'}","False","4","O","20014","Research","2001"
"0000003640","1.0","0000001104","PSCI","4","0","4","0","0","HBS;MCS-G","Brooks, D Christopher","{'fsnum': '14170', 'name': 'Brooks, D Christopher'}","100","Comparative Politics","112","{'day': 'Mo', 'end': '09:30', 'location': 'L 520', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'L 520', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'L 520', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'L 520', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'L 520', 'start': '08:00'}","False","4","O","20014","Research","2001"
"0000003641","1.0","0000001119","PSCI","10","0","7","1","2","EIN","Brooks, D Christopher","{'fsnum': '14170', 'name': 'Brooks, D Christopher'}","200","Distributive Justice","249","{'day': 'Mo', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'L 520', 'start': '12:30'}","False","4","O","20014","Research","2001"
"0000003642","1.0","0000001156","PSYCH","4","0","2","2","0","HBS","Westergaard, Marit","{'fsnum': '13030', 'name': 'Westergaard, Marit'}","200","Issues 1st & 2nd Lang","222","{'day': 'Mo', 'end': '11:30', 'location': 'H 403', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'H 403', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'H 403', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'H 403', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'H 403', 'start': '10:00'}","False","4","O","20014","Research","2001"
"0000003643","1.0","0000001194","REL","10","0","2","8","0","BTS-T;WRI","Granquist, Mark A.","{'fsnum': '2683', 'name': 'Granquist, Mark A.'}","200","The Greats","203","{'day': 'Mo', 'end': '09:30', 'location': 'L 525', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'L 525', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'L 525', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'L 525', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'L 525', 'start': '08:00'}","False","4","O","20014","Research","2001"
"0000003644","1.0","0000001195","REL","6","1","3","2","0","BTS-T","Santurri, Edmund","{'fsnum': '7020', 'name': 'Santurri, Edmund'}","200","Chri Theol/Moral Life","207","{'day': 'Mo', 'end': '11:30', 'location': 'L 420', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 420', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 420', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 420', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'L 420', 'start': '10:00'}","False","4","O","20014","Research","2001"
"0000003645","1.0","0000001224","REL","6","0","3","1","2","HWC;ORC","Granquist, Mark A.","{'fsnum': '2683', 'name': 'Granquist, Mark A.'}","200","Religion in America","260","{'day': 'Mo', 'end': '14:00', 'location': 'L 525', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'L 525', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'L 525', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'L 525', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'L 525', 'start': '12:30'}","False","4","O","20014","Research","2001"
"0000003646","1.0","0000001324","SPAN","2","0","0","1","1","","Galicia, Marisol","{'fsnum': '14193', 'name': 'Galicia, Marisol'}","100","Beginning Spanish I","111","{'day': 'Mo', 'end': '09:30', 'location': 'M 2', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'M 2', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'M 2', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'M 2', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'M 2', 'start': '08:00'}","False","4","O","20014","Research","2001"
"0000003647","1.0","0000001325","SPAN","2","0","0","1","1","","Galicia, Marisol","{'fsnum': '14193', 'name': 'Galicia, Marisol'}","100","Beginning Spanish II","112","{'day': 'Mo', 'end': '11:30', 'location': 'M 2', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'M 2', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'M 2', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'M 2', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'M 2', 'start': '10:00'}","False","4","O","20014","Research","2001"

