"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","number","offerings","pn","section","semester","status","term","type","year"
"0000001871","1.0","0000000016","AFAM","21","0","5","11","5","ALS-L;MCS-G","Henry, Joanne","{'fsnum': '14043', 'name': 'Henry, Joanne'}","200","30","","","","","Africa & the Americas","231","{'day': 'Tu', 'end': '13:10', 'location': 'L 577', 'start': '23:45'};{'day': 'Th', 'end': '13:10', 'location': 'L 577', 'start': '23:45'}","False","","1","O","20011","Seminar","2001"
"0000001951","1.0","0000000176","AMCON","15","15","0","0","0","","Holly, Carol","{'fsnum': '3424', 'name': 'Holly, Carol'}","100","","","","","","Freedoms: 1620-1865","101","{'day': 'Mo', 'end': '10:00', 'location': 'L 515', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'L 515', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'L 515', 'start': '09:05'}","False","A","1","C","20011","Research","2001"
"0000001952","1.0","0000000176","AMCON","15","14","0","0","1","","Holly, Carol","{'fsnum': '3424', 'name': 'Holly, Carol'}","100","","","","","","Freedoms: 1620-1865","101","{'day': 'Mo', 'end': '10:00', 'location': 'L 421', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'L 421', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'L 421', 'start': '09:05'}","False","B","1","C","20011","Research","2001"
"0000001953","1.0","0000000178","AMCON","18","0","0","14","4","ALS-L;MCS-D;WRI","Titus, Mary","{'fsnum': '8415', 'name': 'Titus, Mary'}","200","","","","","","Remaking Am: 1845-1945","201","{'day': 'Mo', 'end': '13:50', 'location': 'H 514', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'H 514', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'H 514', 'start': '12:55'}","False","A","1","O","20011","Research","2001"
"0000001954","1.0","0000000178","AMCON","18","1","0","16","1","ALS-L;MCS-D;WRI","Nordstrom-Loeb, Bruce","{'fsnum': '5728', 'name': 'Nordstrom-Loeb, Bruce'}","200","","","","","","Remaking Am: 1845-1945","201","{'day': 'Mo', 'end': '13:50', 'location': 'H 317', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'H 317', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'H 317', 'start': '12:55'}","False","B","1","O","20011","Research","2001"
"0000001869","1.0","0000000004","AMST","20","0","6","6","8","HBS;MCS-D","Kutulas, Judy","{'fsnum': '4583', 'name': 'Kutulas, Judy'}","100","20","","","","","Perspec Amer Culture","100","{'day': 'Mo', 'end': '11:40', 'location': 'L 420', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'L 420', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'L 420', 'start': '10:45'}","False","","1","C","20011","Research","2001"
"0000001870","1.0","0000000012","AMST","1","0","0","0","1","","Allister, Mark","{'fsnum': '110', 'name': 'Allister, Mark'}","200","","","","","","IS/Being Male in Ame","298","","False","","1","O","20011","Research","2001"
"0000002606","1.0","0000001482","ARMS","27","0","4","1","22","ALS-L;MCS-D;WRI","Henry, Joanne","{'fsnum': '14043', 'name': 'Henry, Joanne'}","100","25","","","","","Intro to Arms","121","{'day': 'Mo', 'end': '22:00', 'location': 'H 501', 'start': '19:00'}","False","","1","C","20011","Research","2001"
"0000002607","1.0","0000001484","ARMS","15","1","3","5","6","","Henry, Joanne","{'fsnum': '14043', 'name': 'Henry, Joanne'}","200","25","","","","","Top: Af-Am Women","250","{'day': 'Tu', 'end': '14:45', 'location': 'L 577', 'start': '13:20'};{'day': 'Th', 'end': '14:45', 'location': 'L 577', 'start': '13:20'}","False","","1","O","20011","Seminar","2001"
"0000001872","0.5","0000000019","ART","18","7","2","4","5","ALS-A","Saurer, John","{'fsnum': '7064', 'name': 'Saurer, John'}","100","20","","","","","Found Perceptual Draw","111","{'day': 'Tu', 'end': '09:25', 'location': 'CAD 216', 'start': '08:00'};{'day': 'Th', 'end': '09:25', 'location': 'CAD 216', 'start': '08:00'}","False","A","1","O","20011","Research","2001"
