"clbid","credits","crsid","department","enrolled","firstyear","grouptype","halfcredit","instructors","junior","learningmode","level","max","name","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","type","year"
"0000022187","1.0","0000000052","ART","42","","","","Matthew Rohn","13/20","S","200","50","Art Since 1945","253","{'day': 'Mo', 'end': '11:40', 'location': 'FH 01', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'FH 01', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'FH 01', 'start': '10:45'}","False","False","","3","15/10","14/25","O","19973","Research","1997"
"0000022188","1.0","0000000061","ART","32","","","","A. Malcolm Gimse","6/26","S","200","50","Art of India/SE Asia","265","{'day': 'Mo', 'end': '13:50', 'location': 'FH 01', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'FH 01', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'FH 01', 'start': '12:55'}","False","False","","3","10/15","12/36","O","19973","Research","1997"
"0000022189","1.0","0000001510","ART","13","","","","Perette Michelli","2/15","S","200","30","Ital Arch Ren-Rococo","267","{'day': 'Mo', 'end': '10:00', 'location': 'FH 01', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'FH 01', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'FH 01', 'start': '09:05'}","False","False","","3","6/5","4/23","O","19973","Research","1997"
"0000022190","1.0","0000000066","ART","2","","","","Perette Michelli","1/10","S","200","10","Topics in Art History","275","{'day': 'Tu', 'end': '14:45', 'location': 'SEM RM', 'start': '13:20'};{'day': 'Th', 'end': '14:45', 'location': 'SEM RM', 'start': '13:20'}","False","False","","3","0/2","","O","19973","Topic","1997"
"0000022192","1.0","0000000068","ART","1","","","","A. Malcolm Gimse","","S","200","999","Academic Internship","294","","True","False","A","3","","","O","19973","Research","1997"
"0000022193","1.0","0000000069","ART","1","","","","Ron Gallas","","S","200","999","IS/Ceramic Tea Sets","298","","False","False","","3","","","O","19973","Research","1997"
"0000022194","1.0","0000000069","ART","1","","","","Wendell Arneson","","S","200","999","IS/Adv Painting","298","","False","False","A","3","","","O","19973","Research","1997"
"0000022195","1.0","0000000069","ART","1","","","","Margaret Ojala;Matthew Rohn","","S","200","999","IS/Photographic Theor","298","","False","False","B","3","","","O","19973","Research","1997"
"0000022196","1.0","0000000069","ART","1","","","","A. Malcolm Gimse","","S","200","999","IS/Raka Pottery & Zen","298","","False","False","C","3","","","O","19973","Research","1997"
"0000022197","1.0","0000000069","ART","1","","","","Wendell Arneson","","S","200","999","IS/Mix Media Drawing","298","","False","False","D","3","","","O","19973","Research","1997"
