"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","name","number","pn","section","semester","status","term","type","year"
"0000016646","1.0","0000001072","PHYS","17","2","2","10","3","NSC;NSL","Staff","{'fsnum': '', 'name': 'Staff'}","100","Phenomenological I","124","False","","4","C","19944","Research","1994"
"0000016647","1.0","0000001110","PSCI","5","0","2","1","2","HBS","Staff","{'fsnum': '', 'name': 'Staff'}","100","Int'l Relations","121","False","","4","O","19944","Research","1994"
"0000016648","1.0","0000001136","PSCI","2","0","0","1","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","Foreign Policy","381","False","","4","O","19944","Research","1994"
"0000016649","1.0","0000001154","PSYCH","7","0","1","3","3","HBS;MCS-D","Staff","{'fsnum': '', 'name': 'Staff'}","100","Introductory Psych","121","False","","4","O","19944","Research","1994"
"0000016650","1.0","0000001179","PSYCH","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","IS/Hmong Adjustment I","298","False","","4","O","19944","Research","1994"
"0000016651","1.0","0000001186","PSYCH","3","0","2","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","Issues: Image & Spat Cog","390","False","","4","O","19944","Seminar","1994"
"0000016652","1.0","0000001188","PSYCH","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","Internship","394","True","","4","O","19944","Research","1994"
"0000016653","1.0","0000001195","REL","7","1","3","1","2","BTS-T;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","Chri Theol/Moral Life","207","False","","4","O","19944","Research","1994"
"0000016654","1.0","0000001196","REL","15","2","6","4","3","BTS-T;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","Chr Theol/Human Exist","208","False","","4","O","19944","Research","1994"
"0000016655","1.0","0000001294","SOAN","3","1","0","0","2","HBS;MCS-G","Staff","{'fsnum': '', 'name': 'Staff'}","100","Int/Cult Anthropology","128","False","","4","O","19944","Research","1994"
"0000016656","1.0","0000001308","SOAN","1","0","1","0","0","HBS","Staff","{'fsnum': '', 'name': 'Staff'}","200","Dying,Death,Bereave","248","False","","4","O","19944","Research","1994"
"0000016657","1.0","0000001310","SOAN","1","0","0","0","1","HBS;MCS-D","Staff","{'fsnum': '', 'name': 'Staff'}","200","Marriage & the Family","260","False","","4","O","19944","Research","1994"
"0000016658","1.0","0000001316","SOAN","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","IS/Northfield Voices","298","False","","4","O","19944","Research","1994"
"0000016659","1.0","0000001320","SOAN","1","0","0","1","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","IR/Northfield Voices","398","False","","4","O","19944","Research","1994"
"0000016660","1.0","0000001320","SOAN","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","IR/Latino Studies I","398","False","A","4","O","19944","Research","1994"
"0000016661","1.0","0000000792","THEAT","7","0","3","2","2","HBS","Staff","{'fsnum': '', 'name': 'Staff'}","100","Mass Media","160","False","","4","O","19944","Research","1994"
"0000016662","1.0","0000001400","THEAT","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","Internship","394","True","","4","O","19944","Research","1994"
"0000016663","1.0","0000001400","THEAT","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","Internship","394","True","A","4","O","19944","Research","1994"
"0000016664","1.0","0000001401","THEAT","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","IR/Mass Media & Educ","398","False","","4","O","19944","Research","1994"
"0000016665","1.0","0000001401","THEAT","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","IR/Audition Technique","398","False","A","4","O","19944","Research","1994"
"0000016666","1.0","0000001401","THEAT","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","IR/Rhetoric/Early Wm","398","False","B","4","O","19944","Research","1994"

