"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","number","offerings","pn","section","semester","status","term","type","year"
"0000006401","1.0","0000000012","AMST","1","0","0","0","1","","Farrell, James","{'fsnum': '2030', 'name': 'Farrell, James'}","200","","","","","","IS/Sustain/Community","298","","False","","2","O","20032","Research","2003"
"0000006402","1.0","0000000012","AMST","1","0","0","1","0","","Farrell, James","{'fsnum': '2030', 'name': 'Farrell, James'}","200","","","","","","IS/WTO/Globalization","298","","False","A","2","O","20032","Research","2003"
"0000006403","1.0","0000000028","ART","19","12","0","4","3","ALS-A","Rabiner, Mollie","{'fsnum': '15835', 'name': 'Rabiner, Mollie'}","100","18","","","","","Foundation Sculpture","122","{'day': 'Mo', 'end': '15:00', 'location': 'CAD 106', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'CAD 106', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'CAD 106', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'CAD 106', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'CAD 106', 'start': '13:00'};{'day': 'Mo', 'end': '10:00', 'location': 'CAD 106', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'CAD 106', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 106', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'CAD 106', 'start': '09:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 106', 'start': '09:00'};{'day': 'Mo', 'end': '12:10', 'location': 'CAD 106', 'start': '22:40'};{'day': 'Tu', 'end': '12:10', 'location': 'CAD 106', 'start': '22:40'};{'day': 'We', 'end': '12:10', 'location': 'CAD 106', 'start': '22:40'};{'day': 'Th', 'end': '12:10', 'location': 'CAD 106', 'start': '22:40'};{'day': 'Fr', 'end': '12:10', 'location': 'CAD 106', 'start': '22:40'}","False","","2","C","20032","Research","2003"
"0000006404","1.0","0000000044","ART","8","2","1","3","2","","Lowe, Kristen","{'fsnum': '15829', 'name': 'Lowe, Kristen'}","200","20","","","","","Advanced Drawing","233","{'day': 'Mo', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Mo', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'Mo', 'end': '12:10', 'location': 'CAD 216', 'start': '22:40'};{'day': 'Tu', 'end': '12:10', 'location': 'CAD 216', 'start': '22:40'};{'day': 'We', 'end': '12:10', 'location': 'CAD 216', 'start': '22:40'};{'day': 'Th', 'end': '12:10', 'location': 'CAD 216', 'start': '22:40'};{'day': 'Fr', 'end': '12:10', 'location': 'CAD 216', 'start': '22:40'}","False","","2","O","20032","Research","2003"
"0000006405","1.0","0000000048","ART","17","0","9","5","3","","Saurer, John","{'fsnum': '7064', 'name': 'Saurer, John'}","200","15","","","","","Manhattan Art Interim","246","","False","","2","C","20032","Research","2003"
"0000006406","1.0","0000000052","ART","35","5","7","12","11","ALS-A;HWC","Rohn, Matthew","{'fsnum': '6758', 'name': 'Rohn, Matthew'}","200","40","","","","","Art Since 1950","253","{'day': 'Mo', 'end': '15:00', 'location': 'CAD 305', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'CAD 305', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'CAD 305', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'CAD 305', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'CAD 305', 'start': '13:00'}","False","","2","C","20032","Research","2003"
"0000006407","1.0","0000000054","ART","20","0","9","4","7","ALS-A","Thompson, Nancy M.","{'fsnum': '13137', 'name': 'Thompson, Nancy M.'}","200","15","","","","","Ital Art in Context","255","","False","","2","C","20032","Research","2003"
"0000006408","1.0","0000000068","ART","1","0","0","0","1","","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","200","","","","","","Academic Internship","294","","True","","2","O","20032","Research","2003"
"0000006409","1.0","0000000068","ART","1","0","0","0","1","","Brooks-Shirey, Heather M.","{'fsnum': '14840', 'name': 'Brooks-Shirey, Heather M.'}","200","","","","","","Academic Internship","294","","True","A","2","O","20032","Research","2003"
"0000006410","1.0","0000000069","ART","1","0","0","0","1","","Gallas, Ron","{'fsnum': '2492', 'name': 'Gallas, Ron'}","200","","","","","","IS/Ceramics Hand","298","","False","","2","O","20032","Research","2003"
