"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","offerings","pn","semester","status","term","type","year"
"0000026968","1.0","0000000738","MATH","5","2","0","3","0","","Alberts, Kenneth","{'fsnum': '10198', 'name': 'Alberts, Kenneth'}","200","","Multivariable Calc","226","","False","4","O","19994","Research","1999"
"0000026969","0.25","0000000799","MUSIC","2","0","0","0","2","","Forsberg, Charles","{'fsnum': '2241', 'name': 'Forsberg, Charles'}","100","","Ear/Keyboard I","111","{'day': 'Mo', 'end': '09:30', 'location': 'CHM 224', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'CHM 224', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'CHM 224', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'CHM 224', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'CHM 224', 'start': '08:00'}","False","4","O","19994","Research","1999"
"0000026970","0.75","0000000801","MUSIC","5","0","3","1","1","","Forsberg, Charles","{'fsnum': '2241', 'name': 'Forsberg, Charles'}","100","","Theory I","113","{'day': 'Mo', 'end': '11:30', 'location': 'CHM 224', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'CHM 224', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'CHM 224', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'CHM 224', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'CHM 224', 'start': '10:00'}","False","4","O","19994","Research","1999"
"0000026971","1.0","0000000803","MUSIC","3","0","2","0","1","ALS-A","Forsberg, Charles","{'fsnum': '2241', 'name': 'Forsberg, Charles'}","100","","The Music Spectrum","130","{'day': 'Mo', 'end': '14:00', 'location': 'CHM 224', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'CHM 224', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'CHM 224', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'CHM 224', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'CHM 224', 'start': '12:30'}","False","4","O","19994","Research","1999"
"0000026972","1.0","0000000821","MUSIC","4","0","1","1","2","","Forsberg, Charles","{'fsnum': '2241', 'name': 'Forsberg, Charles'}","200","","Counterpoint","222","","False","4","O","19994","Research","1999"
"0000026975","0.25","0000002185","PEAC","5","2","1","2","0","PHA","Daymont, Christine","{'fsnum': '1358', 'name': 'Daymont, Christine'}","100","","Individual Fitness","132","","False","4","O","19994","Research","1999"
"0000026976","0.25","0000001016","PEAC","10","0","8","2","0","PHA","Daymont, Christine","{'fsnum': '1358', 'name': 'Daymont, Christine'}","100","","Wt Training Co-Ed .25","140","","False","4","O","19994","Research","1999"
"0000026973","1.0","0000000979","PHIL","4","0","1","3","0","EIN","Swain, Corliss","{'fsnum': '8165', 'name': 'Swain, Corliss'}","200","","Ethics/The Good Life","252","{'day': 'Mo', 'end': '14:00', 'location': 'L 515', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'L 515', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'L 515', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'L 515', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'L 515', 'start': '12:30'}","False","4","O","19994","Research","1999"
"0000026974","1.0","0000000983","PHIL","12","0","7","3","2","EIN","Marino, Gordon D.","{'fsnum': '5051', 'name': 'Marino, Gordon D.'}","200","","Vices and Virtues","258","{'day': 'Mo', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 520', 'start': '10:00'}","False","4","O","19994","Research","1999"
"0000026977","1.0","0000001072","PHYS","15","1","2","9","3","NSC;NSL","Dahl, David A.","{'fsnum': '1345', 'name': 'Dahl, David A.'}","100","","Principles Physics I","124","{'day': 'Mo', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'We', 'end': '15:00', 'location': 'SC 111', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'SC 111', 'start': '13:00'}","False","4","O","19994","Research","1999"
"0000026978","1.0","0000001195","REL","7","2","3","1","1","BTS-T;WRI","Malotky, Daniel","{'fsnum': '5032', 'name': 'Malotky, Daniel'}","200","","Chri Theol/Moral Life","207","{'day': 'Mo', 'end': '14:00', 'location': 'L 577', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'L 577', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'L 577', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'L 577', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'L 577', 'start': '12:30'}","False","4","O","19994","Research","1999"
"0000026979","1.0","0000001209","REL","16","4","2","10","0","BTS-T;WRI","Malotky, Daniel","{'fsnum': '5032', 'name': 'Malotky, Daniel'}","200","","God & Human Suffering","225","{'day': 'Mo', 'end': '11:30', 'location': 'L 577', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 577', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 577', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 577', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'L 577', 'start': '10:00'}","False","4","O","19994","Research","1999"

