"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000096992","0.25","0000000200","CHEM","This course is a continuation of Chemistry 253. Students gain more experience with techniques used in Chemistry 253 and in addition use gas chromatographic/mass spectrometric analyses. Students attend one three-hour laboratory each week. P/N only. Prerequisites: Chemistry 253 and previous or concurrent registration in Chemistry 248. Offered annually in the spring semester. Counts toward environmental studies major (natural science track).","15","2","0","9","4","","Scholten, Marc D.","{'fsnum': '25347', 'name': 'Scholten, Marc D.'}","200","Synthesis Lab II","","254","{'day': 'Tu', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'};{'day': 'Th', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'}","True","Prerequisites: Chemistry 253 and previous or concurrent registration in Chemistry 248. Offered annually in the spring semester. Counts toward environmental studies major (natural science track).","B","5","O","20135","Synthesis Laboratory II","Lab","2013"
"0000097798","1.0","0000000204","CHEM","","1","0","1","0","0","","Beussman, Douglas J.","{'fsnum': '15745', 'name': 'Beussman, Douglas J.'}","200","Academic Internship","","294","","True","","","5","O","20135","Internship","Research","2013"
"0000097800","0.25","0000000204","CHEM","","0","0","0","0","0","","Muth, Greg W.","{'fsnum': '14961', 'name': 'Muth, Greg W.'}","200","Academic Internship","","294","","True","","A","5","O","20135","Internship","Research","2013"
"0000097824","1.0","0000000204","CHEM","","1","0","1","0","0","","Muth, Greg W.","{'fsnum': '14961', 'name': 'Muth, Greg W.'}","200","Academic Internship","","294","","True","","B","5","O","20135","Internship","Research","2013"
"0000097558","0.25","0000000276","ECON","","1","0","1","0","0","","Hodgson, Ashley","{'fsnum': '22839', 'name': 'Hodgson, Ashley'}","200","Academic Internship","","294","","True","","","5","O","20135","","Research","2013"
"0000097739","0.25","0000000284","ECON","Academic Internship.","1","0","1","0","0","","Hodgson, Ashley","{'fsnum': '22839', 'name': 'Hodgson, Ashley'}","300","Academic Internship","","394","","True","False","","5","O","20135","","Research","2013"
"0000097732","1.0","0000000285","ECON","","1","0","1","0","0","","Pomponio, Xun","{'fsnum': '6399', 'name': 'Pomponio, Xun'}","300","IR/Olympic\Effect\Cities","","398","","False","","","5","O","20135","Independent Research","Research","2013"
"0000096986","1.0","0000025856","ENGL","British Romantic and American Transcendentalist literatures emphasize youth, celebrate the body and energy, and extol intuition, creativity, and individuality. Rock music has been derided by some commentators as extreme Romanticism. Students in the course examine this artistic line of influence and debate its merits. Writers and musicians may include Blake, Wordsworth, Byron, Emerson, Whitman, Springsteen, Cloud Cult, and Arcade Fire. Prerequisite: FYW. Offered alternate years.","5","0","0","3","2","ALS-L","Allister, Mark","{'fsnum': '110', 'name': 'Allister, Mark'}","200","Romanticism & Rock Music","","266","{'day': 'Mo', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'}","False","FYW. Offered alternate years.","","5","O","20135","Romanticism and Rock Music","Research","2013"
"0000096786","1.0","0000018778","ENVST","EnvSt 281 Soil to Plate (ARTHUM) – Mark Allister In this course students study food and the local foods movement from soil to plate. Study takes place in and out of the classroom: students read the agricultural bill and Michael Pollan; watch documentaries about our national food issues and visit local farms; work with and on local farms to see how they do their business; and, as often as possible, cook and eat. Fine chefs welcome. Those who aren't will get some cooking lessons.","0","0","0","0","0","EIN","Allister, Mark","{'fsnum': '110', 'name': 'Allister, Mark'}","200","Top: Food: Soil to Plate","","281","{'day': 'Mo', 'end': '14:00', 'location': '', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': '', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': '', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': '', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': '', 'start': '12:30'}","False","False","","5","X","20135","Topics in Environmental Studies","Topic","2013"
"0000097776","0.25","0000000464","ENVST","","1","0","0","1","0","","Shea, Kathleen L.","{'fsnum': '7450', 'name': 'Shea, Kathleen L.'}","200","Academic Internship","","294","","True","","","5","O","20135","Internship","Research","2013"
"0000097777","0.25","0000000464","ENVST","","1","0","1","0","0","","Swift, Michael","{'fsnum': '8210', 'name': 'Swift, Michael'}","200","Academic Internship","","294","","True","","A","5","O","20135","Internship","Research","2013"
"0000096750","0.5","0000001012","ESAC","Students personally apply the basic principles of exercise through conditioning, strength development, endurance training, and aerobic activities. Students participate in a wide range of assessments designed to enhance physical fitness.","0","0","0","0","0","PHA;SPM","Gelle, Andrea J.","{'fsnum': '17503', 'name': 'Gelle, Andrea J.'}","100","Individual Fitness.50","","133","{'day': 'Mo', 'end': '09:30', 'location': 'SAC 112', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'SAC 112', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'SAC 112', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'SAC 112', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'SAC 112', 'start': '08:00'}","False","False","","5","X","20135","Individual Fitness","Research","2013"
"0000096751","0.5","0000001016","ESAC","Students learn the principles, techniques and safety aspects of weight-training and implement a personal training plan. Students participate in a wide range of assessments (strength, power, endurance, nutrition, flexibility, body composition, stress).","4","0","0","3","1","PHA;SPM","Ludwig, Michael M.","{'fsnum': '11465', 'name': 'Ludwig, Michael M.'}","100","Wt Training Co-Ed .50","","140","{'day': 'Mo', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'Tu', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'We', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'Th', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'Fr', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'}","False","False","","5","O","20135","Weight Training","Research","2013"
"0000097745","1.0","0000001057","ESTH","","1","0","0","1","0","","Book, Cindy","{'fsnum': '694', 'name': 'Book, Cindy'}","200","Academic Internship","","294","","True","","","5","O","20135","Internship","Research","2013"
"0000097780","0.25","0000001057","ESTH","","1","0","1","0","0","","Book, Cindy","{'fsnum': '694', 'name': 'Book, Cindy'}","200","Academic Internship","","294","","True","","A","5","O","20135","Internship","Research","2013"
"0000097799","1.0","0000001057","ESTH","","1","0","1","0","0","","Ahrar, Shahram","{'fsnum': '17543', 'name': 'Ahrar, Shahram'}","200","Academic Internship","","294","","True","","B","5","O","20135","Internship","Research","2013"
"0000097852","1.0","0000001067","ESTH","","1","0","1","0","0","","Book, Cindy","{'fsnum': '694', 'name': 'Book, Cindy'}","300","Academic Internship","","394","","True","","","5","O","20135","Internship","Research","2013"
"0000097566","1.0","0000000642","HIST","","1","0","1","0","0","","Howe, Tim R.","{'fsnum': '15815', 'name': 'Howe, Tim R.'}","300","IR/History of Coinage","","398","","False","","","5","O","20135","Independent Research","Research","2013"
