"clbid","credits","crsid","department","enrolled","instructors","learningmode","level","max","name","number","offerings","pn","prerequisites","section","semester","status","term","type","year"
"0000001812","1.0","0000000068","ART","1","A. Malcolm Gimse","S","200","999","Academic Internship","294","","True","False","","5","O","20005","Research","2000"
"0000001813","1.0","0000000100","BIO","27","Charles Jr. Umbanhowar","S","100","27","Biological Science","121","","False","False","","5","O","20005","Research","2000"
"0000001814","1.0","0000000153","BIO","2","Louis Henry Kermott","S","200","999","Academic Internship","294","","True","False","","5","O","20005","Research","2000"
"0000001815","1.0","0000000154","BIO","1","Theodore Johnson","S","200","999","IS/Major Joint Rehab","298","","False","False","","5","O","20005","Research","2000"
"0000001816","1.0","0000000175","BIO","1","Eugene Bakko","S","300","999","IR/Peregrine Reintro","398","","False","False","","5","O","20005","Research","2000"
"0000001817","1.0","0000000197","CHEM","30","Wesley Pearson","S","200","999","Organic Chemistry","248","{'day': 'Mo', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'}","False","False","","5","O","20005","Research","2000"
"0000001818","0.25","0000000200","CHEM","28","Wesley Pearson","S","200","999","Synthesis Lab","254","{'day': 'Mo', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'};{'day': 'Tu', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'}","True","False","","5","O","20005","Lab","2000"
"0000001819","1.0","0000000257","ECON","14","Steve Soderlind","S","100","999","Consumers & Amer Econ","115","","False","False","","5","O","20005","Research","2000"
"0000001820","1.0","0000000284","ECON","1","Richard Goedde","S","300","999","Academic Internship","394","","True","False","","5","O","20005","Research","2000"
"0000001821","1.0","0000000284","ECON","1","Anthony Becker","S","300","999","Academic Internship","394","","True","False","A","5","O","20005","Research","2000"
"0000001822","1.0","0000000299","CSCI","1","Richard Brown","S","200","999","Academic Internship","294","","True","False","","5","O","20005","Research","2000"
"0000001823","1.0","0000000337","EDUC","1","Mark Schelske","S","300","999","The Exceptional Child","376","","False","False","","5","O","20005","Research","2000"
"0000001824","1.0","0000000374","DNCTH","1","Heather J. Klopchin","S","200","999","Academic Internship","294","","True","False","","5","O","20005","Research","2000"
"0000001825","1.0","0000000386","ENGL","7","Colin Wells","S","100","999","The Comic Novel","131","{'day': 'Mo', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'L 515', 'start': '10:00'}","False","False","","5","O","20005","Research","2000"
