"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","offerings","pn","section","semester","status","term","type","year"
"0000005590","1.0","0000000040","ART","2","0","0","0","2","","Kelley, Patrick T.","{'fsnum': '14002', 'name': 'Kelley, Patrick T.'}","200","","Comp-Generatd Imagery","228","{'day': 'Mo', 'end': '09:30', 'location': 'CAD 100', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'CAD 100', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'CAD 100', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'CAD 100', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'CAD 100', 'start': '08:00'}","False","","5","O","20025","Research","2002"
"0000005591","1.0","0000000050","ART","7","0","5","2","0","ALS-A;HWC","Brooks-Shirey, Heather M.","{'fsnum': '14840', 'name': 'Brooks-Shirey, Heather M.'}","200","","Art 1776-1880","251","{'day': 'Mo', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'}","False","","5","O","20025","Research","2002"
"0000005592","1.0","0000000100","BIO","38","6","0","2","30","NSC;NSL","Staff","{'fsnum': '', 'name': 'Staff'}","100","36","Biological Science","121","","False","","5","O","20025","Research","2002"
"0000005593","1.0","0000000153","BIO","1","0","0","0","1","","Angell, Diane K.","{'fsnum': '256', 'name': 'Angell, Diane K.'}","200","","Academic Internship","294","","True","","5","O","20025","Research","2002"
"0000005594","1.0","0000000194","CHEM","7","1","0","2","4","NSC;NSL","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","","Chemical Reactions","126","{'day': 'Mo', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'}","False","","5","O","20025","Research","2002"
"0000005595","","0000000195","CHEM","0","0","0","0","0","","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","","Chemical Reac/Lab","126","{'day': 'Mo', 'end': '16:00', 'location': 'SC 374/363', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'SC 374/363', 'start': '13:00'}","False","A","5","O","20025","Lab","2002"
"0000005596","1.0","0000000197","CHEM","34","5","4","17","8","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","Organic Chemistry","248","{'day': 'Mo', 'end': '09:30', 'location': 'CAD 378', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'CAD 378', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'CAD 378', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'CAD 378', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'CAD 378', 'start': '08:00'}","False","","5","O","20025","Research","2002"
"0000005597","0.25","0000000200","CHEM","18","0","2","10","6","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","Synthesis Lab","254","","True","A","5","O","20025","Lab","2002"
"0000005598","0.25","0000000200","CHEM","10","4","2","3","1","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","Synthesis Lab","254","","True","B","5","O","20025","Lab","2002"
"0000005599","1.0","0000000254","ECON","10","0","0","0","10","","Soderlind, Steve","{'fsnum': '7636', 'name': 'Soderlind, Steve'}","100","","Capitalism: Struggles","111","","False","","5","O","20025","Research","2002"
