"clbid","credits","crsid","department","enrolled","instructors","learningmode","level","max","name","number","offerings","pn","prerequisites","section","semester","status","term","type","year"
"0000004449","1.0","0000000012","AMST","3","Mark Allister","S","200","999","IS/Landscape of Am Sw","298","","False","False","","2","O","20022","Research","2002"
"0000004450","1.0","0000000028","ART","16","Irve Dell","S","100","18","Foundation Sculpture","122","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 106', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'CAD 106', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 106', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'CAD 106', 'start': '09:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 106', 'start': '09:00'};{'day': 'Mo', 'end': '12:10', 'location': 'CAD 106', 'start': '10:40'};{'day': 'Tu', 'end': '12:10', 'location': 'CAD 106', 'start': '10:40'};{'day': 'We', 'end': '12:10', 'location': 'CAD 106', 'start': '10:40'};{'day': 'Th', 'end': '12:10', 'location': 'CAD 106', 'start': '10:40'};{'day': 'Fr', 'end': '12:10', 'location': 'CAD 106', 'start': '10:40'};{'day': 'Mo', 'end': '15:00', 'location': 'CAD 106', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'CAD 106', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'CAD 106', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'CAD 106', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'CAD 106', 'start': '13:00'}","False","False","","2","C","20022","Research","2002"
"0000004451","1.0","0000000032","ART","38","Randall Van Schepen","S","100","40","Renaissance--Present","151","{'day': 'Mo', 'end': '12:40', 'location': 'CAD 305', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'CAD 305', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'CAD 305', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'CAD 305', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'CAD 305', 'start': '10:40'}","False","False","","2","C","20022","Research","2002"
"0000004452","1.0","0000000040","ART","13","Justin Newhall","S","200","15","Comp-Generatd Imagery","228","{'day': 'Mo', 'end': '12:00', 'location': 'CAD 100', 'start': '10:40'};{'day': 'Tu', 'end': '12:00', 'location': 'CAD 100', 'start': '10:40'};{'day': 'We', 'end': '12:00', 'location': 'CAD 100', 'start': '10:40'};{'day': 'Th', 'end': '12:00', 'location': 'CAD 100', 'start': '10:40'};{'day': 'Fr', 'end': '12:00', 'location': 'CAD 100', 'start': '10:40'};{'day': 'Mo', 'end': '15:00', 'location': 'CAD 100', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'CAD 100', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'CAD 100', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'CAD 100', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'CAD 100', 'start': '13:00'}","False","False","","2","O","20022","Research","2002"
"0000004453","1.0","0000000044","ART","13","John Saurer","S","200","20","Advanced Drawing","233","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'Mo', 'end': '12:10', 'location': 'CAD 216', 'start': '10:40'};{'day': 'Tu', 'end': '12:10', 'location': 'CAD 216', 'start': '10:40'};{'day': 'We', 'end': '12:10', 'location': 'CAD 216', 'start': '10:40'};{'day': 'Th', 'end': '12:10', 'location': 'CAD 216', 'start': '10:40'};{'day': 'Fr', 'end': '12:10', 'location': 'CAD 216', 'start': '10:40'}","False","False","","2","O","20022","Research","2002"
"0000004454","1.0","0000000048","ART","18","Jill Ewald","S","200","15","Manhattan Art Interim","246","","False","False","","2","C","20022","Research","2002"
"0000004455","1.0","0000000064","ART","12","Matthew Rohn","S","200","20","Issues Art Criticism","270","{'day': 'Mo', 'end': '12:40', 'location': 'CAD 204', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'CAD 204', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'CAD 204', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'CAD 204', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'CAD 204', 'start': '10:40'}","False","False","","2","O","20022","Research","2002"
"0000004456","1.0","0000000068","ART","1","John Saurer","S","200","999","Academic Internship","294","","True","False","","2","O","20022","Research","2002"
"0000004457","1.0","0000000068","ART","1","Wendell Arneson","S","200","999","Academic Internship","294","","True","False","A","2","O","20022","Research","2002"
"0000004458","1.0","0000000075","ART","1","Wendell Arneson","S","300","999","IR/Advanced Painting","398","","False","False","","2","O","20022","Research","2002"
"0000004459","1.0","0000000075","ART","1","Irve Dell","S","300","999","IR/Fine Furniture","398","","False","False","A","2","O","20022","Research","2002"
"0000004460","1.0","0000000079","ASIAN","30","Marilynn Miller","S","100","29","Intro Japnese Film-Tr","124","{'day': 'Tu', 'end': '10:00', 'location': 'CAD 305', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 305', 'start': '08:00'};{'day': 'Th', 'end': '10:00', 'location': 'CAD 305', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 305', 'start': '08:00'}","False","False","","2","C","20022","Research","2002"
"0000004461","1.0","0000000082","ASIAN","16","Richard Bodman","S","100","21","Afghan Kaleidoscope","152","{'day': 'Mo', 'end': '10:00', 'location': 'OM 001', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'OM 001', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'OM 001', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'OM 001', 'start': '09:00'};{'day': 'Mo', 'end': '12:10', 'location': 'OM 001', 'start': '10:40'};{'day': 'Tu', 'end': '12:10', 'location': 'OM 001', 'start': '10:40'};{'day': 'We', 'end': '12:10', 'location': 'OM 001', 'start': '10:40'};{'day': 'Th', 'end': '12:10', 'location': 'OM 001', 'start': '10:40'}","False","False","","2","C","20022","Research","2002"
"0000004462","1.0","0000000085","ASIAN","21","Robert Entenmann","S","200","20","Nat ID/China & Japan","212","","False","False","","2","C","20022","Research","2002"
"0000004463","1.0","0000000088","ASIAN","23","Pin Pin Wan","S","200","25","Chinese Lit--Tr","236","{'day': 'Mo', 'end': '12:40', 'location': 'OM 002', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'OM 002', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'OM 002', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'OM 002', 'start': '10:40'};{'day': 'Mo', 'end': '15:00', 'location': 'OM 002', 'start': '14:00'};{'day': 'Tu', 'end': '15:00', 'location': 'OM 002', 'start': '14:00'};{'day': 'We', 'end': '15:00', 'location': 'OM 002', 'start': '14:00'};{'day': 'Th', 'end': '15:00', 'location': 'OM 002', 'start': '14:00'}","False","False","","2","O","20022","Research","2002"
"0000004464","1.0","0000000094","ASIAN","1","Robert Entenmann","S","200","999","IS/Non-Communist Chin","298","","False","False","","2","O","20022","Research","2002"
"0000004465","1.0","0000000094","ASIAN","1","Pin Pin Wan","S","200","999","IS/Chinese IDentity","298","","False","False","A","2","O","20022","Research","2002"
"0000004466","1.0","0000000094","ASIAN","1","Pin Pin Wan","S","200","999","IS/Imperialism Asia","298","","False","False","B","2","O","20022","Research","2002"
"0000004467","1.0","0000000094","ASIAN","1","Phyllis Hyland Larson","S","200","999","IS/Inten Japanese Rev","298","","False","False","C","2","O","20022","Research","2002"
"0000004468","1.0","0000000097","ASIAN","1","Phyllis Hyland Larson","S","300","999","IR/Zen in Modern Jap","398","","False","False","","2","O","20022","Research","2002"
"0000004469","1.0","0000000104","BIO","28","Mary C. Henry","S","100","24","The Biology of Women","124","{'day': 'Mo', 'end': '12:40', 'location': 'SC 130', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'SC 130', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'SC 130', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'SC 130', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'SC 130', 'start': '10:40'};{'day': 'Mo', 'end': '15:00', 'location': 'SC 130', 'start': '14:00'};{'day': 'Tu', 'end': '15:00', 'location': 'SC 130', 'start': '14:00'};{'day': 'We', 'end': '15:00', 'location': 'SC 130', 'start': '14:00'};{'day': 'Th', 'end': '15:00', 'location': 'SC 130', 'start': '14:00'};{'day': 'Fr', 'end': '15:00', 'location': 'SC 130', 'start': '14:00'}","False","False","A","2","C","20022","Research","2002"
"0000004470","1.0","0000000104","BIO","21","Diane M. Maher","S","100","24","The Biology of Women","124","{'day': 'Mo', 'end': '12:00', 'location': 'SC 274', 'start': '10:40'};{'day': 'Tu', 'end': '12:00', 'location': 'SC 274', 'start': '10:40'};{'day': 'Th', 'end': '12:00', 'location': 'SC 274', 'start': '10:40'};{'day': 'Fr', 'end': '12:00', 'location': 'SC 274', 'start': '10:40'};{'day': 'Mo', 'end': '15:00', 'location': 'SH 001', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'SH 001', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'SH 001', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'SH 001', 'start': '13:00'}","False","False","B","2","C","20022","Research","2002"
