"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","number","offerings","pn","section","semester","status","term","type","year"
"0000003698","0.5","0000000024","ART","17","6","2","5","4","ALS-A","Rudquist, Monica","{'fsnum': '14959', 'name': 'Rudquist, Monica'}","100","20","7","2","1","2","Found Ceramics: Hand","116","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 115C', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 115C', 'start': '09:30'}","False","","1","C","20021","Research","2002"
"0000003699","0.5","0000000026","ART","19","5","6","5","3","ALS-A","Rudquist, Monica","{'fsnum': '14959', 'name': 'Rudquist, Monica'}","100","20","5","2","2","1","Found Ceramics: Wheel","119","{'day': 'Tu', 'end': '13:10', 'location': 'CAD 115E', 'start': '23:45'};{'day': 'Th', 'end': '14:05', 'location': 'CAD 115E', 'start': '12:45'}","False","","1","C","20021","Research","2002"
"0000003700","1.0","0000000027","ART","11","10","0","0","1","ALS-A","Evans, Jil","{'fsnum': '14958', 'name': 'Evans, Jil'}","100","18","17","0","0","0","Honors Found Drawing","120","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 216', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 216', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 216', 'start': '08:00'}","False","","1","C","20021","Research","2002"
"0000003701","1.0","0000000029","ART","18","9","1","3","5","ALS-A","Gammell, Linda","{'fsnum': '14097', 'name': 'Gammell, Linda'}","100","18","","","","","Found Photography","124","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 102', 'start': '23:45'};{'day': 'Th', 'end': '15:45', 'location': 'CAD 102', 'start': '12:45'}","False","","1","C","20021","Research","2002"
"0000003702","1.0","0000000031","ART","38","7","10","7","14","ALS-A;HWC","Thompson, Nancy M.","{'fsnum': '13137', 'name': 'Thompson, Nancy M.'}","100","40","5","7","7","6","Ancient--Medieval","150","{'day': 'Mo', 'end': '11:40', 'location': 'CAD 305', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'CAD 305', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'CAD 305', 'start': '10:45'}","False","","1","C","20021","Research","2002"
"0000003703","1.0","0000000033","ART","31","1","8","6","16","","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","200","22","","","","","Oil/Acrylic Painting","221","{'day': 'Mo', 'end': '14:55', 'location': 'CAD 214', 'start': '12:55'};{'day': 'We', 'end': '14:55', 'location': 'CAD 214', 'start': '12:55'};{'day': 'Fr', 'end': '14:55', 'location': 'CAD 214', 'start': '12:55'}","False","","1","C","20021","Research","2002"
"0000003704","1.0","0000000035","ART","8","0","2","3","3","","Dell, Irve","{'fsnum': '1369', 'name': 'Dell, Irve'}","200","15","6","4","7","3","Sculpt: Metal Casting","223","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 105', 'start': '23:45'};{'day': 'Th', 'end': '15:45', 'location': 'CAD 105', 'start': '12:45'}","False","","1","O","20021","Research","2002"
"0000003705","1.0","0000000039","ART","12","0","6","4","2","","Saurer, John","{'fsnum': '7064', 'name': 'Saurer, John'}","200","16","0","4","4","3","Printmkg: Intaglio/Mono","227","{'day': 'Mo', 'end': '12:45', 'location': 'CAD 212', 'start': '22:45'};{'day': 'We', 'end': '12:45', 'location': 'CAD 212', 'start': '22:45'};{'day': 'Fr', 'end': '12:45', 'location': 'CAD 212', 'start': '22:45'}","False","","1","C","20021","Research","2002"
"0000003706","1.0","0000000042","ART","11","0","2","3","6","","Kelley, Patrick T.","{'fsnum': '14002', 'name': 'Kelley, Patrick T.'}","200","15","0","5","6","4","Motion Graphics","230","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 100', 'start': '23:45'};{'day': 'Th', 'end': '15:45', 'location': 'CAD 100', 'start': '12:45'}","False","","1","C","20021","Research","2002"
"0000003707","1.0","0000000046","ART","2","0","0","1","1","","Gammell, Linda","{'fsnum': '14097', 'name': 'Gammell, Linda'}","200","15","0","8","13","4","Photography","238","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 102', 'start': '23:45'};{'day': 'Th', 'end': '15:45', 'location': 'CAD 102', 'start': '12:45'}","False","","1","C","20021","Research","2002"
"0000003708","1.0","0000000047","ART","8","2","1","2","3","ALS-A","Ryan, David E.","{'fsnum': '13038', 'name': 'Ryan, David E.'}","200","14","0","7","9","4","Video Art Production","239","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 101', 'start': '08:00'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 101', 'start': '08:00'}","False","","1","O","20021","Research","2002"
"0000003709","1.0","0000000051","ART","38","5","14","10","9","ALS-A;HWC","Rohn, Matthew","{'fsnum': '6758', 'name': 'Rohn, Matthew'}","200","40","7","6","6","6","Art 1880-1950","252","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 305', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'CAD 305', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 305', 'start': '09:05'}","False","","1","C","20021","Research","2002"
"0000003710","1.0","0000000052","ART","39","6","12","12","9","ALS-A;HWC","Van Schepen, Randall","{'fsnum': '14183', 'name': 'Van Schepen, Randall'}","200","40","7","8","6","6","Art Since 1950","253","{'day': 'Tu', 'end': '13:10', 'location': 'CAD 305', 'start': '23:45'};{'day': 'Th', 'end': '14:05', 'location': 'CAD 305', 'start': '12:45'}","False","","1","O","20021","Research","2002"
