"clbid","credits","crsid","department","enrolled","firstyear","halfcredit","instructors","junior","learningmode","level","max","name","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","type","year"
"0000015730","1.0","0000001491","AMST","18","","","Staff","","S","200","20","Topics: American Media","202","{'day': 'Mo', 'end': '13:50', 'location': 'H 515', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'H 515', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'H 515', 'start': '12:55'}","False","False","","3","","","C","19943","Topic","1994"
"0000015731","1.0","0000001495","AMST","6","","","Staff","","S","300","20","Sem: Envrmt'l Politics","399","{'day': 'Tu', 'end': '11:00', 'location': 'YH 130', 'start': '09:35'};{'day': 'Th', 'end': '11:00', 'location': 'YH 130', 'start': '09:35'}","False","False","","3","","","O","19943","Seminar","1994"
"0000015732","0.5","0000000019","ART","16","2/11","","Staff","6/5","S","100","22","Found Perceptual Draw","111","{'day': 'Tu', 'end': '09:25', 'location': 'FH 42', 'start': '08:00'};{'day': 'Th', 'end': '09:25', 'location': 'FH 42', 'start': '08:00'}","False","False","A","3","3/1","5/8","O","19943","Research","1994"
"0000015733","0.5","0000000019","ART","19","6/12","","Staff","2/5","S","100","22","Found Perceptual Draw","111","{'day': 'Tu', 'end': '11:00', 'location': 'FH 42', 'start': '09:35'};{'day': 'Th', 'end': '11:00', 'location': 'FH 42', 'start': '09:35'}","False","False","B","3","5/1","6/11","C","19943","Research","1994"
"0000015734","0.5","0000000020","ART","15","3/13","","Staff","4/4","S","100","22","Found Conceptual Draw","112","{'day': 'Mo', 'end': '08:55', 'location': 'FH 42', 'start': '08:00'};{'day': 'We', 'end': '08:55', 'location': 'FH 42', 'start': '08:00'};{'day': 'Fr', 'end': '08:55', 'location': 'FH 42', 'start': '08:00'}","False","False","A","3","2/1","6/8","O","19943","Research","1994"
"0000015735","0.5","0000000020","ART","18","10/14","","Staff","0/4","S","100","22","Found Conceptual Draw","112","{'day': 'Mo', 'end': '10:00', 'location': 'FH 42', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'FH 42', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'FH 42', 'start': '09:05'}","False","False","B","3","4/1","4/8","C","19943","Research","1994"
"0000015736","0.5","0000000021","ART","11","2/16","","Staff","2/4","S","100","22","Found Color Design","113","{'day': 'Mo', 'end': '10:00', 'location': 'FHAB', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'FHAB', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'FHAB', 'start': '09:05'}","False","False","A","3","2/2","5/10","O","19943","Research","1994"
"0000015737","0.5","0000000021","ART","24","8/9","","Staff","2/4","S","100","22","Found Color Design","113","{'day': 'Mo', 'end': '11:40', 'location': 'FHAB', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'FHAB', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'FHAB', 'start': '10:45'}","False","False","B","3","5/2","9/8","C","19943","Research","1994"
"0000015738","0.5","0000000022","ART","12","3/5","","Staff","2/3","S","100","15","Foundation Sculpture","114","{'day': 'Tu', 'end': '09:25', 'location': 'FH 18', 'start': '08:00'};{'day': 'Th', 'end': '09:25', 'location': 'FH 18', 'start': '08:00'}","False","False","A","3","1/2","6/5","C","19943","Research","1994"
"0000015739","0.5","0000000022","ART","14","5/5","","Staff","1/3","S","100","15","Foundation Sculpture","114","{'day': 'Tu', 'end': '11:00', 'location': 'FH 18', 'start': '09:35'};{'day': 'Th', 'end': '11:00', 'location': 'FH 18', 'start': '09:35'}","False","False","B","3","2/2","6/5","C","19943","Research","1994"
"0000015740","0.5","0000000023","ART","15","5/5","","Staff","3/5","S","100","20","Found Photography","115","{'day': 'Tu', 'end': '09:25', 'location': 'FH 2', 'start': '08:00'};{'day': 'Th', 'end': '09:25', 'location': 'FH 2', 'start': '08:00'}","False","False","A","3","4/3","3/7","C","19943","Research","1994"
