"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","number","offerings","pn","section","semester","status","term","type","year"
"0000017873","1.0","0000001493","AMST","9","1","2","2","4","HWC","Grasso, Christopher D.","{'fsnum': '2688', 'name': 'Grasso, Christopher D.'}","200","25","","","","","Top: American Frontier","204","{'day': 'Tu', 'end': '14:45', 'location': 'L 525', 'start': '13:20'};{'day': 'Th', 'end': '14:45', 'location': 'L 525', 'start': '13:20'}","False","","3","O","19953","Topic","1995"
"0000017874","1.0","0000000012","AMST","1","0","0","0","1","","Farrell, James","{'fsnum': '2030', 'name': 'Farrell, James'}","200","","","","","","IS/Rereading America","298","","False","","3","O","19953","Research","1995"
"0000017875","1.0","0000000012","AMST","1","0","1","0","0","","Knobloch, Frieda","{'fsnum': '4387', 'name': 'Knobloch, Frieda'}","200","","","","","","IS/Ecology & Culture","298","","False","A","3","O","19953","Research","1995"
"0000017876","1.0","0000000013","AMST","10","0","5","1","4","","Knobloch, Frieda","{'fsnum': '4387', 'name': 'Knobloch, Frieda'}","300","15","","","","","Sem: American Cultures","301","{'day': 'Tu', 'end': '13:10', 'location': 'SC 210', 'start': '23:45'};{'day': 'Th', 'end': '13:10', 'location': 'SC 210', 'start': '23:45'}","False","","3","O","19953","Seminar","1995"
"0000017877","0.5","0000000019","ART","12","5","1","3","3","ALS-A","Griep, Mary","{'fsnum': '2757', 'name': 'Griep, Mary'}","100","22","11","3","8","2","Found Perceptual Draw","111","{'day': 'Mo', 'end': '13:50', 'location': 'FH 42', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'FH 42', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'FH 42', 'start': '12:55'}","False","A","3","O","19953","Research","1995"
"0000017878","0.5","0000000019","ART","12","7","2","0","3","ALS-A","Saurer, John","{'fsnum': '7064', 'name': 'Saurer, John'}","100","22","17","3","8","2","Found Perceptual Draw","111","{'day': 'Tu', 'end': '13:10', 'location': 'FH 42', 'start': '23:45'};{'day': 'Th', 'end': '13:10', 'location': 'FH 42', 'start': '23:45'}","False","B","3","O","19953","Research","1995"
"0000017879","0.5","0000000019","ART","4","1","2","1","0","ALS-A","Griep, Mary","{'fsnum': '2757', 'name': 'Griep, Mary'}","100","22","16","3","9","2","Found Perceptual Draw","111","{'day': 'Mo', 'end': '11:40', 'location': 'FH 42', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'FH 42', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'FH 42', 'start': '10:45'}","False","C","3","O","19953","Research","1995"
"0000017880","0.5","0000000020","ART","9","3","1","2","3","ALS-A","Shoger, Jan","{'fsnum': '7486', 'name': 'Shoger, Jan'}","100","22","17","3","12","2","Found Conceptual Draw","112","{'day': 'Mo', 'end': '10:00', 'location': 'FH 42', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'FH 42', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'FH 42', 'start': '09:05'}","False","A","3","O","19953","Research","1995"
"0000017881","0.5","0000000020","ART","8","3","1","1","3","ALS-A","Shoger, Jan","{'fsnum': '7486', 'name': 'Shoger, Jan'}","100","22","16","3","9","2","Found Conceptual Draw","112","{'day': 'Mo', 'end': '14:55', 'location': 'FH 42', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'FH 42', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'FH 42', 'start': '14:00'}","False","B","3","O","19953","Research","1995"
"0000017882","0.5","0000000021","ART","15","7","1","3","4","ALS-A","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","100","22","15","5","12","3","Found Color Design","113","{'day': 'Mo', 'end': '10:00', 'location': 'FH AB', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'FH AB', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'FH AB', 'start': '09:05'}","False","A","3","O","19953","Research","1995"
