"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","number","offerings","pn","section","semester","status","term","type","year"
"0000006761","1.0","0000000177","AMCON","18","18","0","0","0","FYW;HWC","Rohn, Matthew","{'fsnum': '6758', 'name': 'Rohn, Matthew'}","100","24","","","","","Dem Vistas: 1800-1900","102","{'day': 'Mo', 'end': '13:50', 'location': 'Steensland', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'Steensland', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'Steensland', 'start': '12:55'}","False","A","3","C","20033","Research","2003"
"0000006762","1.0","0000000177","AMCON","20","19","0","0","1","FYW;HWC","Fure-Slocum, Eric J.","{'fsnum': '10197', 'name': 'Fure-Slocum, Eric J.'}","100","24","","","","","Dem Vistas: 1800-1900","102","{'day': 'Mo', 'end': '13:50', 'location': 'Steensland', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'Steensland', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'Steensland', 'start': '12:55'}","False","B","3","C","20033","Research","2003"
"0000006763","1.0","0000000179","AMCON","19","0","0","18","1","ALS-A;HBS;ORC;WRI","Farrell, James","{'fsnum': '2030', 'name': 'Farrell, James'}","200","24","","","","","Pur/Happiness: 1920-00","202","{'day': 'Mo', 'end': '14:55', 'location': 'HH 317', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'HH 317', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'HH 317', 'start': '14:00'}","False","A","3","C","20033","Research","2003"
"0000006764","1.0","0000000179","AMCON","16","0","0","15","1","ALS-A;HBS;ORC;WRI","Gorton, William A.","{'fsnum': '15068', 'name': 'Gorton, William A.'}","200","24","","","","","Pur/Happiness: 1920-00","202","{'day': 'Mo', 'end': '14:55', 'location': 'HH 514', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'HH 514', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'HH 514', 'start': '14:00'}","False","B","3","C","20033","Research","2003"
"0000006671","1.0","0000000010","AMST","29","4","7","9","9","","Farrell, James","{'fsnum': '2030', 'name': 'Farrell, James'}","200","25","0","8","7","4","Top: Campus Ecology","210","{'day': 'Mo', 'end': '11:40', 'location': 'HH 403', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'HH 403', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'HH 403', 'start': '10:45'}","False","","3","C","20033","Topic","2003"
"0000006672","1.0","0000000013","AMST","19","0","3","2","14","","Allister, Mark","{'fsnum': '110', 'name': 'Allister, Mark'}","300","15","","","","","Sem: California Dreams","301","{'day': 'Tu', 'end': '11:00', 'location': 'RML 421', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'RML 421', 'start': '09:30'}","False","","3","C","20033","Seminar","2003"
"0000006673","1.0","0000000015","AMST","2","0","0","0","2","","Farrell, James","{'fsnum': '2030', 'name': 'Farrell, James'}","300","","","","","","IR/Impact/St Olaf Ed","398","","False","","3","O","20033","Research","2003"
"0000007506","1.0","0000001485","ARMS","16","0","6","3","7","ALS-L;MCS-D","Barbour, John","{'fsnum': '329', 'name': 'Barbour, John'}","200","20","","","","","Top: Rel Autobiography","251","{'day': 'Mo', 'end': '11:40', 'location': 'BMC 101', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'BMC 101', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'BMC 101', 'start': '10:45'}","False","","3","O","20033","Seminar","2003"
"0000007507","1.0","0000001489","ARMS","1","0","0","0","1","","Hepburn, Joan","{'fsnum': '3322', 'name': 'Hepburn, Joan'}","300","","","","","","IR/Stories of Race","398","","False","","3","O","20033","Research","2003"
"0000006674","0.5","0000000019","ART","18","3","3","7","5","ALS-A","Lowe, Kristen","{'fsnum': '15829', 'name': 'Lowe, Kristen'}","100","24","8","2","4","2","Found Perceptual Draw","111","{'day': 'Tu', 'end': '09:25', 'location': 'CAD 216', 'start': '08:00'};{'day': 'Th', 'end': '09:20', 'location': 'CAD 216', 'start': '08:00'}","False","A","3","C","20033","Research","2003"
"0000006675","0.5","0000000019","ART","21","11","2","5","3","ALS-A","Lowe, Kristen","{'fsnum': '15829', 'name': 'Lowe, Kristen'}","100","24","9","1","3","2","Found Perceptual Draw","111","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 216', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 216', 'start': '09:30'}","False","B","3","C","20033","Research","2003"
