"clbid","credits","crsid","department","description","enrolled","firstyear","halfcredit","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000009146","1.0","0000000036","ART","","15","","","John Saurer","","S","200","14","Sculpt: Metal Direct","","224","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 105', 'start': '08:00'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 105', 'start': '08:00'}","False","False","","3","","","C","20043","","Research","2004"
"0000009147","1.0","0000000038","ART","","12","","","John Saurer","","S","200","16","Printmkg: Relief/Litho","","226","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 212', 'start': '11:45'};{'day': 'Th', 'end': '15:45', 'location': 'CAD 212', 'start': '12:45'}","False","False","","3","","","C","20043","","Research","2004"
"0000009148","1.0","0000000040","ART","","10","","","Patrick T. Kelley","","S","200","15","Computer Gen Imagery","","228","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 100', 'start': '08:00'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 100', 'start': '08:00'}","False","False","","3","","","O","20043","","Research","2004"
"0000009149","1.0","0000000043","ART","","18","","","Mary Griep","","S","200","20","Figure Drawing","","232","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 216', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 216', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 216', 'start': '08:00'}","False","False","","3","","","O","20043","","Research","2004"
"0000009150","1.0","0000000051","ART","","26","","","Matthew Rohn","","S","200","30","Art 1880-1950","","252","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 305', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'CAD 305', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 305', 'start': '09:05'}","False","False","","3","","","C","20043","","Research","2004"
"0000009151","1.0","0000000053","ART","","32","","","Nancy M. Thompson","","S","200","30","Italian Renaissance","","254","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 305', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 305', 'start': '09:30'}","False","False","","3","","","C","20043","","Research","2004"
"0000009152","1.0","0000000058","ART","","30","","","Karil J. Kucera","","S","200","30","Arts of Japan","","260","{'day': 'Mo', 'end': '12:45', 'location': 'CAD 305', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'CAD 305', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'CAD 305', 'start': '11:50'}","False","False","","3","","","C","20043","","Research","2004"
"0000009153","1.0","0000000063","ART","","29","","","Heather M. Brooks-Shirey","","S","200","30","African Art History","","269","{'day': 'Tu', 'end': '13:10', 'location': 'CAD 305', 'start': '11:45'};{'day': 'Th', 'end': '14:05', 'location': 'CAD 305', 'start': '12:45'}","False","False","","3","","","O","20043","","Research","2004"
"0000009154","1.0","0000000068","ART","","2","","","Margaret Ojala","","S","200","999","Academic Internship","","294","","True","False","","3","","","O","20043","","Research","2004"
"0000009155","1.0","0000000069","ART","","3","","","Ron Gallas","","S","200","999","IS/Advanced Ceramics","","298","","False","False","","3","","","O","20043","","Research","2004"
"0000009156","1.0","0000000069","ART","","1","","","Wendell Arneson","","S","200","999","IS/Painting From Life","","298","","False","False","A","3","","","O","20043","","Research","2004"
"0000009157","1.0","0000000069","ART","","1","","","Nancy M. Thompson","","S","200","999","IS/Art Inst Catalog","","298","","False","False","B","3","","","O","20043","","Research","2004"
"0000009158","1.0","0000000069","ART","","1","","","Ron Gallas","","S","200","999","IS/Ceramic Study","","298","","False","False","C","3","","","O","20043","","Research","2004"
"0000009159","1.0","0000000069","ART","","1","","","Ron Gallas","","S","200","999","IS/Advanced Tableware","","298","","False","False","D","3","","","O","20043","","Research","2004"
"0000009160","1.0","0000000069","ART","","1","","","Wendell Arneson","","S","200","999","IS/Advanced Painting","","298","","False","False","E","3","","","O","20043","","Research","2004"
"0000009161","1.0","0000000069","ART","","1","","","Ron Gallas","","S","200","999","IS/Functional Pottery","","298","","False","False","F","3","","","O","20043","","Research","2004"
"0000009162","1.0","0000000069","ART","","1","","","Ron Gallas","","S","200","999","IS/Wheel Ceramics","","298","","False","False","G","3","","","O","20043","","Research","2004"
"0000009163","1.0","0000000069","ART","","1","","","Ron Gallas","","S","200","999","IS/Air Blown Ceramics","","298","","False","False","H","3","","","O","20043","","Research","2004"
"0000009164","1.0","0000000069","ART","","1","","","Ron Gallas","","S","200","999","IS/Ceramic Sections","","298","","False","False","I","3","","","O","20043","","Research","2004"
"0000009165","1.0","0000000069","ART","","1","","","Patrick T. Kelley","","S","200","999","IS/Animation","","298","","False","False","J","3","","","O","20043","","Research","2004"
"0000009166","1.0","0000000071","ART","","39","","","John Saurer","","S","300","50","Sr Studies/Studio Art","","343","{'day': 'Th', 'end': '22:00', 'location': 'CAD 305', 'start': '19:00'}","False","False","","3","","","O","20043","","Research","2004"
"0000009167","1.0","0000000072","ART","","7","","","Nancy M. Thompson","","S","300","15","Methods of Art Hist","","350","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 204', 'start': '13:20'};{'day': 'Th', 'end': '15:35', 'location': 'CAD 204', 'start': '14:15'}","False","False","","3","","","O","20043","","Research","2004"
"0000009168","1.0","0000000073","ART","","1","","","Jill Ewald","","S","300","999","Academic Internship","","394","","True","False","","3","","","O","20043","","Research","2004"
