"clbid","credits","crsid","department","enrolled","firstyear","grouptype","halfcredit","instructors","junior","learningmode","level","max","name","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","type","year"
"0000021086","1.0","0000000004","AMST","26","","","","James Farrell","","S","100","25","Perspec Amer Culture","100","{'day': 'Mo', 'end': '13:50', 'location': 'CH 110', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'CH 110', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'CH 110', 'start': '12:55'}","False","False","","1","","","C","19971","Research","1997"
"0000021087","1.0","0000000012","AMST","1","","","","James Farrell","","S","200","999","IS/Pop Music/Am Cult","298","","False","False","","1","","","O","19971","Research","1997"
"0000021088","1.0","0000000018","ART","19","9/14","","","Mary Griep","1/7","S","100","22","Foundation Drawing","110","{'day': 'Mo', 'end': '12:45', 'location': 'FH 42', 'start': '10:45'};{'day': 'We', 'end': '12:45', 'location': 'FH 42', 'start': '10:45'};{'day': 'Fr', 'end': '12:45', 'location': 'FH 42', 'start': '10:45'}","False","False","A","1","5/3","4/11","O","19971","Research","1997"
"0000021089","0.5","0000000019","ART","18","5/8","","","Jil Evans","3/5","S","100","22","Found Perceptual Draw","111","{'day': 'Tu', 'end': '14:45', 'location': 'FH 42', 'start': '13:20'};{'day': 'Th', 'end': '14:45', 'location': 'FH 42', 'start': '13:20'}","False","False","A","1","3/3","7/10","O","19971","Research","1997"
"0000021090","0.5","0000000019","ART","16","7/14","","","Jil Evans","1/5","S","100","22","Found Perceptual Draw","111","{'day': 'Tu', 'end': '16:30', 'location': 'FH 42', 'start': '15:05'};{'day': 'Th', 'end': '16:30', 'location': 'FH 42', 'start': '15:05'}","False","False","B","1","3/3","5/8","O","19971","Research","1997"
"0000021091","0.5","0000000020","ART","16","2/10","","","Jil Evans","2/4","S","100","22","Found Conceptual Draw","112","{'day': 'Tu', 'end': '11:00', 'location': 'FH 42', 'start': '09:35'};{'day': 'Th', 'end': '11:00', 'location': 'FH 42', 'start': '09:35'}","False","False","","1","5/2","7/10","O","19971","Research","1997"
"0000021092","0.5","0000000021","ART","25","1/2","","","Wendell Arneson","4/4","S","100","22","Found Color Design","113","{'day': 'Mo', 'end': '10:00', 'location': 'FH AB', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'FH AB', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'FH AB', 'start': '09:05'}","False","False","A","1","10/3","10/9","C","19971","Research","1997"
"0000021093","0.5","0000000021","ART","21","4/9","","","Wendell Arneson","4/6","S","100","22","Found Color Design","113","{'day': 'Mo', 'end': '11:40', 'location': 'FH AB', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'FH AB', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'FH AB', 'start': '10:45'}","False","False","B","1","3/3","10/11","O","19971","Research","1997"
"0000021094","0.5","0000000022","ART","17","8/9","","","John Saurer","1/3","S","100","17","Foundation Sculpture","114","{'day': 'Tu', 'end': '09:25', 'location': 'FH 18', 'start': '08:00'};{'day': 'Th', 'end': '09:25', 'location': 'FH 18', 'start': '08:00'}","False","False","A","1","3/2","5/9","C","19971","Research","1997"
"0000021095","0.5","0000000022","ART","12","5/5","","","John Saurer","3/3","S","100","17","Foundation Sculpture","114","{'day': 'Tu', 'end': '16:30', 'location': 'FH 18', 'start': '15:05'};{'day': 'Th', 'end': '16:30', 'location': 'FH 18', 'start': '15:05'}","False","False","B","1","2/2","2/9","O","19971","Research","1997"
"0000021096","0.5","0000000024","ART","19","4/5","","","Ron Gallas","5/5","S","100","20","Found Ceramics: Hand","116","{'day': 'Tu', 'end': '11:00', 'location': 'FH 19', 'start': '09:35'};{'day': 'Th', 'end': '11:00', 'location': 'FH 19', 'start': '09:35'}","False","False","","1","2/4","8/5","O","19971","Research","1997"
"0000021097","0.5","0000000026","ART","12","0/2","","","Ron Gallas","3/5","S","100","16","Found Ceramics: Throw","119","{'day': 'Tu', 'end': '13:10', 'location': 'FH 19', 'start': '11:45'};{'day': 'Th', 'end': '13:10', 'location': 'FH 19', 'start': '11:45'}","False","False","A","1","5/2","4/5","C","19971","Research","1997"
"0000021098","0.5","0000000026","ART","13","0/4","","","Ron Gallas","7/5","S","100","16","Found Ceramics: Throw","119","{'day': 'Tu', 'end': '14:45', 'location': 'FH 19', 'start': '13:20'};{'day': 'Th', 'end': '14:45', 'location': 'FH 19', 'start': '13:20'}","False","False","B","1","2/2","4/5","C","19971","Research","1997"
"0000021099","1.0","0000000027","ART","10","9/14","","","Mary Griep","0/0","S","100","15","Honors Found Drawing","120","{'day': 'Mo', 'end': '10:00', 'location': 'FH 42', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'FH 42', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'FH 42', 'start': '08:00'}","False","False","","1","0/0","1/0","O","19971","Research","1997"
"0000021100","1.0","0000000029","ART","21","0/1","","","Margaret Ojala","3/7","S","100","20","Intro to Photography","124","{'day': 'Tu', 'end': '11:00', 'location': 'FH 2', 'start': '08:00'};{'day': 'Th', 'end': '11:00', 'location': 'FH 2', 'start': '08:00'}","False","False","","1","8/3","10/10","C","19971","Research","1997"
"0000021101","1.0","0000000031","ART","48","","","","Perette Michelli","12/10","S","100","50","Ancient--Medieval","150","{'day': 'Mo', 'end': '14:55', 'location': 'FH 01', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'FH 01', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'FH 01', 'start': '14:00'}","False","False","","1","7/5","22/30","O","19971","Research","1997"
"0000021102","1.0","0000000033","ART","22","","","","Wendell Arneson","11/6","S","200","20","Oil/Acrylic Paintng","231","{'day': 'Mo', 'end': '14:55', 'location': 'FH 40', 'start': '12:55'};{'day': 'We', 'end': '14:55', 'location': 'FH 40', 'start': '12:55'};{'day': 'Fr', 'end': '14:55', 'location': 'FH 40', 'start': '12:55'}","False","False","","1","10/8","1/6","C","19971","Research","1997"
"0000021103","1.0","0000000035","ART","9","0/0","","","John Saurer","4/6","S","200","10","Sculpt: Metal Casting","233","{'day': 'Tu', 'end': '14:45', 'location': 'FH 18', 'start': '11:45'};{'day': 'Th', 'end': '14:45', 'location': 'FH 18', 'start': '11:45'}","False","False","","1","4/6","1/1","C","19971","Research","1997"
"0000021104","1.0","0000000037","ART","16","","","","Steven Edwins","6/15","S","200","20","Arch Drawing/Design I","235","{'day': 'Mo', 'end': '14:55', 'location': 'FH AB', 'start': '12:55'};{'day': 'We', 'end': '14:55', 'location': 'FH AB', 'start': '12:55'};{'day': 'Fr', 'end': '14:55', 'location': 'FH AB', 'start': '12:55'}","False","False","","1","3/6","7/10","O","19971","Research","1997"
"0000021106","1.0","0000000046","ART","12","0/0","","","Margaret Ojala","5/11","S","200","15","Photography","248","{'day': 'Tu', 'end': '14:45', 'location': 'FH 2', 'start': '11:45'};{'day': 'Th', 'end': '14:45', 'location': 'FH 2', 'start': '11:45'}","False","False","","1","5/4","2/6","O","19971","Research","1997"
"0000021107","1.0","0000000051","ART","38","0/0","","","Matthew Rohn","12/20","S","200","50","High Modernism","252","{'day': 'Mo', 'end': '11:40', 'location': 'FH 01', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'FH 01', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'FH 01', 'start': '10:45'}","False","False","","1","12/10","14/30","O","19971","Research","1997"
"0000021108","1.0","0000000053","ART","28","1/0","","","Perette Michelli","7/22","S","200","40","Italian Renaissance","254","{'day': 'Mo', 'end': '10:00', 'location': 'FH 01', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'FH 01', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'FH 01', 'start': '09:05'}","False","False","","1","12/10","8/23","O","19971","Research","1997"
"0000021109","1.0","0000000057","ART","41","","","","A. Malcolm Gimse","15/19","S","200","50","Art of China/Japan","259","{'day': 'Mo', 'end': '13:50', 'location': 'FH 01', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'FH 01', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'FH 01', 'start': '12:55'}","False","False","","1","13/10","11/36","O","19971","Research","1997"
"0000021110","1.0","0000000059","ART","28","","","","A. Malcolm Gimse","10/21","S","200","50","Hist of Architecture","261","{'day': 'Tu', 'end': '14:45', 'location': 'FH 01', 'start': '13:20'};{'day': 'Th', 'end': '14:45', 'location': 'FH 01', 'start': '13:20'}","False","False","","1","10/15","8/30","O","19971","Research","1997"
"0000021111","1.0","0000000060","ART","18","","","","Perette Michelli","6/21","S","200","30","Romanesque--Gothic","263","{'day': 'Tu', 'end': '13:10', 'location': 'FH 01', 'start': '11:45'};{'day': 'Th', 'end': '13:10', 'location': 'FH 01', 'start': '11:45'}","False","False","","1","6/10","6/17","O","19971","Research","1997"
"0000021112","1.0","0000000069","ART","1","","","","Wendell Arneson","","S","200","999","IS/Studio Painting 3","298","","False","False","","1","","","O","19971","Research","1997"
"0000021113","1.0","0000001512","ART","5","","","","Wendell Arneson","0/7","S","300","12","Painting II","331","{'day': 'Mo', 'end': '14:55', 'location': 'FH 40', 'start': '12:55'};{'day': 'We', 'end': '14:55', 'location': 'FH 40', 'start': '12:55'};{'day': 'Fr', 'end': '14:55', 'location': 'FH 40', 'start': '12:55'}","False","False","","1","5/8","","O","19971","Research","1997"
"0000021114","1.0","0000001513","ART","2","","","","John Saurer","1/5","S","300","6","Sculpture II","333","{'day': 'Tu', 'end': '14:45', 'location': 'FH 18', 'start': '11:45'};{'day': 'Th', 'end': '14:45', 'location': 'FH 18', 'start': '11:45'}","False","False","","1","1/4","","O","19971","Research","1997"
