"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000169830","1.0","0000000016","AFAD","The seminar examines Africans in dispersion/Diaspora as students interrogate the African background of African Americans and links between Africans and African Americans. The course examines the dynamics of precolonial West African societies; the nature of the interaction between Africa and the New World; and the role Africans, African culture, and African institutions played in the political, economic, cultural, and religious life of the New World. Students examine the ties that bind Africans and African Americans and explore questions such as: To what extent was the iconography of Africa used to mobilize Africans in dispersion? How effectively was the consciousness of Africa sustained in the New World? What are the contributions of African Americans to Africa? Also counts toward history, race and ethnic studies, and social studies education majors, and race and ethnic studies concentration.","0","0","0","0","0","ALS-L;GHS;MCG;MCS-G;PAR","Iddrisu, Abdulai","{'fsnum': '21082', 'name': 'Iddrisu, Abdulai'}","200","24","","","","","Sem: Africa/Americas","","231","{'day': 'Tu', 'end': '11:00', 'location': 'RNS 206', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'RNS 206', 'start': '09:30'}","False","False","","1","X","20261","Africa and the Americas: The Diaspora Experience","Seminar","2026"
"0000172023","1.0","0000027940","ARTH","This course introduces students to the working methods of Art History. Students learn to analyze works of art visually, to understand the relationships between works of art and their cultural contexts, to consider the practices and politics of museum display, and to think critically about the role of art in their own lives and in society. Offered each semester.","35","16","6","6","7","ALS-A;GHS;ORC","Ryan, Hannah","{'fsnum': '31158', 'name': 'Ryan, Hannah'}","100","35","","7","7","6","Intro to Art History","This course has class-year limits.","153","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 305', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 305', 'start': '09:30'}","False","False","A","1","C","20261","Introduction to Art History","Research","2026"
"0000169503","1.0","0000027940","ARTH","This course introduces students to the working methods of Art History. Students learn to analyze works of art visually, to understand the relationships between works of art and their cultural contexts, to consider the practices and politics of museum display, and to think critically about the role of art in their own lives and in society. Offered each semester.","35","16","4","9","6","ALS-A;GHS;ORC","Ryan, Hannah","{'fsnum': '31158', 'name': 'Ryan, Hannah'}","100","35","","7","7","6","Intro to Art History","This course has class-year limits.","153","{'day': 'Tu', 'end': '13:10', 'location': 'CAD 305', 'start': '23:45'};{'day': 'Th', 'end': '14:05', 'location': 'CAD 305', 'start': '12:45'}","False","False","B","1","C","20261","Introduction to Art History","Research","2026"
"0000172024","1.0","0000000057","ARTH","This course is intended as an introduction to the history of Chinese art, offering a survey of major artistic developments from neolithic times to the present. Among the topics considered: ritual bronzes, funerary remains of the Qin and Han, Buddhist sculpture, and the evolution of landscape painting. Important issues discussed include production and patronage, function, and borrowing and influence in the evolution of artistic works across time and space. Offered annually.","38","0","14","12","12","ALS-A;GHS;MCG;MCS-G;RFV","Kucera, Karil J.","{'fsnum': '14964', 'name': 'Kucera, Karil J.'}","200","30","0","10","10","10","Arts of China","This course has class-year limits and is not open to incoming first-year        ;students.","259","{'day': 'Mo', 'end': '12:45', 'location': 'CAD 305', 'start': '23:50'};{'day': 'We', 'end': '12:45', 'location': 'CAD 305', 'start': '23:50'};{'day': 'Fr', 'end': '12:45', 'location': 'CAD 305', 'start': '23:50'}","False","False","","1","C","20261","The Arts of China","Research","2026"
"0000172025","1.0","0000038364","ARTH","In this course, students explore the early medieval period, a time of dynamic transformation. Migrating and conquering cultures brought new approaches to art and architecture that forever changed the visual landscape of the early medieval world. Students examine the art of the Christian empires of the Mediterranean, the monastic traditions of Egypt and Nubia, Germanic cultures (the barbarians), the Islamic caliphate in Spain, and the Carolingians and Ottonians in northern Europe.","34","1","10","13","10","ALS-A;GHS;HWC;RFV","Thompson, Nancy M.","{'fsnum': '13137', 'name': 'Thompson, Nancy M.'}","200","35","","10","10","10","Early Medieval Art and Identity","This course has class-year limits.","268","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 305', 'start': '13:20'};{'day': 'Th', 'end': '15:35', 'location': 'CAD 305', 'start': '14:15'}","False","False","","1","O","20261","","Research","2026"
"0000169997","1.0","0000030091","ARTH","This seminar-style course focuses on a specific art-historical topic, and students learn how to pursue art-historical practice beyond the introductory level. Topics change with each offering. Offered periodically.","22","3","5","4","10","ALS-A;GHS;MCG","Spiker, Christina","{'fsnum': '27183', 'name': 'Spiker, Christina'}","200","30","","","","","Top: Arts of Korea","","276","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 305', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'CAD 305', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 305', 'start': '09:05'}","False","False","A","1","O","20261","Topics with ALS-A and MCG","Topic","2026"
"0000172026","1.0","0000030091","ARTH","This course introduces students to global Indigenous artistic traditions, with case studies drawn from cultures including the Lakota (United States), Ainu (Japan), Sámi (Scandinavia), Inuit (Canada), Maori (Aotearoa/New Zealand), and Yanomami (Brazil), among others. Through close analysis of visual and material practices, the course examines how Indigenous artists represent their own communities and how those communities have been represented by others. Students will explore the relationships between art, cultural sovereignty, and knowledge transmission, with particular attention to both tangible and intangible heritage, including artistic practices, oral traditions, and foodways. The course considers the ongoing challenges posed by colonial histories and contemporary museum practices, as well as the strategies Indigenous communities employ to sustain and revitalize cultural traditions. Working closely with objects from the Flaten Art Museum's collection--including a recent acquisition of Inuit prints--students will engage in object-based learning and may participate in collaborative projects with the museum, with emphasis on critical looking, ethical interpretation, and the role of museums in shaping understandings of Indigenous art.","19","0","10","1","8","ALS-A;GHS;MCG","Spiker, Christina","{'fsnum': '27183', 'name': 'Spiker, Christina'}","200","19","","","","","Top: Global Indigenous Art","This course includes an academic civic engagement (ACE) component.","276","{'day': 'Mo', 'end': '11:40', 'location': 'CAD 202', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'CAD 202', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'CAD 202', 'start': '10:45'}","False","False","B","1","C","20261","Topics in Art History","Topic","2026"
"0000170041","1.0","0000034660","ARTH","What is a museum? Is it an impartial space to display and store valued objects that objectively reflect culture, or is it a more complicated organization that evolves and responds to the emerging needs and challenges of individuals and communities? In this course, students explore these questions, consider how museums can be understood as systems of power, and become acquainted with the various roles people play within them. Specific topic varies by instructor. May be repeated if topics differ. Offered alternate years.","15","0","3","6","6","ALS-A","Spiker, Christina","{'fsnum': '27183', 'name': 'Spiker, Christina'}","200","15","","","","","Top: Practicum in Museums","Practicum in Museums, Collections, and Cultural Organizations                   ;This course includes an academic civic engagement (ACE) component.","282","{'day': 'Mo', 'end': '13:50', 'location': 'CAD 202', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'CAD 202', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'CAD 202', 'start': '12:55'}","False","False","","1","C","20261","Topics in Museum Studies","Topic","2026"
"0000169301","1.0","0000020054","ARTS","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of two-dimensional art-making and the ways drawing informs the creation and understanding of art in cultural contexts. Students explore color, value, form, and space through a wide variety of materials. The course emphasizes strategies for idea generation and visual problem solving. Students engage in spirited investigation, critiques, and thoughtful creative expression. Materials fee. Offered each semester.","20","14","1","4","1","ALS-A;CRE","Weeks, Michon","{'fsnum': '23761', 'name': 'Weeks, Michon'}","100","20","","0","10","0","Foundation 2-D Media","The materials fee for ARTS 102A will be $150.                                   ;This course has class-year limits and is not open to rising juniors or seniors.","102","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 216', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 216', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 216', 'start': '08:00'}","False","False","A","1","C","20261","Foundation Two-Dimensional Media","Research","2026"
"0000169302","1.0","0000020054","ARTS","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of two-dimensional art-making and the ways drawing informs the creation and understanding of art in cultural contexts. Students explore color, value, form, and space through a wide variety of materials. The course emphasizes strategies for idea generation and visual problem solving. Students engage in spirited investigation, critiques, and thoughtful creative expression. Materials fee. Offered each semester.","18","9","1","7","1","ALS-A;CRE","Weeks, Michon","{'fsnum': '23761', 'name': 'Weeks, Michon'}","100","20","","0","10","0","Foundation 2-D Media","The materials fee for ARTS 102B will be $150.                                   ;This course has class-year limits and is not open to rising juniors or seniors.","102","{'day': 'Mo', 'end': '12:45', 'location': 'CAD 216', 'start': '22:45'};{'day': 'We', 'end': '12:45', 'location': 'CAD 216', 'start': '22:45'};{'day': 'Fr', 'end': '12:45', 'location': 'CAD 216', 'start': '22:45'}","False","False","B","1","O","20261","Foundation Two-Dimensional Media","Research","2026"
