"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000081250","0.5","0000018614","AFAM","","1","0","1","0","0","","Iddrisu, Abdulai","{'fsnum': '21082', 'name': 'Iddrisu, Abdulai'}","300","","Academic Internship","","394","","True","","","5","O","20105","","Research","2010"
"0000080466","1.0","0000020055","ART","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of new media art-making and ways new media inform the creation and understanding of art in cultural contexts, with special emphasis on cyberculture and hypertext. Students explore the form and space of new media images through a wide variety of materials and media. The course emphasizes strategies for idea generation. Students engage in dynamic activity, spirited investigation, and thoughtful creative expression. Materials fee. Offered each semester.","3","0","0","3","0","ALS-A","Alvarez, Guido","{'fsnum': '21134', 'name': 'Alvarez, Guido'}","100","","Foundation New Media","","104","{'day': 'Mo', 'end': '16:30', 'location': 'CAD 100', 'start': '14:30'};{'day': 'Tu', 'end': '16:30', 'location': 'CAD 100', 'start': '14:30'};{'day': 'We', 'end': '16:30', 'location': 'CAD 100', 'start': '14:30'};{'day': 'Th', 'end': '16:30', 'location': 'CAD 100', 'start': '14:30'}","False","False","","5","O","20105","","Research","2010"
"0000080867","1.0","0000000078","ASIAN","This course examines major cultures of Asia from interdisciplinary and comparative perspectives with attention to theories of human behavior. Themes vary from year to year; but include a focus on globalization and Asian popular cultures. No prerequisites.","6","1","1","3","1","MCG;MCS-G;WRI","Reed, Barbara","{'fsnum': '6625', 'name': 'Reed, Barbara'}","100","","Asian Cultures","","121","{'day': 'Mo', 'end': '14:00', 'location': 'TOH 214', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'TOH 214', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'TOH 214', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'TOH 214', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'TOH 214', 'start': '12:30'}","False","False","","5","O","20105","Asian Cultures in Comparative Perspectives","Research","2010"
"0000081339","0.5","0000000093","ASIAN","","3","0","2","1","0","","Wan, Pin Pin","{'fsnum': '8890', 'name': 'Wan, Pin Pin'}","200","","Academic Internship","","294","","True","","","5","O","20105","","Research","2010"
"0000081342","0.5","0000000093","ASIAN","","2","0","1","1","0","","Ito, Rika","{'fsnum': '14203', 'name': 'Ito, Rika'}","200","","Academic Internship","","294","","True","","A","5","O","20105","","Research","2010"
"0000082200","0.5","0000000093","ASIAN","","1","0","0","1","0","","Larson, Phyllis Hyland","{'fsnum': '4624', 'name': 'Larson, Phyllis Hyland'}","200","","Academic Internship","","294","","True","","B","5","O","20105","","Research","2010"
"0000081427","1.0","0000000094","ASIAN","","1","0","0","1","0","WRI","Wan, Pin Pin","{'fsnum': '8890', 'name': 'Wan, Pin Pin'}","200","","IS/China/Taiwan Relations","","298","","False","","","5","O","20105","Independent Study","Research","2010"
"0000081438","1.0","0000000100","BIO","This course explores contemporary biological issues related to health and the environment, with the goal of fostering informed citizens prepared for current biological debates. Students learn the relevant biological principles in lecture and lab followed by appropriate lab or field research. Specific topics vary from year to year and may include emerging diseases, cardiovascular health, genetics, specific groups of organisms, behavior, and environmental dynamics. The course includes lectures plus one two-hour laboratory per week.","39","39","0","0","0","IST;NSC;NSL;SED","Umbanhowar, Charles Jr.;McDonald, Eric","{'fsnum': '8616', 'name': 'Umbanhowar, Charles Jr.'};{'fsnum': '18464', 'name': 'McDonald, Eric'}","100","","Biological Science","","121","","False","False","","5","C","20105","Biological Science: Issues in Biology","Research","2010"
"0000081439","","0000000101","BIO","","39","39","0","0","0","","Umbanhowar, Charles Jr.;McDonald, Eric","{'fsnum': '8616', 'name': 'Umbanhowar, Charles Jr.'};{'fsnum': '18464', 'name': 'McDonald, Eric'}","100","","Biological Science Lab","","121","","False","","","5","C","20105","","Lab","2010"
"0000081155","0.5","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","2","1","1","0","0","","Johnson, Theodore","{'fsnum': '4110', 'name': 'Johnson, Theodore'}","200","","Academic Internship","","294","","True","False","","5","O","20105","Internship","Research","2010"
