"clbid","credits","crsid","department","enrolled","firstyear","halfcredit","instructors","junior","learningmode","level","max","name","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","type","year"
"0000024232","1.0","0000000013","AMST","20","","","James Farrell","","S","300","20","Sem: Disney's America","301","{'day': 'Mo', 'end': '10:00', 'location': 'H 514', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'H 514', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'H 514', 'start': '09:05'}","False","False","","3","","","C","19983","Seminar","1998"
"0000024233","1.0","0000000016","AFAM","50","","","Joseph L. Mbele","","S","200","35","Africa & the Americas","231","{'day': 'Tu', 'end': '11:00', 'location': 'SC 170', 'start': '09:35'};{'day': 'Th', 'end': '11:00', 'location': 'SC 170', 'start': '09:35'}","False","False","","3","","","C","19983","Seminar","1998"
"0000024236","0.5","0000000020","ART","22","","","Jan Shoger","3/2","S","100","22","Found Conceptual Draw","112","{'day': 'Mo', 'end': '10:00', 'location': 'FH 42', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'FH 42', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'FH 42', 'start': '09:05'}","False","False","","3","5/3","6/8","C","19983","Research","1998"
"0000024237","0.5","0000000021","ART","28","","","Wendell Arneson","3/3","S","100","22","Found Color Design","113","{'day': 'Mo', 'end': '10:00', 'location': 'FH AB', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'FH AB', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'FH AB', 'start': '09:05'}","False","False","A","3","7/3","7/8","C","19983","Research","1998"
"0000024238","0.5","0000000021","ART","27","","","Wendell Arneson","3/3","S","100","22","Found Color Design","113","{'day': 'Mo', 'end': '11:40', 'location': 'FH AB', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'FH AB', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'FH AB', 'start': '10:45'}","False","False","B","3","4/3","5/8","C","19983","Research","1998"
"0000024239","0.5","0000000022","ART","15","3/6","","John Saurer","2/5","S","100","17","Foundation Sculpture","114","{'day': 'Tu', 'end': '09:25', 'location': 'FH 18', 'start': '08:00'};{'day': 'Th', 'end': '09:25', 'location': 'FH 18', 'start': '08:00'}","False","False","A","3","3/3","7/7","O","19983","Research","1998"
"0000024240","0.5","0000000022","ART","15","","","John Saurer","2/5","S","100","17","Foundation Sculpture","114","{'day': 'Tu', 'end': '16:30', 'location': 'FH 18', 'start': '15:00'};{'day': 'Th', 'end': '16:30', 'location': 'FH 18', 'start': '15:00'}","False","False","B","3","4/3","3/7","O","19983","Research","1998"
"0000024241","0.5","0000000023","ART","21","4/5","","Margaret Ojala","3/5","S","100","20","Found Photography","115","{'day': 'Tu', 'end': '09:25', 'location': 'FH 2', 'start': '08:00'};{'day': 'Th', 'end': '09:25', 'location': 'FH 2', 'start': '08:00'}","False","False","A","3","10/5","4/5","C","19983","Research","1998"
"0000024242","0.5","0000000023","ART","24","","","Margaret Ojala","6/4","S","100","20","Found Photography","115","{'day': 'Tu', 'end': '11:00', 'location': 'FH 2', 'start': '09:35'};{'day': 'Th', 'end': '11:00', 'location': 'FH 2', 'start': '09:35'}","False","False","B","3","8/5","6/5","C","19983","Research","1998"
"0000024243","0.5","0000000026","ART","16","5/6","","Ron Gallas","2/2","S","100","17","Found Ceramics: Wheel","119","{'day': 'Tu', 'end': '11:00', 'location': 'FH 19', 'start': '09:35'};{'day': 'Th', 'end': '11:00', 'location': 'FH 19', 'start': '09:35'}","False","False","","3","5/3","4/5","O","19983","Research","1998"
