"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000078476","1.0","0000018612","AFAM","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","Academic Internship","","294","","True","","","2","C","20112","","Research","2011"
"0000078673","1.0","0000018613","AFAM","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","IS/","","298","","False","","","2","O","20112","Independent Study","Research","2011"
"0000078477","1.0","0000018614","AFAM","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","","","","","Academic Internship","","394","","True","","","2","C","20112","","Research","2011"
"0000078616","1.0","0000018615","AFAM","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","","","","","IR/","","398","","False","","","2","O","20112","Independent Research","Research","2011"
"0000078388","1.0","0000000011","AMST","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","Academic Internship","","294","","True","","","2","C","20112","Internship","Research","2011"
"0000078671","1.0","0000000012","AMST","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","IS/","","298","","False","","","2","O","20112","Independent Study","Research","2011"
"0000078473","1.0","0000000014","AMST","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","","","","","Academic Internship","","394","","True","","","2","C","20112","Internship","Research","2011"
"0000078614","1.0","0000000015","AMST","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","","","","","IR/","","398","","False","","","2","O","20112","Independent Research","Research","2011"
"0000078471","1.0","0000001486","ARMS","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","Academic Internship","","294","","True","","","2","C","20112","","Research","2011"
"0000078670","1.0","0000001487","ARMS","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","IS/","","298","","False","","","2","O","20112","Independent Study","Research","2011"
"0000078472","1.0","0000001488","ARMS","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","","","","","Academic Internship","","394","","True","","","2","C","20112","","Research","2011"
"0000078613","1.0","0000001489","ARMS","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","","","","","IR/","","398","","False","","","2","O","20112","Independent Research","Research","2011"
"0000080577","1.0","0000020054","ART","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of two-dimensional art-making and ways two-dimensional media inform the creation and understanding of art in cultural contexts. Students explore the form and space of two-dimensional images through a wide variety of materials and media. The course emphasizes strategies for idea generation. Students engage in dynamic activity, spirited investigation, and thoughtful creative expression. Materials fee. Offered each semester.","23","10","5","2","6","ALS-A","Griep, Mary","{'fsnum': '2757', 'name': 'Griep, Mary'}","100","22","","","","","Foundation 2-D Media","","102","{'day': 'Mo', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Mo', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'Mo', 'end': '12:00', 'location': 'CAD 216', 'start': '22:40'};{'day': 'Tu', 'end': '12:00', 'location': 'CAD 216', 'start': '22:40'};{'day': 'We', 'end': '12:00', 'location': 'CAD 216', 'start': '22:40'};{'day': 'Th', 'end': '12:00', 'location': 'CAD 216', 'start': '22:40'};{'day': 'Fr', 'end': '12:00', 'location': 'CAD 216', 'start': '22:40'}","False","False","","2","C","20112","Foundation Two-Dimensional Media","Research","2011"
"0000080575","1.0","0000001496","ART","This course introduces students to the ceramic processes of wheel throwing and hand building as means for creating works of art. Students learn terminology and critical approaches to ceramics. Students develop critical skills and the ability to analyze and interpret ceramic art work. Class emphasizes creative approaches to solving visual problems through ceramic work. Slide presentations on contemporary and historical ceramics provide background for assignments and highlight the role of ceramics in various cultural contexts. Materials fee. Offered each semester. Credit will not be given for both Art 121 and Art 207. Counts toward biomedical studies concentration.","17","7","0","0","10","ALS-A","Fisher, Kathryne","{'fsnum': '10981', 'name': 'Fisher, Kathryne'}","200","18","","","","","Ceramics","","207","{'day': 'Mo', 'end': '15:00', 'location': 'CAD 115', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'CAD 115', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'CAD 115', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'CAD 115', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'CAD 115', 'start': '13:00'};{'day': 'Mo', 'end': '10:00', 'location': 'CAD 115', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'CAD 115', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 115', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'CAD 115', 'start': '09:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 115', 'start': '09:00'};{'day': 'Mo', 'end': '12:00', 'location': 'CAD 115', 'start': '22:40'};{'day': 'Tu', 'end': '12:00', 'location': 'CAD 115', 'start': '22:40'};{'day': 'We', 'end': '12:00', 'location': 'CAD 115', 'start': '22:40'};{'day': 'Th', 'end': '12:00', 'location': 'CAD 115', 'start': '22:40'};{'day': 'Fr', 'end': '12:00', 'location': 'CAD 115', 'start': '22:40'}","False","False","","2","C","20112","","Research","2011"
