"clbid","credits","crsid","department","enrolled","firstyear","instructors","junior","learningmode","level","max","name","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","type","year"
"0000023988","1.0","0000000005","AMST","27","","Christopher D. Grasso","","S","200","30","Top: Heartland Histor","205","{'day': 'Mo', 'end': '12:40', 'location': 'H 317', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'H 317', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'H 317', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'H 317', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'H 317', 'start': '10:40'}","False","False","","2","","","O","19982","Topic","1998"
"0000023989","1.0","0000000011","AMST","1","","James Farrell","","S","200","999","Academic Internship","294","","True","False","","2","","","O","19982","Research","1998"
"0000023990","1.0","0000001496","ART","20","4/4","Ron Gallas","5/3","S","100","17","Found Ceramics: Hand","121","{'day': 'Mo', 'end': '10:00', 'location': 'FH 19', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'FH 19', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'FH 19', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'FH 19', 'start': '09:00'};{'day': 'Fr', 'end': '10:00', 'location': 'FH 19', 'start': '09:00'};{'day': 'Mo', 'end': '12:40', 'location': 'FH 19', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'FH 19', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'FH 19', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'FH 19', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'FH 19', 'start': '10:40'}","False","False","","2","8/3","3/6","C","19982","Research","1998"
"0000023991","1.0","0000000028","ART","16","6/4","John Saurer","3/8","S","100","18","Foundation Sculpture","122","{'day': 'Mo', 'end': '10:00', 'location': 'FH 18', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'FH 18', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'FH 18', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'FH 18', 'start': '09:00'};{'day': 'Fr', 'end': '10:00', 'location': 'FH 18', 'start': '09:00'};{'day': 'Mo', 'end': '12:40', 'location': 'FH 18', 'start': '10:40'};{'day': 'Tu', 'end': '12:40', 'location': 'FH 18', 'start': '10:40'};{'day': 'We', 'end': '12:40', 'location': 'FH 18', 'start': '10:40'};{'day': 'Th', 'end': '12:40', 'location': 'FH 18', 'start': '10:40'};{'day': 'Fr', 'end': '12:40', 'location': 'FH 18', 'start': '10:40'}","False","False","","2","0/8","7/6","O","19982","Research","1998"
"0000023993","1.0","0000000040","ART","11","","Janet C. Cameron","","S","200","13","Comp-Generatd Imagery","238","{'day': 'Mo', 'end': '12:00', 'location': 'FH 21', 'start': '10:40'};{'day': 'Tu', 'end': '12:00', 'location': 'FH 21', 'start': '10:40'};{'day': 'We', 'end': '12:00', 'location': 'FH 21', 'start': '10:40'};{'day': 'Th', 'end': '12:00', 'location': 'FH 21', 'start': '10:40'};{'day': 'Fr', 'end': '12:00', 'location': 'FH 21', 'start': '10:40'};{'day': 'Mo', 'end': '15:00', 'location': 'FH 21', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'FH 21', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'FH 21', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'FH 21', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'FH 21', 'start': '13:00'}","False","False","","2","","","C","19982","Research","1998"
"0000023994","1.0","0000000044","ART","19","","Wendell Arneson","","S","200","22","Advanced Drawing","243","{'day': 'Mo', 'end': '10:00', 'location': 'FH 40', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'FH 40', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'FH 40', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'FH 40', 'start': '09:00'};{'day': 'Fr', 'end': '10:00', 'location': 'FH 40', 'start': '09:00'};{'day': 'Mo', 'end': '12:10', 'location': 'FH 40', 'start': '10:40'};{'day': 'Tu', 'end': '12:10', 'location': 'FH 40', 'start': '10:40'};{'day': 'We', 'end': '12:10', 'location': 'FH 40', 'start': '10:40'};{'day': 'Th', 'end': '12:10', 'location': 'FH 40', 'start': '10:40'};{'day': 'Fr', 'end': '12:10', 'location': 'FH 40', 'start': '10:40'};{'day': 'Mo', 'end': '15:00', 'location': 'FH 40', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'FH 40', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'FH 40', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'FH 40', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'FH 40', 'start': '13:00'}","False","False","","2","","","O","19982","Research","1998"
"0000023995","1.0","0000000054","ART","18","","Perette Michelli","","S","200","15","Italian Renaissance","255","","False","False","","2","","","C","19982","Research","1998"
"0000023996","1.0","0000000048","ART","16","","Irve Dell","","S","200","15","Pratt-Manhattan","262","","False","False","","2","","","C","19982","Research","1998"
"0000023998","1.0","0000000068","ART","2","","Wendell Arneson","","S","200","999","Academic Internship","294","","True","False","","2","","","O","19982","Research","1998"
"0000023999","1.0","0000000069","ART","1","","Margaret Ojala","","S","200","999","IS/Photo Essay Nepal","298","","False","False","","2","","","O","19982","Research","1998"
"0000024000","1.0","0000000069","ART","1","","Ron Gallas","","S","200","999","IS/Wheel Ceramics","298","","False","False","A","2","","","O","19982","Research","1998"
"0000024001","1.0","0000000075","ART","1","","Matthew Rohn","","S","300","999","IR/Undrstndng Comics","398","","False","False","","2","","","O","19982","Research","1998"
"0000024002","1.0","0000000079","ASIAN","29","10/5","Phyllis Hyland Larson","1/9","S","100","25","Intro Japanese Film","124","{'day': 'Mo', 'end': '13:00', 'location': 'SC 280', 'start': '10:40'};{'day': 'We', 'end': '13:00', 'location': 'SC 280', 'start': '10:40'};{'day': 'Tu', 'end': '13:00', 'location': 'M 2', 'start': '10:40'};{'day': 'Th', 'end': '13:00', 'location': 'M 2', 'start': '10:40'}","False","False","","2","5/8","13/10","C","19982","Research","1998"
