"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000172920","1.0","0000041657","ARTH","","1","0","0","0","1","OEP","Thompson, Nancy M.","{'fsnum': '13137', 'name': 'Thompson, Nancy M.'}","200","0","Academic Internship","","294","","False","","A","5","C","20255","","Research","2025"
"0000173191","0.25","0000000093","ASIAN","","2","0","2","0","0","OEP","Tegtmeyer Pak, Katherine S.","{'fsnum': '15754', 'name': 'Tegtmeyer Pak, Katherine S.'}","200","0","Academic Internship","","294","","True","","A","5","C","20255","","Research","2025"
"0000172695","0.25","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","1","0","1","0","0","OEP","Maie, Takashi","{'fsnum': '35028', 'name': 'Maie, Takashi'}","200","0","Academic Internship","","294","","True","False","A","5","C","20255","","Research","2025"
"0000173355","0.25","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","1","0","0","1","0","OEP","Kandl, Kim A.","{'fsnum': '13100', 'name': 'Kandl, Kim A.'}","200","0","Academic Internship","","294","","True","False","B","5","C","20255","","Research","2025"
"0000173466","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","1","0","0","1","0","OEP","Angell, Diane K.","{'fsnum': '256', 'name': 'Angell, Diane K.'}","200","0","Academic Internship","","294","","True","False","C","5","C","20255","","Research","2025"
"0000172544","1.0","0000000784","BUS","","2","0","0","1","1","OEP","Christie, Sian E.","{'fsnum': '16804', 'name': 'Christie, Sian E.'}","200","0","Academic Internship","","294","","True","","A","5","C","20255","","Research","2025"
"0000172848","0.25","0000000784","BUS","","1","1","0","0","0","OEP","Esther, Alli A.","{'fsnum': '9002451', 'name': 'Esther, Alli A.'}","200","0","Academic Internship","","294","","True","","B","5","C","20255","","Research","2025"
"0000172187","1.0","0000000194","CHEM","This course provides a sequential introduction to physical chemistry. Beginning with an introduction to statistical aspects of chemical equilibria, it explores the relationships between energy, entropy and equilibria (thermodynamics); oxidation-reduction reactions and electrochemistry; transitions between phases; and rates of reactions. Students attend three classes and one three-hour laboratory per week. Offered annually during spring semester. Prerequisite: CHEM 125, or CHEM 122, and concurrent or previous enrollment in MATH 119 or MATH 120, or permission of instructor.","5","2","1","1","1","NSC;NSL;SED","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","24","Chemical Reactions","","126","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'}","False","CHEM 125, or CHEM 122, and concurrent or previous enrollment in MATH 119 or MATH 120, or permission of instructor.","","5","O","20255","Energies and Rates of Chemical Reactions","Research","2025"
"0000172188","","0000000195","CHEM","","5","2","1","1","1","","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","24","Chemical Reactions Lab","","126","{'day': 'Mo', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'}","False","","","5","O","20255","","Lab","2025"
"0000172189","1.0","0000000197","CHEM","This course is a continuation of CHEM 247 topics. Chemistry 248 delves into the chemistry of functional groups, especially those that play a role in the reactivity of biomolecules such as carbohydrates, lipids, proteins ,and nucleic acids. Together, CHEM 247 and CHEM 248 provide a full treatment of introductory organic chemistry. Offered annually during Spring semester. Prerequisite: CHEM 247 or permission of instructor.","12","2","4","5","1","","Gittins, Peter J.","{'fsnum': '21144', 'name': 'Gittins, Peter J.'}","200","24","Organic Chemistry II","Class will meet from July 13 to July 30 with an online proctored final on August;10, 2026.","248","{'day': 'Mo', 'end': '12:00', 'location': 'VRTL Online', 'start': '21:00'};{'day': 'Tu', 'end': '12:00', 'location': 'VRTL Online', 'start': '21:00'};{'day': 'We', 'end': '12:00', 'location': 'VRTL Online', 'start': '21:00'};{'day': 'Th', 'end': '12:00', 'location': 'VRTL Online', 'start': '21:00'}","False","CHEM 247 or permission of instructor.","","5","O","20255","","Research","2025"
"0000172190","0.25","0000000200","CHEM","This course is a continuation of CHEM 253. Students gain more experience with techniques used in CHEM 253 and in addition use gas chromatographic/mass spectrometric analyses. Students attend one three-hour laboratory each week. P/N only. Offered annually during Spring semester. Prerequisites: CHEM 253 and previous or concurrent registration in CHEM 248.","9","2","3","4","0","","Gittins, Peter J.","{'fsnum': '21144', 'name': 'Gittins, Peter J.'}","200","24","Synthesis Lab II","Asynchronous work ~9 hours: July 1 - August 10.                                 ;In-person days: July 9-11 ThFSa 8am-12pm & 1pm-5pm.","254","","True","Prerequisites: CHEM 253 and previous or concurrent registration in CHEM 248.","","5","O","20255","Synthesis Laboratory II","Lab","2025"
"0000173693","1.0","0000000276","ECON","","1","0","1","0","0","OEP","Christie, Sian E.","{'fsnum': '16804', 'name': 'Christie, Sian E.'}","200","0","Academic Internship","","294","","True","","A","5","C","20255","","Research","2025"
"0000173697","1.0","0000000276","ECON","","1","0","0","1","0","OEP","Sardar, Naafey","{'fsnum': '35047', 'name': 'Sardar, Naafey'}","200","0","Academic Internship","","294","","True","","B","5","C","20255","","Research","2025"
"0000173840","0.25","0000000276","ECON","","1","1","0","0","0","OEP","Harris, Colin","{'fsnum': '30113', 'name': 'Harris, Colin'}","200","0","Academic Internship","","294","","True","","C","5","C","20255","","Research","2025"
"0000174535","0.25","0000000276","ECON","","1","0","1","0","0","OEP","Mookerjee, Urbashi","{'fsnum': '35113', 'name': 'Mookerjee, Urbashi'}","200","0","Academic Internship","","294","","True","","D","5","C","20255","","Research","2025"
"0000172192","1.0","0000021525","ENGL","This course introduces the craft of creative writing through contemporary readings and writing exercises in poetry and prose. Students learn to read and to write texts with attention to how a literary work is constructed. Emphasis on the elements of craft and strategies for revision prepare students to pursue the creative writing major or the English major with teaching licensure. Offered every semester.","4","1","1","1","1","CRE","Patterson, Juliet","{'fsnum': '25348', 'name': 'Patterson, Juliet'}","100","18","Craft of Creative Writing","","150","","False","False","","5","O","20255","The Craft of Creative Writing","Research","2025"
"0000172915","1.0","0000000433","ENGL","","1","0","1","0","0","OEP","LeBlanc, Diane C.","{'fsnum': '13324', 'name': 'LeBlanc, Diane C.'}","200","0","Academic Internship","","294","","True","","A","5","C","20255","","Research","2025"
"0000172732","0.5","0000035289","FMS","","1","0","1","0","0","OEP","Nordfjörd, Björn","{'fsnum': '26260', 'name': 'Nordfjörd, Björn'}","200","0","Academic Internship","","294","","True","","A","5","C","20255","","Research","2025"
