"clbid","credits","crsid","department","enrolled","firstyear","groupid","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","type","year"
"0000010204","0.25","0000000997","PEAC","6","","","Staff","","S","100","999","Golf","Class periods to be arranged. First class meets July 18 at 7:30 a.m. in SAC 112","103","","False","False","","5","","","O","20045","Research","2004"
"0000010205","1.0","0000001074","PHYS","7","","0000001074","Matthew C. Feig","","S","100","999","Principles Physics II","","125","{'day': 'Mo', 'end': '11:30', 'location': 'SC 129', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 129', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 129', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 129', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 129', 'start': '10:00'}","False","False","","5","","","O","20045","Research","2004"
"0000010206","0.0","0000001075","PHYS","7","","0000001074","Matthew C. Feig","","S","100","999","Principles Physics II","","125","{'day': 'We', 'end': '15:30', 'location': 'SC 111', 'start': '13:00'};{'day': 'Th', 'end': '15:30', 'location': 'SC 111', 'start': '13:00'}","False","False","","5","","","O","20045","Lab","2004"
"0000010207","1.0","0000001168","PSYCH","5","","","Dana Gross","","S","200","999","Developmental Psych","","241","{'day': 'Mo', 'end': '14:00', 'location': 'HH 317', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'HH 317', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'HH 317', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'HH 317', 'start': '12:30'}","False","False","","5","","","O","20045","Research","2004"
"0000010208","1.0","0000001207","REL","11","","","James Hanson","","S","200","999","St.Paul/Letter/Gospel","","223","{'day': 'Mo', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'}","False","False","","5","","","O","20045","Research","2004"
"0000010209","1.0","0000001232","REL","19","","","James Hanson","","S","200","999","The Ethics of Jesus","","276","{'day': 'Mo', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'}","False","False","","5","","","O","20045","Research","2004"
"0000010210","1.0","0000001376","THEAT","11","","","Gary C. Gisselman","","S","100","999","Acting for Non-Majors","","115","{'day': 'Mo', 'end': '11:30', 'location': 'TB Haugen', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'TB Haugen', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'TB Haugen', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'TB Haugen', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'TB Haugen', 'start': '10:00'}","False","False","","5","","","O","20045","Research","2004"
"0000010211","1.0","0000001402","STAT","8","","","Kathryn Ziegler-Graham","","S","100","999","Prin of Statistics","","110","{'day': 'Mo', 'end': '11:30', 'location': 'SC 184', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 184', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 184', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 184', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 184', 'start': '10:00'}","False","False","","5","","","O","20045","Research","2004"
"0000047382","1.0","0000001057","PETH","3","0/0","","Cindy Book","3/0","S","200","0","Academic Internship","","294","","True","False","A","5","0/0","0/0","C","20045","Research","2004"
"0000047383","1.0","0000001057","PETH","1","0/0","","William Sean Goldsworthy","0/0","S","200","0","Academic Internship","","294","","True","False","B","5","0/0","1/0","O","20045","Research","2004"
"0000047400","1.0","0000000784","MGMT","1","0/0","","John M. Ophaug","1/0","S","200","0","Academic Internship","","294","","True","False","A","5","0/0","0/0","C","20045","Research","2004"
"0000047405","1.0","0000000993","PHIL","0","0/0","","Staff","0/0","S","300","0","IR/","","398","","False","False","","5","0/0","0/0","O","20045","Research","2004"
"0000047406","0.5","0000000961","NURS","2","0/0","","Diana Neal","2/0","S","300","0","Academic Internship","","394","","True","False","A","5","0/0","0/0","C","20045","Research","2004"
"0000047407","0.5","0000000961","NURS","1","0/0","","Mary Beth Kuehn","1/0","S","300","0","Academic Internship","","394","","True","False","B","5","0/0","0/0","C","20045","Research","2004"
"0000047408","0.5","0000000961","NURS","2","0/0","","Judith Sateren","2/0","S","300","0","Academic Internship","","394","","True","False","C","5","0/0","0/0","C","20045","Research","2004"
"0000047409","1.0","0000000014","AMST","1","0/0","","James Farrell","1/0","S","300","0","Academic Internship","","394","","True","False","","5","0/0","0/0","O","20045","Research","2004"
"0000047420","1.0","0000000961","NURS","2","0/0","","Mary Beth Kuehn","2/0","S","300","0","Academic Internship","","394","","True","False","D","5","0/0","0/0","C","20045","Research","2004"
"0000047428","1.0","0000001188","PSYCH","2","0/0","","Dana Gross","1/0","S","300","0","Academic Internship","","394","","True","False","","5","0/0","1/0","O","20045","Research","2004"
"0000047429","0.5","0000000795","MEDIA","4","0/0","","Bill Sonnega","1/0","S","200","0","Academic Internship","","294","","True","False","A","5","0/0","3/0","C","20045","Research","2004"
"0000047430","0.5","0000000795","MEDIA","1","0/0","","Bill Sonnega","0/0","S","200","0","Academic Internship","","294","","True","False","B","5","0/0","1/0","C","20045","Research","2004"
"0000047433","1.0","0000000153","BIO","1","0/0","","Michael Swift","1/0","S","200","0","Academic Internship","","294","","True","False","A","5","0/0","0/0","C","20045","Research","2004"
"0000047434","0.5","0000000153","BIO","1","0/0","","Theodore Johnson","1/0","S","200","0","Academic Internship","","294","","True","False","B","5","0/0","0/0","C","20045","Research","2004"
"0000047436","0.5","0000000276","ECON","1","1/0","","Sian E. Christie","0/0","S","200","0","Academic Internship","","294","","True","False","A","5","0/0","0/0","C","20045","Research","2004"
"0000047437","1.0","0000000276","ECON","1","0/0","","Edward David Emery","1/0","S","200","0","Academic Internship","","294","","True","False","B","5","0/0","0/0","O","20045","Research","2004"
"0000047439","1.0","0000001236","REL","1","0/0","","L. DeAne Lagerquist","1/0","S","200","0","Academic Internship","","294","","True","False","A","5","0/0","0/0","C","20045","Research","2004"
"0000047441","1.0","0000001236","REL","1","0/0","","James Hanson","1/0","S","200","0","Academic Internship","","294","","True","False","B","5","0/0","0/0","O","20045","Research","2004"
