"clbid","credits","crsid","department","enrolled","instructors","learningmode","level","max","name","number","offerings","pn","prerequisites","semester","status","term","type","year"
"0000007518","1.0","0000000316","EDUC","12","Staff","S","300","999","Reading Comm Literacy","315","{'day': 'Mo', 'end': '12:00', 'location': 'FH 10L', 'start': '09:00'};{'day': 'Tu', 'end': '12:00', 'location': 'FH 10L', 'start': '09:00'};{'day': 'We', 'end': '12:00', 'location': 'FH 10L', 'start': '09:00'};{'day': 'Th', 'end': '12:00', 'location': 'FH 10L', 'start': '09:00'};{'day': 'Fr', 'end': '12:00', 'location': 'FH 10L', 'start': '09:00'};{'day': 'Mo', 'end': '15:00', 'location': 'FH 10L', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'FH 10L', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'FH 10L', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'FH 10L', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'FH 10L', 'start': '13:00'}","False","False","4","O","20034","Research","2003"
"0000007519","0.25","0000000353","DNCTE","4","Staff","S","100","999","Ballet I","121","{'day': 'Mo', 'end': '14:00', 'location': 'CAD _STUDIO_2', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'CAD _STUDIO_2', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'CAD _STUDIO_2', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'CAD _STUDIO_2', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'CAD _STUDIO_2', 'start': '12:30'}","True","False","4","O","20034","Research","2003"
"0000007520","1.0","0000000411","ENGL","7","Staff","S","200","999","Post-Colonial Lit","247","{'day': 'Mo', 'end': '09:30', 'location': 'RML 525', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'RML 525', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'RML 525', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'RML 525', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'RML 525', 'start': '08:00'}","False","False","4","O","20034","Research","2003"
"0000007521","1.0","0000000424","ENGL","8","Staff","S","200","999","Literature & Film","275","{'day': 'Mo', 'end': '11:30', 'location': 'RML 525', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 525', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 525', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 525', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 525', 'start': '10:00'}","False","False","4","O","20034","Research","2003"
"0000007522","1.0","0000000429","ENGL","4","Staff","S","200","999","Studies in Prose","283","{'day': 'Mo', 'end': '14:00', 'location': 'RML 525', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'RML 525', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'RML 525', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'RML 525', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'RML 525', 'start': '12:30'}","False","False","4","O","20034","Research","2003"
"0000007523","1.0","0000000438","ENGL","4","Staff","S","300","999","Top: Post Colonial Lit","347","{'day': 'Mo', 'end': '09:30', 'location': 'RML 525', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'RML 525', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'RML 525', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'RML 525', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'RML 525', 'start': '08:00'}","False","False","4","O","20034","Topic","2003"
"0000007524","1.0","0000000508","GERM","2","Staff","S","200","999","Intermed German I","231","","False","False","4","O","20034","Research","2003"
"0000007525","1.0","0000000509","GERM","3","Staff","S","200","999","Intermed German II","232","","False","False","4","O","20034","Research","2003"
"0000007526","1.0","0000000649","FAMST","7","Staff","S","200","999","Family Relationships","242","{'day': 'Mo', 'end': '09:30', 'location': 'OM 002', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'OM 002', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'OM 002', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'OM 002', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'OM 002', 'start': '08:00'}","False","False","4","O","20034","Research","2003"
"0000007527","1.0","0000000651","FAMST","11","Staff","S","200","999","Human Sexuality","253","{'day': 'Mo', 'end': '11:30', 'location': 'OM 002', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'OM 002', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'OM 002', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'OM 002', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'OM 002', 'start': '10:00'}","False","False","4","O","20034","Research","2003"
