"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","number","offerings","pn","section","semester","status","term","type","year"
"0000005642","1.0","0000000016","AFAM","31","0","8","2","21","ALS-L;MCS-G","Mbele, Joseph L.","{'fsnum': '5144', 'name': 'Mbele, Joseph L.'}","200","25","","","","","Africa & the Americas","231","{'day': 'Mo', 'end': '10:00', 'location': 'RML 577', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'RML 577', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'RML 577', 'start': '09:05'}","False","","1","C","20031","Seminar","2003"
"0000005729","1.0","0000000176","AMCON","20","19","0","0","1","","Rohn, Matthew","{'fsnum': '6758', 'name': 'Rohn, Matthew'}","100","24","","","","","Freedoms: 1620-1865","101","{'day': 'Mo', 'end': '13:50', 'location': 'Steensland', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'Steensland', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'Steensland', 'start': '12:55'}","False","A","1","C","20031","Research","2003"
"0000005730","1.0","0000000176","AMCON","21","21","0","0","0","","Hahn, Steve C.","{'fsnum': '13148', 'name': 'Hahn, Steve C.'}","100","24","","","","","Freedoms: 1620-1865","101","{'day': 'Mo', 'end': '13:50', 'location': 'Steensland', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'Steensland', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'Steensland', 'start': '12:55'}","False","B","1","C","20031","Research","2003"
"0000005731","1.0","0000000178","AMCON","19","0","0","18","1","ALS-L;MCS-D;WRI","Farrell, James","{'fsnum': '2030', 'name': 'Farrell, James'}","200","24","","","","","Remaking Am: 1845-1945","201","{'day': 'Mo', 'end': '14:55', 'location': 'HH 317', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'HH 317', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'HH 317', 'start': '14:00'}","False","A","1","C","20031","Research","2003"
"0000005732","1.0","0000000178","AMCON","18","0","0","17","1","ALS-L;MCS-D;WRI","Lagerquist, L. DeAne","{'fsnum': '4592', 'name': 'Lagerquist, L. DeAne'}","200","24","","","","","Remaking Am: 1845-1945","201","{'day': 'Mo', 'end': '14:55', 'location': 'HH 302', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'HH 302', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'HH 302', 'start': '14:00'}","False","B","1","C","20031","Research","2003"
"0000005639","1.0","0000000004","AMST","33","3","3","6","21","HBS;MCS-D","Farrell, James","{'fsnum': '2030', 'name': 'Farrell, James'}","100","25","","","","","Perspec Amer Culture","100","{'day': 'Mo', 'end': '11:40', 'location': 'RML 421', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'RML 421', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'RML 421', 'start': '10:45'}","False","","1","C","20031","Research","2003"
"0000005640","1.0","0000000012","AMST","1","0","0","0","1","","Farrell, James","{'fsnum': '2030', 'name': 'Farrell, James'}","200","","","","","","IS/Habit of My Heart","298","","False","","1","O","20031","Research","2003"
"0000005641","1.0","0000000015","AMST","1","0","0","0","1","","Farrell, James","{'fsnum': '2030', 'name': 'Farrell, James'}","300","","","","","","IR/Sustainable Future","398","","False","","1","O","20031","Research","2003"
"0000006397","1.0","0000001483","ARMS","21","1","4","8","8","HWC;MCS-D","Fitzgerald, Michael","{'fsnum': '2113', 'name': 'Fitzgerald, Michael'}","100","25","","","","","Intro to Arms","122","{'day': 'Mo', 'end': '13:50', 'location': 'RML 577', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'RML 577', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'RML 577', 'start': '12:55'}","False","","1","C","20031","Research","2003"
"0000006398","1.0","0000001487","ARMS","1","0","0","0","1","","Hahn, Steve C.","{'fsnum': '13148', 'name': 'Hahn, Steve C.'}","200","","","","","","IS/Indians and Empire","298","","False","","1","O","20031","Research","2003"
"0000006399","1.0","0000001487","ARMS","1","0","0","0","1","","Fitzgerald, Michael","{'fsnum': '2113', 'name': 'Fitzgerald, Michael'}","200","","","","","","IS/Reconstruction","298","","False","A","1","O","20031","Research","2003"
"0000005643","0.5","0000000019","ART","22","5","1","9","7","ALS-A","Saurer, John","{'fsnum': '7064', 'name': 'Saurer, John'}","100","22","9","1","5","1","Found Perceptual Draw","111","{'day': 'Mo', 'end': '14:55', 'location': 'CAD 216', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'CAD 216', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'CAD 216', 'start': '14:00'}","False","","1","C","20031","Research","2003"
"0000005644","0.5","0000000020","ART","23","8","5","5","5","ALS-A","Lowe, Kristen","{'fsnum': '15829', 'name': 'Lowe, Kristen'}","100","22","9","2","5","2","Found Conceptual Draw","112","{'day': 'Mo', 'end': '11:40', 'location': 'CAD 216', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'CAD 216', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'CAD 216', 'start': '10:45'}","False","A","1","C","20031","Research","2003"
"0000005645","0.5","0000000020","ART","17","1","5","7","4","ALS-A","Lowe, Kristen","{'fsnum': '15829', 'name': 'Lowe, Kristen'}","100","22","10","3","5","2","Found Conceptual Draw","112","{'day': 'Mo', 'end': '13:50', 'location': 'CAD 216', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'CAD 216', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'CAD 216', 'start': '12:55'}","False","B","1","O","20031","Research","2003"
"0000005646","0.5","0000000021","ART","20","4","3","7","6","ALS-A","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","100","22","7","3","4","2","Found Color Design","113","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 116', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'CAD 116', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 116', 'start': '09:05'}","False","A","1","O","20031","Research","2003"
"0000005647","0.5","0000000021","ART","17","0","4","7","6","ALS-A","Ewald, Jill","{'fsnum': '1987', 'name': 'Ewald, Jill'}","100","22","9","1","5","2","Found Color Design","113","{'day': 'Mo', 'end': '12:45', 'location': 'CAD 116', 'start': '23:50'};{'day': 'We', 'end': '12:45', 'location': 'CAD 116', 'start': '23:50'};{'day': 'Fr', 'end': '12:45', 'location': 'CAD 116', 'start': '23:50'}","False","B","1","O","20031","Research","2003"
"0000005648","0.5","0000000022","ART","17","1","1","7","8","ALS-A","Rabiner, Mollie","{'fsnum': '15835', 'name': 'Rabiner, Mollie'}","100","18","5","1","4","2","Foundation Sculpture","114","{'day': 'Tu', 'end': '09:25', 'location': 'CAD 106', 'start': '08:00'};{'day': 'Th', 'end': '09:20', 'location': 'CAD 106', 'start': '08:00'}","False","A","1","O","20031","Research","2003"
"0000005649","0.5","0000000022","ART","12","4","0","3","5","ALS-A","Rabiner, Mollie","{'fsnum': '15835', 'name': 'Rabiner, Mollie'}","100","18","8","1","4","1","Foundation Sculpture","114","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 106', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 106', 'start': '09:30'}","False","B","1","O","20031","Research","2003"
"0000005650","0.5","0000000024","ART","20","2","5","4","9","ALS-A","Gallas, Ron","{'fsnum': '2492', 'name': 'Gallas, Ron'}","100","18","5","1","3","2","Found Ceramics: Hand","116","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 115C', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 115C', 'start': '09:30'}","False","","1","C","20031","Research","2003"
"0000005651","0.5","0000000025","ART","14","2","3","4","5","ALS-A","Kelley, Patrick T.","{'fsnum': '14002', 'name': 'Kelley, Patrick T.'}","100","14","2","3","3","2","Foundn Digital Media","117","{'day': 'Tu', 'end': '09:25', 'location': 'CAD 100', 'start': '08:00'};{'day': 'Th', 'end': '09:20', 'location': 'CAD 100', 'start': '08:00'}","False","A","1","C","20031","Research","2003"
"0000005652","0.5","0000000025","ART","15","1","2","6","6","ALS-A","Kelley, Patrick T.","{'fsnum': '14002', 'name': 'Kelley, Patrick T.'}","100","15","0","1","3","1","Foundn Digital Media","117","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 100', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 100', 'start': '09:30'}","False","B","1","C","20031","Research","2003"
"0000005653","0.5","0000000026","ART","20","7","2","7","4","ALS-A","Gallas, Ron","{'fsnum': '2492', 'name': 'Gallas, Ron'}","100","18","5","1","4","2","Found Ceramics: Wheel","119","{'day': 'Tu', 'end': '13:10', 'location': 'CAD 115E', 'start': '23:45'};{'day': 'Th', 'end': '14:05', 'location': 'CAD 115E', 'start': '12:45'}","False","A","1","C","20031","Research","2003"
"0000005654","0.5","0000000026","ART","18","4","1","8","5","ALS-A","Gallas, Ron","{'fsnum': '2492', 'name': 'Gallas, Ron'}","100","18","6","2","4","2","Found Ceramics: Wheel","119","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 115E', 'start': '13:20'};{'day': 'Th', 'end': '15:35', 'location': 'CAD 115E', 'start': '14:15'}","False","B","1","O","20031","Research","2003"
"0000005655","1.0","0000000027","ART","15","12","0","1","2","ALS-A","Lowe, Kristen","{'fsnum': '15829', 'name': 'Lowe, Kristen'}","100","18","18","0","0","0","Honors Found Drawing","120","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 216', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 216', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 216', 'start': '08:00'}","False","","1","C","20031","Research","2003"
"0000005656","1.0","0000000029","ART","17","3","6","5","3","ALS-A","Ojala, Margaret","{'fsnum': '5816', 'name': 'Ojala, Margaret'}","100","18","3","2","3","0","Found Photography","124","{'day': 'Mo', 'end': '16:00', 'location': 'CAD 102', 'start': '14:00'};{'day': 'We', 'end': '16:00', 'location': 'CAD 102', 'start': '14:00'};{'day': 'Fr', 'end': '16:00', 'location': 'CAD 102', 'start': '14:00'}","False","A","1","C","20031","Research","2003"
"0000005657","1.0","0000000029","ART","11","2","2","1","6","ALS-A","Ojala, Margaret","{'fsnum': '5816', 'name': 'Ojala, Margaret'}","100","13","","","","","Found Photography","124","{'day': 'Mo', 'end': '12:45', 'location': 'CAD 102', 'start': '22:45'};{'day': 'We', 'end': '12:45', 'location': 'CAD 102', 'start': '22:45'};{'day': 'Fr', 'end': '12:45', 'location': 'CAD 102', 'start': '22:45'}","False","B","1","C","20031","Research","2003"
"0000005658","1.0","0000000031","ART","51","12","11","22","6","ALS-A;MCS-G","Kucera, Karil J.;Thompson, Nancy M.","{'fsnum': '14964', 'name': 'Kucera, Karil J.'};{'fsnum': '13137', 'name': 'Thompson, Nancy M.'}","100","50","13","13","10","7","Ancient/Med World Art","150","{'day': 'Mo', 'end': '11:40', 'location': 'CAD 305', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'CAD 305', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'CAD 305', 'start': '10:45'}","False","","1","C","20031","Research","2003"
"0000005659","1.0","0000001499","ART","0","0","0","0","0","ALS-A;MCS-G","Staff","{'fsnum': '', 'name': 'Staff'}","200","13","","","","","Exp Visual Culture","220","","False","","1","O","20031","Research","2003"
"0000005660","1.0","0000000033","ART","19","1","7","7","4","","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","200","22","","","","","Oil/Acrylic Painting","221","{'day': 'Mo', 'end': '14:55', 'location': 'CAD 214', 'start': '12:55'};{'day': 'We', 'end': '14:55', 'location': 'CAD 214', 'start': '12:55'};{'day': 'Fr', 'end': '14:55', 'location': 'CAD 214', 'start': '12:55'}","False","","1","O","20031","Research","2003"
"0000005661","1.0","0000000037","ART","11","1","5","4","1","","Edwins, Steven","{'fsnum': '1564', 'name': 'Edwins, Steven'}","200","16","","","","","Arch Drawing/Design I","225","{'day': 'Mo', 'end': '14:55', 'location': 'CAD 116', 'start': '12:55'};{'day': 'We', 'end': '14:55', 'location': 'CAD 116', 'start': '12:55'};{'day': 'Fr', 'end': '14:55', 'location': 'CAD 116', 'start': '12:55'}","False","","1","O","20031","Research","2003"
"0000005662","1.0","0000000039","ART","12","0","5","1","6","","Saurer, John","{'fsnum': '7064', 'name': 'Saurer, John'}","200","16","","","","","Printmkg: Intaglio/Mono","227","{'day': 'Mo', 'end': '12:45', 'location': 'CAD 212', 'start': '22:45'};{'day': 'We', 'end': '12:45', 'location': 'CAD 212', 'start': '22:45'};{'day': 'Fr', 'end': '12:45', 'location': 'CAD 212', 'start': '22:45'}","False","","1","C","20031","Research","2003"
"0000005663","1.0","0000000046","ART","2","0","1","0","1","","Ojala, Margaret","{'fsnum': '5816', 'name': 'Ojala, Margaret'}","200","15","","","","","Photography","238","{'day': 'Mo', 'end': '12:45', 'location': 'CAD 102', 'start': '22:45'};{'day': 'We', 'end': '12:45', 'location': 'CAD 102', 'start': '22:45'};{'day': 'Fr', 'end': '12:45', 'location': 'CAD 102', 'start': '22:45'}","False","","1","O","20031","Research","2003"
"0000005664","1.0","0000000047","ART","13","0","4","1","8","ALS-A","Ryan, David E.","{'fsnum': '13038', 'name': 'Ryan, David E.'}","200","15","","","","","Video Art Production","239","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 101', 'start': '23:45'};{'day': 'Th', 'end': '15:45', 'location': 'CAD 101', 'start': '12:45'}","False","","1","C","20031","Research","2003"
"0000005665","1.0","0000000051","ART","30","0","12","7","11","ALS-A;HWC","Rohn, Matthew","{'fsnum': '6758', 'name': 'Rohn, Matthew'}","200","30","0","6","0","4","Art 1880-1950","252","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 305', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'CAD 305', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 305', 'start': '09:05'}","False","","1","C","20031","Research","2003"
"0000005666","1.0","0000000057","ART","27","6","7","8","6","ALS-A;MCS-G","Kucera, Karil J.","{'fsnum': '14964', 'name': 'Kucera, Karil J.'}","200","30","","","","","Arts of China","259","{'day': 'Mo', 'end': '14:55', 'location': 'CAD 305', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'CAD 305', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'CAD 305', 'start': '14:00'}","False","","1","O","20031","Research","2003"
"0000005667","1.0","0000000066","ART","23","4","4","5","10","","Brooks-Shirey, Heather M.","{'fsnum': '14840', 'name': 'Brooks-Shirey, Heather M.'}","200","20","","","","","Topics in Art History","275","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 305', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 305', 'start': '09:30'}","False","","1","C","20031","Topic","2003"
"0000005668","1.0","0000000069","ART","4","0","1","0","3","","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","200","","","","","","IS/Advanced Painting","298","","False","","1","O","20031","Research","2003"
"0000005669","1.0","0000000069","ART","1","0","0","0","1","","Gallas, Ron","{'fsnum': '2492', 'name': 'Gallas, Ron'}","200","","","","","","IS/Clay Expression","298","","False","A","1","O","20031","Research","2003"
"0000005670","1.0","0000000069","ART","1","0","0","0","1","","Gallas, Ron","{'fsnum': '2492', 'name': 'Gallas, Ron'}","200","","","","","","IS/Advanced Ceramics","298","","False","B","1","O","20031","Research","2003"
