"clbid","credits","crsid","department","description","enrolled","groupid","instructors","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000116111","0.25","0000000306","CSCI","Students gain experience in computer-industry positions. Recent projects have included contributions to team programming, documentation, business applications of computing, modifications of large proprietary code bases using industry-standard software frameworks, test-driven development, creating mobile-computing interfaces for existing software systems, and improving security of company websites. Internship experiences (whether for credit or not) are strongly encouraged for anyone considering a career in computing.","0","","Olaf A. Hall-Holt","S","300","999","Academic Internship","","394","","True","False","","5","C","20165","","Research","2016"
"0000116152","0.25","0000000344","EDUC","","1","","Heather Campbell","S","300","999","Academic Internship","","394","","True","False","","5","C","20165","","Research","2016"
"0000116160","0.25","0000001315","SOAN","","1","","Thomas A. Williamson","S","200","999","Academic Internship","","294","","True","False","","5","O","20165","","Research","2016"
"0000116167","0.25","0000000299","CSCI","This is an intermediate-level version of CSCI 394.","1","","Matthew Wright","S","200","999","Academic Internship","","294","","True","False","","5","C","20165","","Research","2016"
"0000116194","0.25","0000000961","NURS","Does not count toward the major. Students may choose a 1.00, 0.50, or 0.25 credit option.","6","","Susan Huehn","S","300","999","Academic Internship","","394","","True","False","","5","O","20165","","Research","2016"
"0000116195","0.25","0000000961","NURS","Does not count toward the major. Students may choose a 1.00, 0.50, or 0.25 credit option.","2","","Mary Beth Kuehn","S","300","999","Academic Internship","","394","","True","False","A","5","O","20165","","Research","2016"
"0000116196","0.25","0000000784","MGMT","","1","","Richard Goedde","S","200","999","Academic Internship","","294","","True","False","","5","O","20165","","Research","2016"
"0000116197","1.0","0000000866","MUSIC","","1","","Louis K. Epstein","S","300","999","IR/Feminist Opera Translation","","398","","False","False","","5","O","20165","Independent Research","Research","2016"
"0000116199","1.0","0000001367","SWRK","","1","","Susan E. Smalling","S","200","999","IS/Human Relationships & Rel Values","","298","","False","False","","5","O","20165","Independent Study","Research","2016"
"0000116207","0.25","0000000707","ID","","1","","William C. Solomon","S","200","999","Academic Internship","","294","","True","False","","5","C","20165","","Research","2016"
"0000116208","1.0","0000000707","ID","","1","","Sian E. Christie","S","200","999","Academic Internship","","294","","True","False","A","5","O","20165","","Research","2016"
"0000116227","0.25","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","1","","Laura Listenberger","S","200","999","Academic Internship","","294","","True","False","","5","C","20165","","Research","2016"
"0000116228","0.25","0000000707","ID","","3","","Edmund Santurri","S","200","999","Academic Internship","","294","","True","False","B","5","O","20165","","Research","2016"
"0000116229","0.25","0000000068","ART","","1","","Christopher Tradowsky","S","200","999","Academic Internship","","294","","True","False","","5","C","20165","","Research","2016"
"0000116230","0.25","0000000795","MEDIA","","5","","Bill Sonnega","S","200","999","Academic Internship","","294","","True","False","","5","O","20165","","Research","2016"
"0000116231","0.25","0000001178","PSYCH","","1","","Anna E. Johnson","S","200","999","Academic Internship","","294","","True","False","","5","O","20165","","Research","2016"
"0000116238","0.25","0000000174","BIO","Biology 394 is for students who have completed one internship (BIO 294) and wish to complete a second internship. Students interested in an internship should consult with the Piper Center for Vocation and Career, locate a faculty supervisor, and complete an internship form. Internships do not count toward the biology major requirements.","1","","Kim A. Kandl","S","300","999","Academic Internship","","394","","True","False","","5","C","20165","","Research","2016"
"0000116239","0.25","0000000707","ID","","1","","Thomas Bernardin","S","200","999","Academic Internship","","294","","True","False","C","5","O","20165","","Research","2016"
"0000116240","1.0","0000001178","PSYCH","","1","","Jessica R. Petok","S","200","999","Academic Internship","","294","","True","False","A","5","O","20165","","Research","2016"
"0000116241","1.0","0000001188","PSYCH","","0","","Grace E. Cho","S","300","999","Academic Internship","","394","","True","False","A","5","O","20165","","Research","2016"
