"clbid","credits","crsid","department","enrolled","instructors","learningmode","level","max","name","number","offerings","pn","prerequisites","semester","status","term","type","year"
"0000001782","1.0","0000000196","CHEM","33","Wesley Pearson","S","200","999","Organic Chemistry","247","{'day': 'Mo', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'}","False","False","4","O","20004","Research","2000"
"0000001783","0.25","0000000199","CHEM","27","Wesley Pearson","S","200","999","Synthesis Lab","253","{'day': 'Mo', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'};{'day': 'Tu', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'}","True","False","4","O","20004","Lab","2000"
"0000001784","1.0","0000000283","ECON","1","Paul Wojick","S","300","999","Senior Project","389","","False","False","4","O","20004","Research","2000"
"0000001785","1.0","0000000411","ENGL","9","Joseph L. Mbele","S","200","999","Post-Colonial Lit","247","{'day': 'Mo', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'L 515', 'start': '10:00'}","False","False","4","O","20004","Research","2000"
"0000001786","1.0","0000000418","ENGL","8","Melanie Richards","S","200","999","Creative Writing I","257","{'day': 'Mo', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'L 520', 'start': '12:30'}","False","False","4","O","20004","Research","2000"
"0000001787","1.0","0000000438","ENGL","5","Joseph L. Mbele","S","300","999","Topics/Post-Colonial","347","{'day': 'Mo', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 515', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'L 515', 'start': '10:00'}","False","False","4","O","20004","Topic","2000"
"0000001788","1.0","0000000441","ENGL","1","Melanie Richards","S","300","999","Creative Writing II","372","{'day': 'Mo', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'L 520', 'start': '12:30'}","False","False","4","O","20004","Research","2000"
"0000001789","1.0","0000000504","GERM","3","Frederike Von Schwerin-High","S","100","999","Beginning German I","111","","False","False","4","O","20004","Research","2000"
"0000001790","1.0","0000000505","GERM","1","Frederike Von Schwerin-High","S","100","999","Beginning German II","112","","False","False","4","O","20004","Research","2000"
"0000001791","1.0","0000000509","GERM","1","Frederike Von Schwerin-High","S","200","999","Intermed German II","232","","False","False","4","O","20004","Research","2000"
"0000001792","1.0","0000001816","HIST","11","Steven C. Hahn","S","200","999","America 1490-1865","205","{'day': 'Mo', 'end': '11:30', 'location': 'H 403', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'H 403', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'H 403', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'H 403', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'H 403', 'start': '10:00'}","False","False","4","O","20004","Research","2000"
"0000001793","1.0","0000001815","HIST","7","J. L. Carrington","S","200","999","Age of Renaissance","213","{'day': 'Mo', 'end': '14:00', 'location': 'L 421', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'L 421', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'L 421', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'L 421', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'L 421', 'start': '12:30'}","False","False","4","O","20004","Research","2000"
"0000001794","1.0","0000000649","FAMST","5","C. George Holt","S","200","999","Family Relationships","242","{'day': 'Mo', 'end': '11:30', 'location': 'M 4', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'M 4', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'M 4', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'M 4', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'M 4', 'start': '10:00'}","False","False","4","O","20004","Research","2000"
"0000001795","1.0","0000000651","FAMST","12","C. George Holt","S","200","999","Human Sexuality","253","{'day': 'Mo', 'end': '09:30', 'location': 'M 4', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'M 4', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'M 4', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'M 4', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'M 4', 'start': '08:00'}","False","False","4","O","20004","Research","2000"
"0000001796","1.0","0000000728","MATH","6","Peder Bolstad","S","100","999","Gateways/Mathematics","117","{'day': 'Mo', 'end': '09:30', 'location': 'M 1', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'M 1', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'M 1', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'M 1', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'M 1', 'start': '08:00'}","False","False","4","O","20004","Research","2000"
"0000001797","1.0","0000000731","MATH","1","Peder Bolstad","S","100","999","Calculus I","120","","False","False","4","O","20004","Research","2000"
"0000001798","1.0","0000000821","MUSIC","4","Charles Forsberg","S","200","999","Counterpoint","222","","False","False","4","O","20004","Research","2000"
"0000001799","1.0","0000000822","MUSIC","5","Charles Forsberg","S","200","999","Composition I","223","","False","False","4","O","20004","Research","2000"
"0000001800","1.0","0000001974","MUSIC","1","Charles Forsberg","S","200","999","The Art of Music","230","{'day': 'Mo', 'end': '09:30', 'location': 'CHM 239', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'CHM 239', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'CHM 239', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'CHM 239', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'CHM 239', 'start': '08:00'}","False","False","4","O","20004","Research","2000"
"0000001801","0.5","0000000845","MUSIC","1","Robert V. Scholz","S","200","999","Choral Lit II","288","","False","False","4","O","20004","Research","2000"
"0000001802","1.0","0000000979","PHIL","6","Edmund Santurri","S","200","999","Ethics/The Good Life","252","{'day': 'Mo', 'end': '14:00', 'location': 'L 420', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'L 420', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'L 420', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'L 420', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'L 420', 'start': '12:30'}","False","False","4","O","20004","Research","2000"
