"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","notes","number","offerings","pn","section","semester","status","term","type","year"
"0000007611","0.5","0000000019","ART","19","5","5","5","4","ALS-A","Saurer, John","{'fsnum': '7064', 'name': 'Saurer, John'}","100","22","10","3","8","2","Found Perceptual Draw","","111","{'day': 'Mo', 'end': '14:55', 'location': 'CAD 216', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'CAD 216', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'CAD 216', 'start': '14:00'}","False","B","1","O","20041","Research","2004"
"0000007612","0.5","0000000020","ART","16","6","4","4","2","ALS-A","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","100","22","12","3","8","3","Found Conceptual Draw","","112","{'day': 'Mo', 'end': '11:40', 'location': 'CAD 216', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'CAD 216', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'CAD 216', 'start': '10:45'}","False","A","1","O","20041","Research","2004"
"0000007613","0.5","0000000020","ART","22","8","5","5","4","ALS-A","Griep, Mary","{'fsnum': '2757', 'name': 'Griep, Mary'}","100","22","11","4","6","3","Found Conceptual Draw","","112","{'day': 'Mo', 'end': '12:45', 'location': 'CAD 216', 'start': '23:50'};{'day': 'We', 'end': '12:45', 'location': 'CAD 216', 'start': '23:50'};{'day': 'Fr', 'end': '12:45', 'location': 'CAD 216', 'start': '23:50'}","False","B","1","C","20041","Research","2004"
"0000007614","0.5","0000000021","ART","16","2","4","7","3","ALS-A","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","100","22","6","2","4","1","Found Color Design","","113","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 116', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'CAD 116', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 116', 'start': '09:05'}","False","","1","C","20041","Research","2004"
"0000007615","0.5","0000000022","ART","16","3","3","5","5","ALS-A","Dell, Irve","{'fsnum': '1369', 'name': 'Dell, Irve'}","100","18","6","1","2","2","Foundation Sculpture","","114","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 106', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 106', 'start': '09:30'}","False","A","1","C","20041","Research","2004"
"0000007616","0.5","0000000022","ART","11","6","0","3","2","ALS-A","Dell, Irve","{'fsnum': '1369', 'name': 'Dell, Irve'}","100","18","8","2","4","2","Foundation Sculpture","","114","{'day': 'Tu', 'end': '16:30', 'location': 'CAD 106', 'start': '15:05'};{'day': 'Th', 'end': '16:50', 'location': 'CAD 106', 'start': '15:55'}","False","B","1","C","20041","Research","2004"
"0000007617","0.5","0000000023","ART","17","0","7","5","5","ALS-A","Ojala, Margaret","{'fsnum': '5816', 'name': 'Ojala, Margaret'}","100","18","1","1","4","2","Found Photography","","115","{'day': 'Tu', 'end': '09:25', 'location': 'CAD 102', 'start': '08:00'};{'day': 'Th', 'end': '09:20', 'location': 'CAD 102', 'start': '08:00'}","False","","1","C","20041","Research","2004"
"0000007618","0.5","0000000024","ART","20","4","5","5","6","ALS-A","Gallas, Ron","{'fsnum': '2492', 'name': 'Gallas, Ron'}","100","18","4","3","4","2","Found Ceramics: Hand","","116","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 115C', 'start': '13:20'};{'day': 'Th', 'end': '15:35', 'location': 'CAD 115C', 'start': '14:15'}","False","","1","C","20041","Research","2004"
"0000007619","0.5","0000000025","ART","15","2","4","2","7","ALS-A","Kelley, Patrick T.","{'fsnum': '14002', 'name': 'Kelley, Patrick T.'}","100","15","2","3","5","2","Found Digital Media","","117","{'day': 'Tu', 'end': '09:25', 'location': 'CAD 100', 'start': '08:00'};{'day': 'Th', 'end': '09:20', 'location': 'CAD 100', 'start': '08:00'}","False","A","1","C","20041","Research","2004"
"0000007620","0.5","0000000025","ART","11","2","2","2","5","ALS-A","Kelley, Patrick T.","{'fsnum': '14002', 'name': 'Kelley, Patrick T.'}","100","15","2","2","4","1","Found Digital Media","First day of class meets at 8:00 in HH313.  Thereafter meets normal times       ;and location.","117","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 100', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 100', 'start': '09:30'}","False","B","1","C","20041","Research","2004"
