"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","offerings","pn","section","semester","status","term","type","year"
"0000023098","1.0","0000000011","AMST","1","0","1","0","0","","Farrell, James","{'fsnum': '2030', 'name': 'Farrell, James'}","200","","Academic Internship","294","","True","","5","O","19975","Research","1997"
"0000023099","1.0","0000000094","ASIAN","1","0","0","0","1","","Wan, Pin Pin","{'fsnum': '8890', 'name': 'Wan, Pin Pin'}","200","","IS/Chinese Poetry","298","","False","","5","O","19975","Research","1997"
"0000023100","1.0","0000000102","BIO","19","0","0","0","19","NSC;NSL","Staff","{'fsnum': '', 'name': 'Staff'}","100","19","Human Biology","123","","False","","5","O","19975","Research","1997"
"0000023101","1.0","0000000153","BIO","1","0","0","0","1","","Cabe, Paul","{'fsnum': '890', 'name': 'Cabe, Paul'}","200","","Academic Internship","294","","True","","5","O","19975","Research","1997"
"0000023102","1.0","0000000154","BIO","1","0","0","0","1","","Bakko, Eugene","{'fsnum': '325', 'name': 'Bakko, Eugene'}","200","","IS/Natural History","298","","False","","5","O","19975","Research","1997"
"0000023103","1.0","0000000172","BIO","1","0","0","0","1","","Walter, Anne","{'fsnum': '8876', 'name': 'Walter, Anne'}","300","","Top: Stress Physiology","391","","False","","5","O","19975","Topic","1997"
"0000023104","1.0","0000000194","CHEM","5","0","0","4","1","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","100","","Chemical Reactions","126","{'day': 'Mo', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'}","False","","5","O","19975","Research","1997"
"0000023105","","0000000195","CHEM","0","0","0","0","0","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","100","","Chem Reactions/Lab","126","{'day': 'We', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'}","False","","5","O","19975","Lab","1997"
"0000023106","1.0","0000000197","CHEM","6","0","1","3","2","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","Organic Chemistry","248","{'day': 'Mo', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'}","False","","5","O","19975","Research","1997"
"0000023107","0.25","0000000200","CHEM","6","0","2","2","2","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","Synthesis Lab","254","","True","","5","O","19975","Lab","1997"
