"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","pn","section","semester","status","term","type","year"
"0000018789","1.0","0000000106","BIO","3","1","0","2","0","NSC;NSL","Cabe, Paul","{'fsnum': '890', 'name': 'Cabe, Paul'}","100","","Cellular Bio & Genetics","125","False","","4","O","19954","Research","1995"
"0000018790","","0000000107","BIO","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","100","","Cellular Bio & Gen/Lab","125","False","","4","O","19954","Lab","1995"
"0000018791","1.0","0000000153","BIO","1","0","0","0","1","","Sammartano, Lauri","{'fsnum': '6993', 'name': 'Sammartano, Lauri'}","200","","Internship","294","True","","4","O","19954","Research","1995"
"0000018792","1.0","0000000153","BIO","1","0","1","0","0","","Kermott, Louis Henry","{'fsnum': '4284', 'name': 'Kermott, Louis Henry'}","200","","Internship","294","True","A","4","O","19954","Research","1995"
"0000018793","1.0","0000000161","BIO","1","0","0","0","1","WRI","Shea, Kathleen L.","{'fsnum': '7450', 'name': 'Shea, Kathleen L.'}","300","","Field Ecology","371","False","","4","C","19954","Research","1995"
"0000018794","1.0","0000000174","BIO","1","0","1","0","0","","Johnson, Theodore","{'fsnum': '4110', 'name': 'Johnson, Theodore'}","300","","Internship","394","True","","4","O","19954","Research","1995"
"0000018795","1.0","0000000192","CHEM","6","2","1","2","1","NSC;NSL","Miessler, Gary","{'fsnum': '5287', 'name': 'Miessler, Gary'}","100","","Struct Chem & Equilib","125","False","","4","O","19954","Research","1995"
"0000018796","","0000000193","CHEM","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","100","","Struct Chem & Equ/Lab","125","False","","4","O","19954","Lab","1995"
"0000018797","1.0","0000000196","CHEM","11","4","2","3","2","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","Organic Chemistry","247","False","","4","O","19954","Research","1995"
"0000018798","0.25","0000000199","CHEM","10","4","1","3","2","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","Synthesis Lab","253","True","","4","O","19954","Lab","1995"
"0000018802","1.0","0000000306","CSCI","1","0","1","0","0","","Richey, Matthew","{'fsnum': '6658', 'name': 'Richey, Matthew'}","300","","Internship","394","True","","4","O","19954","Research","1995"
"0000018803","1.0","0000000306","CSCI","1","0","1","0","0","","Brown, Richard","{'fsnum': '806', 'name': 'Brown, Richard'}","300","","Internship","394","True","A","4","O","19954","Research","1995"
"0000018799","1.0","0000000259","ECON","2","0","0","0","2","HBS","Soderlind, Steve","{'fsnum': '7636', 'name': 'Soderlind, Steve'}","100","","Principles of Econ","121","False","","4","O","19954","Research","1995"
"0000018800","1.0","0000000272","ECON","5","1","3","0","1","","Soderlind, Steve","{'fsnum': '7636', 'name': 'Soderlind, Steve'}","200","","Urban Economics","249","False","","4","O","19954","Research","1995"
"0000018801","1.0","0000000276","ECON","1","0","0","1","0","","Goedde, Richard","{'fsnum': '2661', 'name': 'Goedde, Richard'}","200","","Internship","294","True","","4","O","19954","Research","1995"
"0000018804","1.0","0000000345","EDUC","1","0","0","0","1","","Solid, Myron L.","{'fsnum': '7667', 'name': 'Solid, Myron L.'}","300","","IR/Social Studies Per","398","False","","4","O","19954","Research","1995"
"0000018805","1.0","0000001669","ENGL","3","0","1","0","2","ALS-L;WRI","Hill, Jonathan","{'fsnum': '3341', 'name': 'Hill, Jonathan'}","100","","Intro to Literature","125","False","","4","O","19954","Research","1995"
"0000018806","1.0","0000001690","ENGL","2","0","2","0","0","ALS-L","Hill, Jonathan","{'fsnum': '3341', 'name': 'Hill, Jonathan'}","200","","The Romantic Period","235","False","","4","O","19954","Research","1995"
"0000018807","1.0","0000000426","ENGL","2","0","0","0","2","WRI","Day, John T.","{'fsnum': '1354', 'name': 'Day, John T.'}","200","","Intro to Shakespeare","280","False","","4","O","19954","Research","1995"
"0000018808","1.0","0000000444","ENGL","1","0","1","0","0","WRI","Day, John T.","{'fsnum': '1354', 'name': 'Day, John T.'}","300","","Shakespeare","380","False","","4","O","19954","Research","1995"
"0000018809","1.0","0000000452","ENGL","1","0","0","1","0","","Hill, Jonathan","{'fsnum': '3341', 'name': 'Hill, Jonathan'}","300","","Sem: The Romantics","399","False","","4","O","19954","Seminar","1995"
"0000018812","1.0","0000000649","FAMST","4","0","3","1","0","","Holt, C. George","{'fsnum': '3431', 'name': 'Holt, C. George'}","200","","Family Relationships","242","False","","4","O","19954","Research","1995"
"0000018813","1.0","0000000651","FAMST","6","0","2","2","2","","Holt, C. George","{'fsnum': '3431', 'name': 'Holt, C. George'}","200","","Human Sexuality","253","False","","4","O","19954","Research","1995"
"0000018810","1.0","0000000496","FREN","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","IR/19th C Short Story","398","False","","4","O","19954","Research","1995"
"0000018811","1.0","0000001820","HIST","5","0","3","1","1","HWC;MCS-D;WRI","Knobloch, Frieda","{'fsnum': '4387', 'name': 'Knobloch, Frieda'}","200","","U.S. Since 1865","206","False","","4","O","19954","Research","1995"
"0000018814","1.0","0000000707","ID","1","1","0","0","0","","Holden, Jim;Emery, Mary Ann","{'fsnum': '3420', 'name': 'Holden, Jim'};{'fsnum': '1746', 'name': 'Emery, Mary Ann'}","200","","Internship","294","True","","4","O","19954","Research","1995"
"0000018815","1.0","0000000731","MATH","2","0","0","0","2","MAR","Hanson, Bruce","{'fsnum': '3033', 'name': 'Hanson, Bruce'}","100","","Calculus I","120","False","","4","O","19954","Research","1995"
