"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","notes","number","offerings","pn","semester","status","term","type","year"
"0000010152","1.0","0000000316","EDUC","12","0","0","0","12","","Forstner, Daniel R.","{'fsnum': '15723', 'name': 'Forstner, Daniel R.'}","300","","","","","","Reading Comm Literacy","","315","","False","4","O","20044","Research","2004"
"0000047422","1.0","0000000337","EDUC","1","0","0","1","0","","Schelske, Mark","{'fsnum': '7148', 'name': 'Schelske, Mark'}","300","0","0","0","0","0","The Exceptional Child","","376","","False","4","C","20044","Research","2004"
"0000010155","1.0","0000000418","ENGL","12","1","6","2","3","WRI","Wilson, Eliot K.","{'fsnum': '15823', 'name': 'Wilson, Eliot K.'}","200","","","","","","Creat Wrtg: Fict/Poet","","257","{'day': 'Mo', 'end': '11:30', 'location': 'RML 525', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 525', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 525', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 525', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 525', 'start': '10:00'}","False","4","O","20044","Research","2004"
"0000010156","1.0","0000000424","ENGL","9","0","3","3","3","ALS-L","Nelson, Jon Eric","{'fsnum': '5506', 'name': 'Nelson, Jon Eric'}","200","","","","","","Literature & Film","","275","{'day': 'Mo', 'end': '14:00', 'location': 'RML 525', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'RML 525', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'RML 525', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'RML 525', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'RML 525', 'start': '12:30'}","False","4","O","20044","Research","2004"
"0000010157","1.0","0000000456","ENVST","0","0","0","0","0","HBS","Lott, Anthony","{'fsnum': '15825', 'name': 'Lott, Anthony'}","200","","","","","","Global Env Politics","","201","{'day': 'Mo', 'end': '09:30', 'location': 'SC 129', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'SC 129', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'SC 129', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'SC 129', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'SC 129', 'start': '08:00'}","False","4","X","20044","Research","2004"
"0000010158","1.0","0000000504","GERM","1","0","0","1","0","","Staff","{'fsnum': '', 'name': 'Staff'}","100","","","","","","Beginning German I","Class periods to be arranged.  First class meets June 6 at 3:00 p.m. in OM35.","111","","False","4","O","20044","Research","2004"
"0000010159","1.0","0000000505","GERM","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","100","","","","","","Beginning German II","Class periods to be arranged.  First class meets June 6 at 3:00 p.m. in OM35.","112","","False","4","O","20044","Research","2004"
"0000010160","1.0","0000000508","GERM","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","Intermed German I","Class periods to be arranged.  First class meets June 6 at 3:00 p.m. in OM35.","231","","False","4","O","20044","Research","2004"
"0000010161","1.0","0000000509","GERM","1","0","0","0","1","FOL-G","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","Intermed German II","Class periods to be arranged.  First class meets June 6 at 3:00 p.m. in OM35.","232","","False","4","O","20044","Research","2004"
"0000010162","1.0","0000000514","GERM","0","0","0","0","0","FOL-G;ORC","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","Speaking German","Class periods to be arranged.  First class meets June 6 at 3:00 p.m. in OM35.","250","","False","4","O","20044","Research","2004"
