"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","number","offerings","pn","section","semester","status","term","type","year"
"0000019782","1.0","0000000005","AMST","23","1","10","9","3","HWC","Grasso, Christopher D.","{'fsnum': '2688', 'name': 'Grasso, Christopher D.'}","200","40","","","","","Top: Heartland Histor","205","{'day': 'Mo', 'end': '12:40', 'location': 'H 307', 'start': '22:40'};{'day': 'Tu', 'end': '12:40', 'location': 'H 307', 'start': '22:40'};{'day': 'We', 'end': '12:40', 'location': 'H 307', 'start': '22:40'};{'day': 'Th', 'end': '12:40', 'location': 'H 307', 'start': '22:40'};{'day': 'Fr', 'end': '12:40', 'location': 'H 307', 'start': '22:40'}","False","","2","O","19962","Topic","1996"
"0000019783","1.0","0000001496","ART","16","14","0","1","1","ALS-A","Gallas, Ron","{'fsnum': '2492', 'name': 'Gallas, Ron'}","100","15","","","","","Found Ceramics: Hand","121","{'day': 'Mo', 'end': '12:40', 'location': '', 'start': '22:40'};{'day': 'Tu', 'end': '12:40', 'location': '', 'start': '22:40'};{'day': 'We', 'end': '12:40', 'location': '', 'start': '22:40'};{'day': 'Th', 'end': '12:40', 'location': '', 'start': '22:40'};{'day': 'Fr', 'end': '12:40', 'location': '', 'start': '22:40'}","False","","2","C","19962","Research","1996"
"0000019784","1.0","0000000028","ART","16","15","0","0","1","ALS-A","Dell, Irve","{'fsnum': '1369', 'name': 'Dell, Irve'}","100","20","","","","","Foundation Sculpture","122","{'day': 'Mo', 'end': '12:40', 'location': 'SCULTP ST', 'start': '22:40'};{'day': 'Tu', 'end': '12:40', 'location': 'SCULTP ST', 'start': '22:40'};{'day': 'We', 'end': '12:40', 'location': 'SCULTP ST', 'start': '22:40'};{'day': 'Th', 'end': '12:40', 'location': 'SCULTP ST', 'start': '22:40'};{'day': 'Fr', 'end': '12:40', 'location': 'SCULTP ST', 'start': '22:40'}","False","","2","C","19962","Research","1996"
"0000019785","1.0","0000000030","ART","22","15","1","1","5","ALS-A","Saurer, John","{'fsnum': '7064', 'name': 'Saurer, John'}","100","20","","","","","Found Percept Draw","125","{'day': 'Mo', 'end': '12:40', 'location': 'FH 42', 'start': '22:40'};{'day': 'Tu', 'end': '12:40', 'location': 'FH 42', 'start': '22:40'};{'day': 'We', 'end': '12:40', 'location': 'FH 42', 'start': '22:40'};{'day': 'Th', 'end': '12:40', 'location': 'FH 42', 'start': '22:40'};{'day': 'Fr', 'end': '12:40', 'location': 'FH 42', 'start': '22:40'}","False","","2","C","19962","Research","1996"
"0000019786","1.0","0000000040","ART","11","5","1","3","2","","","","200","12","","","","","Comp-Generatd Imagery","238","{'day': 'Mo', 'end': '12:30', 'location': 'ART COMP LAB', 'start': '21:00'};{'day': 'Tu', 'end': '12:30', 'location': 'ART COMP LAB', 'start': '21:00'};{'day': 'We', 'end': '12:30', 'location': 'ART COMP LAB', 'start': '21:00'};{'day': 'Th', 'end': '12:30', 'location': 'ART COMP LAB', 'start': '21:00'};{'day': 'Fr', 'end': '12:30', 'location': 'ART COMP LAB', 'start': '21:00'};{'day': 'Mo', 'end': '15:00', 'location': '', 'start': '13:30'};{'day': 'Tu', 'end': '15:00', 'location': '', 'start': '13:30'}","False","","2","C","19962","Research","1996"
"0000019787","1.0","0000000044","ART","15","1","2","6","6","","Griep, Mary","{'fsnum': '2757', 'name': 'Griep, Mary'}","200","22","","","","","Advanced Drawing","243","{'day': 'Mo', 'end': '10:00', 'location': 'FH 40', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'FH 40', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'FH 40', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'FH 40', 'start': '09:00'};{'day': 'Fr', 'end': '10:00', 'location': 'FH 40', 'start': '09:00'};{'day': 'Mo', 'end': '12:10', 'location': '', 'start': '22:40'};{'day': 'Tu', 'end': '12:10', 'location': '', 'start': '22:40'};{'day': 'We', 'end': '12:10', 'location': '', 'start': '22:40'};{'day': 'Th', 'end': '12:10', 'location': '', 'start': '22:40'};{'day': 'Fr', 'end': '12:10', 'location': '', 'start': '22:40'}","False","","2","O","19962","Research","1996"
"0000019788","1.0","0000000050","ART","33","0","8","11","14","ALS-A;HWC","Rohn, Matthew","{'fsnum': '6758', 'name': 'Rohn, Matthew'}","200","50","","","","","Early Modernism","251","{'day': 'Mo', 'end': '12:40', 'location': 'FH 01', 'start': '22:40'};{'day': 'Tu', 'end': '12:40', 'location': 'FH 01', 'start': '22:40'};{'day': 'Th', 'end': '12:40', 'location': 'FH 01', 'start': '22:40'};{'day': 'Fr', 'end': '12:40', 'location': 'FH 01', 'start': '22:40'}","False","","2","O","19962","Research","1996"
"0000019789","1.0","0000000054","ART","16","0","8","4","4","","Smith-Abbott, Katherine","{'fsnum': '7592', 'name': 'Smith-Abbott, Katherine'}","200","18","","","","","Italian Renaissance","255","","False","","2","C","19962","Research","1996"
"0000019790","1.0","0000000048","ART","15","0","5","6","4","","Shoger, Jan","{'fsnum': '7486', 'name': 'Shoger, Jan'}","200","15","","","","","Pratt-Manhattan","262","","False","","2","C","19962","Research","1996"
"0000019791","1.0","0000000062","ART","23","2","7","7","7","ALS-A","Staff","{'fsnum': '', 'name': 'Staff'}","200","40","","","","","Arts of Scandinavia","266","{'day': 'Mo', 'end': '15:00', 'location': 'FH 01', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'FH 01', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'FH 01', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'FH 01', 'start': '13:00'}","False","","2","O","19962","Research","1996"
