"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000173839","1.0","0000000016","AFAD","The seminar examines Africans in dispersion/Diaspora as students interrogate the African background of African Americans and links between Africans and African Americans. The course examines the dynamics of precolonial West African societies; the nature of the interaction between Africa and the New World; and the role Africans, African culture, and African institutions played in the political, economic, cultural, and religious life of the New World. Students examine the ties that bind Africans and African Americans and explore questions such as: To what extent was the iconography of Africa used to mobilize Africans in dispersion? How effectively was the consciousness of Africa sustained in the New World? What are the contributions of African Americans to Africa? Also counts toward history, race and ethnic studies, and social studies education majors, and race and ethnic studies concentration.","0","0","0","0","0","ALS-L;GHS;MCG;MCS-G;PAR","Iddrisu, Abdulai","{'fsnum': '21082', 'name': 'Iddrisu, Abdulai'}","200","24","","","","","Sem: Africa/Americas","","231","{'day': 'Mo', 'end': '13:50', 'location': 'TBA', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'TBA', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'TBA', 'start': '12:55'}","False","False","","3","O","20263","Africa and the Americas: The Diaspora Experience","Seminar","2026"
"0000171429","1.0","0000000059","ARTH","This course examines architectural monuments and their symbolic forms combined with evidence of earthly and divine concepts. From cave dwellings to geodesic domes, from Eastern to Western systems, students review sacred and profane structures from a variety of cultures. Each student investigates a living reality of space, function, and form found in human-built environments. Offered annually.","0","0","0","0","0","ALS-A;GHS;MCG","Kucera, Karil J.","{'fsnum': '14964', 'name': 'Kucera, Karil J.'}","100","30","10","5","10","5","World Architecture","This course has class-year limits.","161","{'day': 'Mo', 'end': '12:45', 'location': 'CAD 305', 'start': '23:50'};{'day': 'We', 'end': '12:45', 'location': 'CAD 305', 'start': '23:50'};{'day': 'Fr', 'end': '12:45', 'location': 'CAD 305', 'start': '23:50'}","False","False","","3","O","20263","History of World Architecture","Research","2026"
"0000170724","1.0","0000000055","ARTH","Since its invention, photography has shaped our ways of seeing, our social history, and our identities. Photography is also a compelling form of artistic expression. This course is an introduction to the history of photography from its origins to the present, including the role of photography in society and in the fine arts. Students learn the skills of formal visual analysis and critical thinking about the power of the photographic image in our lives. Offered periodically.","0","0","0","0","0","ALS-A;PAR","Spiker, Christina","{'fsnum': '27183', 'name': 'Spiker, Christina'}","200","20","","","","","History of Photography","","256","{'day': 'Mo', 'end': '11:40', 'location': 'TBA', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'TBA', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'TBA', 'start': '10:45'}","False","False","","3","O","20263","A History of Photography","Research","2026"
"0000172220","1.0","0000040255","ARTH","This course examines visual art created in Europe between 1300 and 1650, a time when Europe's colonial and economic power in the world was growing. The course considers how Europeans visualized the people and geographies of their world, how religious belief and conflict shaped visual traditions, and how works of art reflect conceptions of sex and gender. Offered alternate years in fall semester.","0","0","0","0","0","ALS-A;GHS;HWC","Thompson, Nancy M.","{'fsnum': '13137', 'name': 'Thompson, Nancy M.'}","200","35","","","","","The Expanding Renaissance","","257","{'day': 'Tu', 'end': '13:10', 'location': 'TBA', 'start': '23:45'};{'day': 'Th', 'end': '14:05', 'location': 'TBA', 'start': '12:45'}","False","False","","3","O","20263","","Research","2026"
"0000172221","1.0","0000000058","ARTH","This course introduces the history of Japanese art, offering a survey of major artistic developments from neolithic times to the present. Among the topics considered: funerary remains of the neolithic through Kofun eras; Indigenous as well as imported religious traditions and their imagery, and the secular arts. Issues discussed include production and patronage, function, and borrowing and influence in the evolution of artistic works. Offered annually.","0","0","0","0","0","ALS-A;GHS;MCG;MCS-G","Spiker, Christina","{'fsnum': '27183', 'name': 'Spiker, Christina'}","200","30","","","","","Arts of Japan","","260","{'day': 'Mo', 'end': '10:00', 'location': 'TBA', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'TBA', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'TBA', 'start': '09:05'}","False","False","","3","O","20263","The Arts of Japan","Research","2026"
"0000170964","1.0","0000000072","ARTH","This seminar explores methods by which art historians and curators analyze works of art. Students develop an advanced understanding of these methods by application of various methods to works of art, by examining historical factors surrounding principle movements in the study of art history and by engaging in lively class debates about them. Readings, discussions, and presentations culminate in an independent research project that allows each student to find their own place in the discipline. Offered annually. Prerequisite: art history major or permission of the instructor.","0","0","0","0","0","ORC;WRI","Ryan, Hannah","{'fsnum': '31158', 'name': 'Ryan, Hannah'}","300","15","0","","0","","Methods of Art History","This course is only open to juniors and seniors.","350","{'day': 'Tu', 'end': '14:45', 'location': 'TBA', 'start': '13:20'};{'day': 'Th', 'end': '15:35', 'location': 'TBA', 'start': '14:15'}","False","art history major or permission of the instructor.","","3","O","20263","The Methods of Art History","Research","2026"
"0000170680","1.0","0000020054","ARTS","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of two-dimensional art-making and the ways drawing informs the creation and understanding of art in cultural contexts. Students explore color, value, form, and space through a wide variety of materials. The course emphasizes strategies for idea generation and visual problem solving. Students engage in spirited investigation, critiques, and thoughtful creative expression. Materials fee. Offered each semester.","0","0","0","0","0","ALS-A;CRE","Tanaka, Anda","{'fsnum': '9002559', 'name': 'Tanaka, Anda'}","100","20","10","0","10","0","Foundation 2-D Media","This course has class-year limits and is open only to sophomores and first-year ;students.                                                                       ;The materials fee for ART 102 A will be $150.","102","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 216', 'start': '23:45'};{'day': 'Th', 'end': '15:45', 'location': 'CAD 216', 'start': '12:45'}","False","False","","3","O","20263","Foundation Two-Dimensional Media","Research","2026"
"0000170683","1.0","0000020056","ARTS","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of three-dimensional art-making and the ways three-dimensional media inform the creation and understanding of art in many contexts. Students explore sculpture and its intersection with other media and art forms through a variety of materials and experiments. The course emphasizes idea generation. Students engage in spirited investigation, creative expression, and play. Materials fee. Offered each semester.","0","0","0","0","0","ALS-A;CRE","Wu, Peng","{'fsnum': '9002464', 'name': 'Wu, Peng'}","100","16","8","0","8","0","Foundation 3-D Media","This course has class-year limits and is open only to sophomore and first-year  ;students.                                                                       ;The materials fee for ART 103 will be $150.","103","{'day': 'Tu', 'end': '11:00', 'location': 'TBA', 'start': '08:00'};{'day': 'Th', 'end': '10:50', 'location': 'TBA', 'start': '08:00'}","False","False","","3","O","20263","Foundation Three-Dimensional Media","Research","2026"
"0000170679","1.0","0000020055","ARTS","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of new media art making. New media is a broad category that includes a variety of art practices. Areas of focus may include video art, filmmaking, sound art, animation, performance and other digital, time-based, and/or interactive processes. Idea generation and creative development is central to the course, with an emphasis on experimentation and divergent thinking. Students engage in demonstrations, exercises, group work, reflection, and creative projects. Offered each semester.","0","0","0","0","0","ALS-A;CRE","McKagen, Nika","{'fsnum': '9006214', 'name': 'McKagen, Nika'}","100","16","8","0","8","0","Foundation New Media","This course has class-year limits and is open only to sophomore and first-year  ;students.","104","{'day': 'Mo', 'end': '12:45', 'location': 'TBA', 'start': '22:45'};{'day': 'We', 'end': '12:45', 'location': 'TBA', 'start': '22:45'};{'day': 'Fr', 'end': '12:45', 'location': 'TBA', 'start': '22:45'}","False","False","A","3","O","20263","","Research","2026"
"0000173053","1.0","0000020055","ARTS","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of new media art making. New media is a broad category that includes a variety of art practices. Areas of focus may include video art, filmmaking, sound art, animation, performance and other digital, time-based, and/or interactive processes. Idea generation and creative development is central to the course, with an emphasis on experimentation and divergent thinking. Students engage in demonstrations, exercises, group work, reflection, and creative projects. Offered each semester.","0","0","0","0","0","ALS-A;CRE","McKagen, Nika","{'fsnum': '9006214', 'name': 'McKagen, Nika'}","100","16","","0","","0","Foundation New Media","This course has class-year limits and is open only to sophomore and first-year  ;students.","104","{'day': 'Mo', 'end': '14:55', 'location': 'TBA', 'start': '12:55'};{'day': 'We', 'end': '14:55', 'location': 'TBA', 'start': '12:55'};{'day': 'Fr', 'end': '14:55', 'location': 'TBA', 'start': '12:55'}","False","False","B","3","O","20263","","Research","2026"
"0000171047","1.0","0000000029","ARTS","This course introduces students to digital photographic processes as a means for creating works of art. Students learn terminology and critical approaches to photography. The course includes presentations on concepts and photographers' works, discussions of articles, and regular critiques. Students are introduced to the history of the medium through presentations and readings. Students develop critical skills and the ability to analyze and interpret photographic work. Materials fee. Offered each semester.","0","0","0","0","0","ALS-A;CRE","McKagen, Nika","{'fsnum': '9006214', 'name': 'McKagen, Nika'}","200","16","0","","","","Photography","The materials fee for ARTS 205 will be $185.                                    ;Not open to first-year students.","205","{'day': 'Mo', 'end': '10:00', 'location': 'TBA', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'TBA', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'TBA', 'start': '08:00'}","False","False","","3","O","20263","","Research","2026"
"0000170530","1.0","0000001496","ARTS","This course introduces students to the ceramic processes of wheel throwing and hand building as means for creating works of art. Students learn terminology and critical approaches to ceramics. Students develop critical skills and the ability to analyze and interpret ceramic artwork. The course emphasizes creative approaches to solving visual problems through ceramic work. Slide presentations on contemporary and historical ceramics provide background for assignments and highlight the role of ceramics in various cultural contexts. Materials fee. Offered each semester.","0","0","0","0","0","ALS-A;CRE","Morrison, David P.","{'fsnum': '9006376', 'name': 'Morrison, David P.'}","200","16","0","","","","Ceramics","The materials fee for ARTS 207 will be $185.                                    ;Not open to first-year students.","207","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 115', 'start': '08:00'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 115', 'start': '08:00'}","False","False","","3","O","20263","","Research","2026"
"0000171023","1.0","0000000033","ARTS","This course develops and stimulates research into the emotional/expressive properties of painting. By investigating thematic, compositional, and technical problems, students develop a personalized approach to ideas and content. Students learn the importance of process, flexibility, alternatives, and the recognition that a painting has a life of its own. Materials fee. Offered annually. Prerequisite: ARTS 102.","0","0","0","0","0","","Weeks, Michon","{'fsnum': '23761', 'name': 'Weeks, Michon'}","200","17","0","","","","Oil/Acrylic Painting","Not open to first-year students.                                                ;The materials fee for ARTS 221 will be $200.","221","{'day': 'Mo', 'end': '12:45', 'location': 'CAD 214', 'start': '22:45'};{'day': 'We', 'end': '12:45', 'location': 'CAD 214', 'start': '22:45'};{'day': 'Fr', 'end': '12:45', 'location': 'CAD 214', 'start': '22:45'}","False","ARTS 102.","","3","O","20263","","Research","2026"
"0000172314","1.0","0000000036","ARTS","This sculpture course introduces students to metal forming, shaping, fastening and brazing, and welding. Both majors and non-majors discover an art and industrial process that has great artistic and practical application. The course makes use of hands-on instruction, readings, slide talks, and discussion. Course does not cover metal casting. Materials fee. Offered annually. Prerequisite: ARTS 103.","0","0","0","0","0","","Wu, Peng","{'fsnum': '9002464', 'name': 'Wu, Peng'}","200","12","0","","","","Sculpture/Direct Metal","The materials fee for this course is $185.                                      ;Must have taken ARTS 103 Foundations of 3D Media                                ;Not open to first-year students.","224","{'day': 'Tu', 'end': '14:45', 'location': 'TBA', 'start': '23:45'};{'day': 'Th', 'end': '15:45', 'location': 'TBA', 'start': '12:45'}","False","ARTS 103.","","3","O","20263","","Research","2026"
"0000171099","1.0","0000000038","ARTS","Emphasizing individual concepts, personal expression and strong composition, this course explores relief and lithography. Using large-scale, multicolor moveable block, collagraph, wood, or lino block techniques and lithography stones or aluminum plates in both black and white and color. Students produce multiple images on one of the department's three presses. Students become familiar with the heritage of old masters as well as contemporary artists in printmaking. Materials fee. Offered annually. Prerequisite: ARTS 102.","0","0","0","0","0","","Tanaka, Anda","{'fsnum': '9002559', 'name': 'Tanaka, Anda'}","200","15","0","","","","Printmaking: Relief and Lithography","The materials fee for ART 226 is $135.                                          ;Not open to first-year students.","226","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 212', 'start': '08:00'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 212', 'start': '08:00'}","False","ARTS 102.","","3","O","20263","","Research","2026"
