"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","offerings","pn","section","semester","status","term","type","year"
"0000005543","1.0","0000001496","ART","8","0","2","2","4","ALS-A","Rudquist, Monica","{'fsnum': '14959', 'name': 'Rudquist, Monica'}","100","","Found Ceramics: Hand","121","{'day': 'Mo', 'end': '14:00', 'location': 'CAD 115C', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'CAD 115C', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'CAD 115C', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'CAD 115C', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'CAD 115C', 'start': '12:30'}","False","","4","O","20024","Research","2002"
"0000005544","1.0","0000000029","ART","16","1","8","5","2","ALS-A","Kelley, Patrick T.","{'fsnum': '14002', 'name': 'Kelley, Patrick T.'}","100","20","Found Photography","124","{'day': 'Mo', 'end': '09:30', 'location': 'CAD 102', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'CAD 102', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'CAD 102', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'CAD 102', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'CAD 102', 'start': '08:00'}","False","","4","O","20024","Research","2002"
"0000005545","1.0","0000000030","ART","1","0","1","0","0","ALS-A","Griep, Mary","{'fsnum': '2757', 'name': 'Griep, Mary'}","100","","Found Percept Draw","125","{'day': 'Mo', 'end': '09:30', 'location': 'CAD 216', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'CAD 216', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'CAD 216', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'CAD 216', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'CAD 216', 'start': '08:00'}","False","","4","O","20024","Research","2002"
"0000005546","1.0","0000000032","ART","11","1","4","5","1","ALS-A;HWC;ORC","Brooks-Shirey, Heather M.","{'fsnum': '14840', 'name': 'Brooks-Shirey, Heather M.'}","100","","Renaissance--Present","151","{'day': 'Mo', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'}","False","","4","O","20024","Research","2002"
"0000005547","1.0","0000000192","CHEM","7","2","1","2","2","NSC;NSL","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","","Struct Chem & Equilib","125","{'day': 'Mo', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 378', 'start': '10:00'}","False","","4","O","20024","Research","2002"
"0000005548","","0000000193","CHEM","0","0","0","0","0","","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","","Struct Chem/Lab","125","{'day': 'Mo', 'end': '16:00', 'location': 'SC 374/363', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'SC 374/363', 'start': '13:00'}","False","A","4","O","20024","Lab","2002"
"0000005549","1.0","0000000196","CHEM","36","8","3","17","8","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","Organic Chemistry","247","{'day': 'Mo', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'}","False","","4","O","20024","Research","2002"
"0000005550","0.25","0000000199","CHEM","17","0","1","12","4","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","Synthesis Lab","253","","True","A","4","O","20024","Lab","2002"
"0000005551","0.25","0000000199","CHEM","14","7","1","3","3","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","Synthesis Lab","253","","True","B","4","O","20024","Lab","2002"
"0000005554","0.25","0000000353","DNCTE","4","0","1","2","1","ALS-A;PHA","Bader, Jennifer","{'fsnum': '311', 'name': 'Bader, Jennifer'}","100","","Ballet I","121","{'day': 'Mo', 'end': '14:00', 'location': 'CAD _STUDIO_2', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'CAD _STUDIO_2', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'CAD _STUDIO_2', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'CAD _STUDIO_2', 'start': '12:30'}","True","","4","O","20024","Research","2002"
"0000005552","1.0","0000000256","ECON","5","0","3","1","1","HBS;HWC","Soderlind, Steve","{'fsnum': '7636', 'name': 'Soderlind, Steve'}","100","","Capitalism: Struggles","113","{'day': 'Mo', 'end': '09:30', 'location': 'HH 403', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'HH 403', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'HH 403', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'HH 403', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'HH 403', 'start': '08:00'}","False","","4","O","20024","Research","2002"
"0000005553","0.5","0000000326","EDUC","1","0","0","0","1","","May, James","{'fsnum': '5130', 'name': 'May, James'}","300","","Tchg of Latin","349","","False","","4","O","20024","Research","2002"
"0000005555","1.0","0000000411","ENGL","7","0","1","3","3","ALS-L;MCS-G","Mbele, Joseph L.","{'fsnum': '5144', 'name': 'Mbele, Joseph L.'}","200","","Post-Colonial Lit","247","{'day': 'Mo', 'end': '14:00', 'location': 'RML 525', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'RML 525', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'RML 525', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'RML 525', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'RML 525', 'start': '12:30'}","False","","4","O","20024","Research","2002"
"0000005556","1.0","0000000418","ENGL","13","1","5","6","1","WRI","Levine, Signe","{'fsnum': '12295', 'name': 'Levine, Signe'}","200","15","Creative Writing I","257","{'day': 'Mo', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 520', 'start': '10:00'}","False","","4","O","20024","Research","2002"
