"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","pn","section","semester","status","term","type","year"
"0000018848","1.0","0000000102","BIO","30","1","15","3","11","NSC;NSL","Johnson, Theodore","{'fsnum': '4110', 'name': 'Johnson, Theodore'}","100","","Human Biology","123","False","","5","O","19955","Research","1995"
"0000018849","","0000000103","BIO","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","100","","Human Bio/Lab","123","False","","5","O","19955","Lab","1995"
"0000018850","1.0","0000000194","CHEM","2","0","0","2","0","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","100","","Chemical Reactions","126","False","","5","O","19955","Research","1995"
"0000018851","","0000000195","CHEM","0","0","0","0","0","","Hildebrandt, Kim M.","{'fsnum': '3335', 'name': 'Hildebrandt, Kim M.'}","100","","Chem Reactions/Lab","126","False","","5","O","19955","Lab","1995"
"0000018852","1.0","0000000197","CHEM","10","2","3","3","2","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","Organic Chemistry","248","False","","5","O","19955","Research","1995"
"0000018853","0.25","0000000200","CHEM","9","2","2","3","2","","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","Synthesis Lab","254","True","","5","O","19955","Lab","1995"
"0000018854","1.0","0000000277","ECON","1","0","1","0","0","","Soderlind, Steve","{'fsnum': '7636', 'name': 'Soderlind, Steve'}","200","","IS/Topics in Micro","298","False","","5","O","19955","Research","1995"
"0000018855","1.0","0000000283","ECON","2","0","1","0","1","","Goedde, Richard","{'fsnum': '2661', 'name': 'Goedde, Richard'}","300","","Senior Project","389","False","","5","O","19955","Research","1995"
"0000018856","1.0","0000000284","ECON","1","0","1","0","0","","Dalgaard, Bruce","{'fsnum': '1333', 'name': 'Dalgaard, Bruce'}","300","","Internship","394","True","","5","O","19955","Research","1995"
"0000018857","1.0","0000001698","ENGL","6","0","2","1","3","ALS-L;WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Amer Lit Since 1945","244","False","","5","O","19955","Research","1995"
"0000018858","1.0","0000000413","ENGL","3","0","0","0","3","WRI","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Expository Writing","251","False","","5","O","19955","Research","1995"
"0000018859","1.0","0000000442","ENGL","4","0","2","1","1","WRI","Staff","{'fsnum': '', 'name': 'Staff'}","300","","Cr Writ II: Nonfiction","373","True","","5","O","19955","Research","1995"
"0000018860","1.0","0000000446","ENGL","1","0","0","0","1","WRI","Staff","{'fsnum': '', 'name': 'Staff'}","300","","Brit Auth: Major Briti","391","False","","5","C","19955","Seminar","1995"
"0000018861","1.0","0000000496","FREN","1","0","0","0","1","","Barjasteh, Jolene","{'fsnum': '337', 'name': 'Barjasteh, Jolene'}","300","","IR/French Short Story","398","False","","5","O","19955","Research","1995"
"0000018862","1.0","0000000624","HIST","1","0","0","0","1","","Farrell, James","{'fsnum': '2030', 'name': 'Farrell, James'}","200","","Internship","294","True","","5","O","19955","Research","1995"
"0000018887","0.25","0000001022","PEAC","1","0","0","1","0","PHA","Carroll, Todd R.","{'fsnum': '976', 'name': 'Carroll, Todd R.'}","100","","Beginning Tennis","157","False","","5","O","19955","Research","1995"
"0000018885","1.0","0000000979","PHIL","9","2","2","4","1","EIN;WRI","Poling, John","{'fsnum': '6392', 'name': 'Poling, John'}","200","","Ethics/The Good Life","252","False","","5","O","19955","Research","1995"
"0000018886","1.0","0000000980","PHIL","1","0","0","0","1","EIN;WRI","Fairbanks, Rick A.","{'fsnum': '2022', 'name': 'Fairbanks, Rick A.'}","200","","Law,Politics,Morality","254","False","","5","C","19955","Research","1995"
"0000018888","1.0","0000001074","PHYS","15","0","2","9","4","","Dahl, David A.","{'fsnum': '1345', 'name': 'Dahl, David A.'}","100","","Principles Physics II","125","False","","5","O","19955","Research","1995"
"0000018889","","0000001075","PHYS","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","100","","Prin Physics II/Lab","125","False","","5","O","19955","Lab","1995"
"0000018890","1.0","0000001090","PHYS","1","0","1","0","0","","Dahl, David A.","{'fsnum': '1345', 'name': 'Dahl, David A.'}","200","","Internship","294","True","","5","O","19955","Research","1995"
"0000018891","1.0","0000001104","PSCI","2","0","1","0","1","HBS;MCS-G","Grubb, Rodney G.","{'fsnum': '2776', 'name': 'Grubb, Rodney G.'}","100","","Comparative Politics","112","False","","5","O","19955","Research","1995"
"0000018892","1.0","0000001139","PSCI","2","1","0","1","0","","Hofrenning, Dan","{'fsnum': '3418', 'name': 'Hofrenning, Dan'}","200","","Internship","294","True","","5","O","19955","Research","1995"
"0000018893","1.0","0000001154","PSYCH","3","1","0","1","1","HBS","Dickson Jr., James","{'fsnum': '1366', 'name': 'Dickson Jr., James'}","100","","Intro Psychology(Psi)","125","False","","5","O","19955","Research","1995"
"0000018894","1.0","0000001158","PSYCH","1","0","1","0","0","","Dickson Jr., James","{'fsnum': '1366', 'name': 'Dickson Jr., James'}","200","","Research Methods","231","False","","5","O","19955","Research","1995"
"0000018895","1.0","0000001178","PSYCH","2","0","2","0","0","","Anderson, Deborah","{'fsnum': '186', 'name': 'Anderson, Deborah'}","200","","Internship","294","True","","5","O","19955","Research","1995"
